m/z,I
757.38277,201714
836.42223,454659
837.40621,544812
843.38036,228472
852.41669,558315
853.40057,627228
868.44725,370060
899.47689,710088
902.4337,373649
945.41954,152973
1078.51341,154566
1095.53925,5271283
1099.52296,1070374
1105.54822,9263026
1115.51692,1243619
1116.46431,1077880
1122.52616,157088
1137.53675,246402
1154.55064,618116
1162.52671,396660
1172.60397,139173
1176.60707,159015
1177.53698,124284
1178.52124,262307
1183.57601,699072
1189.52442,201330
1198.58653,431615
1199.57054,1013917
1201.55301,288889
1202.53751,205277
1224.6002,185835
1228.55896,245331
1241.62619,3988160
1244.55287,321424
1249.49534,183413
1328.60943,265909
1437.70345,183918
1448.61991,333147
1449.65125,1362683
1453.69737,2854119
1459.64606,8073611
1465.64447,8738393
1473.62517,1974107
1550.7035,5822109
1562.72833,1915635
1562.7759,3193535
1586.70062,7675613
1608.70478,1120596
1616.74657,1967394
1627.68408,622127
1636.78269,1179879
1639.74351,639998
1643.67773,982944
1644.66174,1203535
1648.7196,1032508
1652.776,569586
1655.73942,7859525
1664.71204,1141072
1671.74738,1449653
1690.71542,345644
1691.69992,765622
1700.67293,268418
1707.74037,251011
1744.64237,825467
1749.78504,2465577
1755.73995,4512124
1760.63476,467407
1763.8102,438963
1764.79395,4878730
1766.76278,1011197
1768.83041,1927850
1771.7352,4136116
1784.82232,5295702
1795.83945,624255
1800.81725,5038496
1817.83109,1172728
1841.82845,2520518
1857.82247,195099
1863.80867,435107
1892.84278,2915078
1933.88974,342771
1958.88417,850861
1975.90827,26009480
1976.8567,1415343
1997.8901,827034
2003.89,2816876
2013.95667,4592759
2015.85298,645646
2019.88361,5456666
2029.95289,3174006
2040.84686,1119200
2041.87737,2621938
2057.86924,35920048
2067.83991,966461
2069.95477,4572396
2073.8658,1092990
2079.85066,1011667
2089.89369,4518228
2105.88626,9039911
2119.78737,327847
2121.88294,2005463
2145.02728,14571464
2148.9288,437367
2159.89314,472410
2167.00967,639805
2168.95462,292458
2187.92194,3481406
2203.91251,24766426
2219.90884,1154143
2225.89711,583185
2235.90356,257183
2239.94866,702980
2255.93942,2393437
2260.9287,247100
2274.90879,371782
2301.01145,1186187
2338.00987,352685
2347.96574,916622
2363.9604,1583335
2394.99883,239803
2410.99218,796492
2420.05094,380842
2439.09804,403757
2455.09018,5698065
2465.08444,253293
2471.08147,2083427
2481.07454,1173608
2497.0674,1940715
2513.06343,1106497
2549.04817,911322
2571.0968,2689566
2589.10776,289308
2706.07286,1923133
2720.05111,402923
2793.15998,3475115
2809.15306,286123
2853.22765,1211286
2869.22251,3923948
2885.2177,530903
2934.08708,391713
2978.10619,1084776
3086.16617,743585
3102.16358,2441867
3118.15781,1105695
3135.29615,311014
3151.29013,542913
3184.29222,243742
3185.21816,967781
3186.19439,1092398
3192.28993,193502
3200.28221,1373040
3216.27199,966470
3228.12212,966503
3244.11339,323217
3389.31082,397336
