m/z;I
898.5115;279250
950.4696;173308
1010.50165;203590
1048.56811;323577
1095.56616;235790
1096.53891;314704
1105.57582;2045773
1121.6182;193641
1139.54391;130529
1153.56077;298605
1162.62244;432768
1164.60108;217362
1167.57572;302351
1180.64379;271141
1183.5713;416941
1193.55535;198940
1193.62795;154210
1196.56683;298757
1196.6396;708659
1226.57767;352870
1240.67702;362785
1257.62358;119099
1261.59297;186233
1267.67589;177155
1320.6306;250261
1339.66087;189530
1343.67151;298264
1419.7125;230731
1427.72932;2959150
1433.72947;630597
1437.67303;422377
1459.69482;762554
1473.67387;264711
1550.75739;316940
1550.81564;161157
1562.7834;663497
1562.83052;569376
1604.81525;327249
1622.74165;242024
1648.83042;388234
1655.80079;316373
1655.81626;171535
1726.86659;361531
1769.89549;198720
1787.90407;404744
1788.76945;251723
1804.9315;3356731
1832.85994;336314
1848.85567;402496
1892.92273;1320539
1975.99622;9087504
1997.00891;1168275
2014.07305;336266
2039.07023;873702
2039.95569;673185
2056.09378;8010716
2056.9797;5539962
2072.09169;3019529
2073.01448;470138
2089.00807;740049
2094.03178;371412
2105.00325;172041
2115.97161;215920
2131.11701;3321842
2214.97028;450900
2216.06027;2044448
2232.0579;331277
2266.05968;398958
2299.08028;351217
2347.08342;298744
2364.08598;398327
2389.19843;365048
2407.09038;170549
2461.15818;384441
2477.15404;523839
2485.23196;692221
2531.18389;221258
2578.17588;370909
2581.22896;685602
2594.17202;691729
2689.26124;650797
2705.25467;8854173
2719.23508;1140605
2727.23299;254047
2743.28916;372921
2748.30996;614577
2759.28684;1615253
2767.32058;3985084
2775.28188;1793481
2792.32782;3199443
2883.42557;4001737
2889.35261;1287808
2899.42389;625938
2930.33884;280555
2967.39892;521163
3001.36679;698135
3017.36056;5861864
3025.3765;343094
3033.48786;1754736
3036.40429;1143383
3045.40377;454754
3052.40288;1872571
3069.39475;334888
3084.41309;945572
3100.4118;5240707
3116.40917;7289483
3132.40632;775913
3183.47486;1417306
3227.52031;597402
3393.58683;220730
3651.55705;1121215
3722.59447;1878510
3856.76293;309370
3872.76075;330035
4035.91181;1034754
4096.94508;624292
4112.93859;751179
4302.0521;1002951
4318.04695;354939
4364.10738;1195171
4479.12875;619230
