m/z,I
840.46897,705914
852.43298,896706
868.42753,534231
868.46418,919137
898.51121,2096956
1079.52332,200693
1079.57148,743834
1085.47932,224115
1095.56613,6204333
1096.53873,201347
1100.69442,463368
1105.57551,14879984
1116.49196,624751
1133.57430,268628
1153.56049,182888
1160.60637,222266
1162.62226,1215161
1177.56787,1889055
1180.64408,8955790
1196.63920,6849587
1198.70657,299068
1201.58526,1255607
1215.56109,658517
1219.58263,1758872
1222.61030,182316
1223.61316,835627
1231.55680,212142
1240.67640,629580
1244.51504,227634
1248.54672,201864
1251.60877,588609
1254.53538,156496
1260.67052,740666
1261.62873,447835
1267.67622,3974567
1312.74812,917912
1319.63514,279881
1328.64939,1090825
1338.64435,1214209
1350.68119,847943
1374.75024,225659
1417.75567,409459
1427.72884,21282258
1435.68241,20582072
1443.72398,498327
1448.75127,298500
1459.69404,17902276
1473.67365,5978028
1474.73011,477627
1481.67542,362314
1512.74882,3838769
1528.74366,676437
1532.78352,7329315
1544.78637,923008
1550.75732,5310616
1560.81459,8044610
1561.79918,3509752
1562.78291,5006959
1562.83030,3773739
1585.77287,2390121
1586.75729,8880888
1610.81448,486049
1615.82123,4119898
1620.64686,465630
1648.77929,3725899
1648.82987,9041196
1651.78413,10019323
1662.81995,681043
1664.77508,1309407
1674.81398,5698579
1683.81089,1062709
1684.91387,723404
1688.88307,232084
1690.77923,1274044
1693.86365,295265
1698.82164,567057
1706.77397,2739470
1710.87043,544298
1716.91573,768740
1719.84305,833249
1726.86626,4873205
1735.80087,451768
1743.72619,214735
1759.71963,4046453
1788.76973,1456325
1799.80017,5128128
1804.93120,9934591
1812.88856,1212433
1816.86664,1311176
1821.85037,684156
1822.83434,1154347
1832.86115,10530280
1838.86712,2297067
1848.85666,8911114
1853.72042,217435
1854.84393,341290
1863.87402,1437331
1870.83534,220635
1882.81726,441774
1888.91996,2271835
1892.92250,7053267
1918.83567,290169
1933.97332,474545
1975.99498,56560120
2009.96837,457795
2015.94270,1648954
2019.97470,1692441
2027.13146,445029
2029.91690,899488
2039.95668,942646
2047.96924,539603
2056.09312,8254543
2056.97943,27594248
2065.96706,500617
2072.09186,3311435
2073.01464,8699901
2078.96403,704329
2089.00771,8049383
2094.03179,1038979
2105.00186,2012168
2110.90164,481164
2115.12277,580050
2131.11683,29049250
2146.97370,730293
2150.96895,1099070
2151.03128,1646435
2153.09680,821811
2179.03007,281700
2200.06372,1141266
2202.03173,257616
2214.97039,17631374
2216.05985,29806978
2232.05770,5405035
2235.04522,1738797
2236.95409,512575
2244.03136,1123576
2251.03848,10289467
2266.02976,5184497
2268.88588,314675
2273.05507,771222
2274.16103,425510
2281.12360,2710361
2282.02849,1846124
2293.12635,3544167
2297.12043,6892253
2300.05705,1781069
2307.14018,4291204
2316.04979,3932086
2329.14031,808108
2337.08492,1282537
2340.02562,4166947
2344.05484,1846580
2347.11169,1330232
2348.08762,20046520
2356.02367,4145291
2359.07771,1504944
2360.05571,1829190
2364.08587,18533176
2368.13286,2013894
2376.08689,1124581
2392.07887,932027
2402.00628,589711
2404.16028,488134
2407.08802,639385
2416.14803,1105480
2418.00072,475994
2424.09234,728225
2431.21287,429566
2447.19434,1019342
2447.21563,479365
2463.19190,570298
2468.23516,1017538
2480.21690,3007879
2481.19820,8360039
2485.23016,25675862
2497.20800,6656955
2501.16427,908013
2501.22712,5184547
2507.21347,664498
2510.08791,722118
2513.20196,5281665
2516.19499,5742372
2526.08505,988530
2531.18774,826533
2541.16636,1056675
2545.19800,286147
2548.21135,2652050
2566.20890,3992991
2573.26198,388030
2587.26574,777476
2589.25472,537366
2594.17002,2313445
2607.29184,589488
2609.23489,1029919
2610.16895,787329
2625.23343,329029
2673.26480,1036072
2686.24493,472663
2689.25927,10775959
2705.25120,93455968
2719.23367,6200942
2727.23933,2307439
2742.25934,761647
2743.21629,623119
2758.17637,835828
2759.28735,3647181
2767.32196,24378500
2775.28227,3462705
2788.30129,1325747
2792.32873,7351042
2820.23013,865075
2860.36168,1620470
2868.37294,719458
2879.39371,8546948
2883.42318,17960638
2899.42336,3020886
2911.42396,890608
2930.34031,541029
2947.37238,553392
2972.31827,700574
2988.30797,1441090
3001.36587,7116174
3009.38173,417622
3017.35804,40409796
3025.37432,665555
3033.48659,3011129
3036.40397,2462918
3039.34144,1213704
3052.40006,3110438
3068.41777,572314
3071.28133,513555
3084.41428,4305163
3100.41141,28216076
3116.41028,43627772
3123.40050,418526
3132.40498,3457995
3138.39486,1335403
3154.33408,544340
3167.48392,3092145
3170.32929,794735
3183.47562,6812402
3199.46839,774127
3207.49456,345728
3211.52776,531290
3223.49196,1162881
3227.52105,2595730
3237.36887,623737
3242.50866,522236
3292.51125,704163
3320.67309,1353190
3336.67219,620667
3377.59556,784659
3382.57587,899369
3382.70901,660693
3393.59727,3459332
3413.62552,402271
3432.59323,500186
3449.59115,481712
3456.63349,287478
3495.47931,556261
3497.57023,755937
3517.59536,354888
3633.63454,695963
3651.55815,840509
3722.59520,703687
3863.77107,549320
3879.76707,1226557
4096.95005,598725
4112.94417,921472
4266.04028,502660
4282.03780,520027
4348.11890,556757
