m/z,I
698.35788,270160
722.35827,297579
728.36881,233431
868.42737,329777
898.51090,585578
950.46955,316223
967.43059,524259
980.52750,235851
984.45695,1242327
1007.49140,167882
1024.51689,222851
1032.54742,415135
1048.50618,227144
1048.58996,311847
1083.52550,434876
1095.56573,231702
1096.53835,810795
1105.57520,1864295
1105.62275,436273
1116.49062,140587
1121.57026,191597
1139.54414,186949
1146.56553,515432
1150.59657,686216
1155.50440,223271
1162.62177,496670
1163.59197,1079683
1167.57595,1295297
1170.55742,577356
1176.64866,383520
1180.64347,465591
1182.61187,380264
1183.57036,904525
1193.51885,243468
1193.62720,308673
1196.56548,344292
1196.63851,498155
1206.58606,266505
1208.56555,448555
1215.61186,388204
1216.68025,409876
1222.58024,200570
1226.57676,241043
1250.61247,217233
1259.64943,249879
1261.59249,320041
1267.67494,404719
1273.54822,700955
1273.70152,569901
1316.67063,217342
1340.66322,1226666
1343.67093,594046
1374.74918,277817
1378.63453,207834
1409.71727,149492
1427.72832,4184350
1437.67236,608605
1443.79527,179297
1448.67704,195761
1473.67247,470124
1529.77520,226715
1550.75665,453517
1561.79801,1827256
1586.75566,755180
1604.81395,662000
1609.74388,230798
1654.78240,243971
1688.88291,588363
1698.82093,317205
1699.88888,301289
1716.91478,903825
1790.74809,334609
1804.93044,2449813
1814.91469,383622
1815.79317,504448
1816.86460,223350
1820.75831,1266595
1822.73829,476474
1832.86019,1079232
1836.75231,521964
1838.97541,441339
1848.85577,1827037
1860.93134,360590
1864.85011,645408
1888.96411,303184
1892.92109,505612
1958.96855,514675
1974.88968,303307
1975.99473,3804551
2014.07197,232403
2039.95393,359043
2056.09274,4918117
2056.97904,1606969
2072.09014,1504592
2073.01243,569009
2115.11982,416065
2131.11551,1998673
2146.94044,278898
2216.05923,630311
2230.96539,427651
2270.03083,738745
2335.20225,282250
2403.15182,304478
2432.18262,215949
2466.18920,285385
2580.15512,270770
2596.14958,779113
2606.26219,221263
2610.16556,1040365
2673.26463,688303
2689.25925,2955179
2705.25322,6120224
2711.24138,223075
2719.23041,299417
2727.23577,317501
2767.31973,1187917
2775.28086,532126
2792.32574,901446
2862.36184,240919
2873.35576,412785
2883.42350,1272150
2889.35158,1293963
2898.39063,396506
3001.36724,591494
3017.33465,609683
3017.36161,1685407
3033.48963,1613062
3036.40563,222833
3068.41729,338631
3084.41221,1138685
3100.41131,3120430
3116.40760,5813602
3132.40361,3626969
3339.67154,627210
3355.66770,360117
3382.57550,295562
3517.45605,402099
3651.55783,756169
3722.59547,915969
3958.98952,466811
3974.98566,569261
4112.94229,917638
4348.11523,788343
4364.10840,1025221
4468.13586,310562
4479.12101,981999
