m/z;I
982.47073;736929
993.43953;245168
999.49771;348643
1029.47536;151089
1048.55409;566873
1064.51244;182300
1079.52388;511690
1086.53328;377878
1105.5761;934032
1107.51858;253135
1121.58205;415723
1125.58521;5358467
1159.58655;189059
1163.59272;231442
1181.68036;329732
1183.55736;273316
1187.58091;267351
1191.66459;176015
1198.70667;2537509
1200.61286;770160
1223.61367;492614
1223.64978;239880
1224.53287;243350
1233.59837;173101
1240.64078;882955
1240.67693;1420385
1259.65446;1228044
1274.72708;2327433
1301.62466;507119
1312.74922;294250
1329.61923;278774
1336.72348;336770
1374.64114;194378
1374.71401;275591
1386.77546;334723
1430.79118;419134
1435.7341;169388
1453.74447;828926
1466.74296;445312
1485.72012;220708
1508.7101;275158
1508.79292;179006
1509.74216;220709
1515.75172;2199069
1525.73676;275209
1533.78985;338152
1534.70935;195047
1534.7494;209623
1541.76592;226993
1550.75767;398965
1550.81664;1502793
1561.7996;842300
1577.8916;176871
1593.80296;242773
1625.75285;263310
1629.77267;242674
1632.78107;245525
1643.819;575399
1660.76892;393227
1711.91402;272695
1727.8932;241993
1733.99145;472723
1743.82238;2194079
1778.88361;485952
1790.89434;2516522
1795.91152;3910852
1842.92632;549092
1846.83352;471958
1847.94531;858590
1858.91868;313537
1864.91558;228094
1875.94408;526207
1892.92287;424208
1944.95296;498509
1955.9337;211267
1969.87312;433102
1974.89177;489545
1997.00928;413599
2000.10018;369317
2013.00248;5452713
2028.06558;2018973
2031.91435;232091
2044.05882;1495508
2056.9809;2459986
2060.03857;176503
2096.11721;183472
2105.00335;395259
2105.10487;1141319
2131.11922;635662
2156.12234;249797
2164.11684;240858
2174.03332;254299
2188.03141;804815
2192.01452;205743
2200.00166;411788
2209.03936;362796
2215.07225;505526
2215.12424;207789
2224.04054;287904
2232.15492;1888907
2242.10741;173088
2246.02492;893409
2246.13965;366302
2249.03541;403397
2257.02457;213843
2266.06131;1925746
2281.18685;240104
2327.22054;778620
2331.16194;1265807
2387.17056;1633232
2389.16584;2412148
2403.18812;1582959
2444.13413;559283
2451.11796;348383
2461.15224;1343352
2477.14787;1392284
2498.20158;452602
2502.25782;519704
2515.17109;213416
2532.17678;1068899
2576.22751;789942
2592.22426;329526
2632.24283;324572
2651.25178;457907
2667.24456;180166
2672.34002;290657
2673.24176;282511
2705.25703;2404532
2719.23302;729857
2756.45183;388105
2761.32108;216596
2767.31733;1709166
2785.30232;1552508
2789.25753;375118
2801.29289;392277
2820.35649;2341237
2883.42577;1437529
2959.3584;732914
2987.392;1419808
2987.5865;377644
3000.40449;265953
3016.40086;323008
3055.43794;456344
3064.54186;235072
3084.41361;2177280
3100.41258;3869332
3116.40906;491776
3153.46924;775196
3168.4638;975544
3181.50674;313494
3195.61501;380629
3199.54258;488870
3210.63291;2128507
3226.62518;2078219
3285.62201;428744
3310.61554;1226923
3327.64296;6863539
3343.63996;645560
3354.54396;284442
3392.7262;690209
3408.72384;1701417
3419.71994;245126
3472.71842;684137
3501.67622;1053878
3517.67827;617745
3581.70524;388526
3597.69357;1496438
3613.68584;1139051
3644.79827;562293
3650.76334;369049
3681.5661;772297
3706.73814;2227055
3736.61131;488596
3752.60963;2464963
3755.75782;293831
3771.75255;403162
3794.66158;1321647
3803.77338;1102658
3819.76788;2671436
3835.76799;1165486
3882.78163;944790
3910.88546;533615
3918.98323;556836
3926.87906;685152
3935.98322;1413222
3950.77928;791336
3951.9783;994139
3962.89104;387604
4019.90899;3384395
4021.82466;1942207
4030.01085;577126
4276.10368;351977
4390.11022;352023
4487.04352;363743
4521.06287;1198913
4537.05417;274024
4835.27845;723029
