m/z,I
700.29158,214191
785.37629,292545
836.42217,881356
840.45327,553538
861.05429,678169
870.52429,287675
892.48245,177831
918.42765,285095
945.41888,355434
1066.0533,443672
1072.06958,395563
1078.08661,237377
1088.51123,443086
1095.53888,1363286
1105.54809,2743733
1110.49211,175114
1116.46402,403694
1125.50049,256458
1157.45766,232300
1182.58055,634580
1184.46166,214141
1201.55275,204388
1208.64254,1329256
1248.5108,284799
1267.63991,794282
1277.06625,223765
1283.08316,203385
1287.5964,197430
1328.60931,236697
1332.61528,359163
1350.58952,166331
1435.6365,1560909
1449.66362,231692
1459.64606,2157259
1465.64356,150284
1467.795,201940
1473.62419,893714
1481.62575,399899
1532.73037,492290
1562.72747,847559
1580.71212,1118564
1608.68024,300029
1644.66147,256035
1648.76901,2016022
1655.73895,2798665
1670.7492,431081
1674.74978,245281
1690.71412,390566
1706.70839,1094015
1719.77692,157232
1743.65745,510749
1759.64953,413167
1783.732,388850
1799.72637,924771
1800.81506,210225
1812.81479,959870
1816.79227,536553
1821.77464,356876
1822.75873,556250
1829.82873,215483
1832.78621,1497814
1845.82202,243644
1851.80873,191662
1863.79445,143743
1922.85016,377090
1975.90778,5702448
2007.84667,164876
2019.88265,3771333
2037.82424,1045997
2041.86263,792330
2055.99892,1561794
2056.88477,5466253
2072.91715,1387317
2077.98096,281586
2078.86679,979489
2081.79876,406058
2088.9087,2305928
2094.89334,276597
2104.90157,720682
2110.88886,401204
2118.80288,818347
2131.01399,7464297
2145.02648,525807
2152.99224,1183928
2168.95764,279546
2174.97419,298144
2198.86448,1572914
2210.99476,1701684
2214.85908,1061893
2215.94818,3430650
2220.84564,327739
2231.94394,772661
2237.92956,558917
2261.01526,737591
2282.99632,544660
2307.01872,435677
2315.92931,382516
2337.90761,252868
2410.00763,409255
2487.07105,719154
2497.06515,935349
2513.05995,1061365
2519.04803,218633
2548.06162,433241
2570.03922,223587
2705.08768,1891678
2719.06429,272073
2781.16007,687196
2792.15223,238050
2853.22518,1298897
2869.22087,352692
3017.15274,523121
3033.27935,1075657
3055.25863,234444
3100.1942,936542
3116.18784,662259
3122.17444,172201
3183.24615,205037
3227.28571,317083
3399.34304,194885
