m/z;I
722.35889;332197
728.3325;324412
809.35851;101687
836.43815;511059
868.46438;373801
892.50065;462014
898.51135;977097
942.44684;424516
953.4808;211249
1004.52762;212934
1010.49094;226433
1010.50207;501274
1026.49757;430933
1039.93376;119352
1048.59076;269487
1054.49205;362327
1064.51303;243584
1088.59723;434809
1095.56608;329258
1096.53921;618740
1105.57597;6188711
1105.62362;966535
1107.51867;306483
1108.50282;292880
1121.53442;228023
1121.57065;239544
1121.61858;430481
1125.52916;496522
1139.54522;202645
1146.56563;378740
1150.59737;186702
1153.56081;637075
1162.62305;580181
1163.59278;1168095
1164.60191;628178
1167.57637;720049
1182.55061;363903
1182.61229;397972
1183.57145;1222890
1192.68032;574038
1193.51917;294041
1193.6645;246676
1196.567;347170
1208.67527;1905042
1209.65987;830169
1210.54659;253572
1224.63423;264024
1241.66089;2810291
1254.53585;448910
1267.67654;606529
1273.70292;460348
1281.62012;1281782
1321.61502;337434
1323.66673;335451
1335.63022;565952
1346.71944;451065
1370.66804;168761
1374.75063;438087
1375.71007;217266
1390.73413;443321
1416.68748;298975
1417.73086;992602
1427.72927;12171474
1432.682;435659
1435.6832;3941085
1459.69445;2892507
1467.71995;225345
1473.67407;1540026
1483.71502;415840
1486.77834;269063
1496.75382;322062
1503.80445;256891
1512.74852;306371
1515.73166;304860
1525.68755;237963
1532.78358;719814
1551.79982;318584
1561.79923;6078860
1562.7832;7366982
1562.83091;2244898
1572.75244;323328
1580.76889;1424564
1586.75763;3152736
1589.71917;246873
1589.77927;997504
1637.72485;714047
1648.77999;1887567
1648.83025;1384035
1655.80224;1364613
1665.76362;360967
1674.8133;236478
1679.76618;241767
1688.88302;411502
1694.74601;474184
1698.82056;394265
1706.77379;749548
1716.91661;1767553
1726.86633;830990
1735.80144;436689
1743.72677;570124
1762.9097;277472
1771.9365;1027161
1783.80335;1717377
1787.90556;847557
1791.82851;391380
1804.93184;9103184
1814.91619;227680
1816.86709;2100848
1819.8958;582523
1832.86179;4408153
1848.8565;2041655
1874.82734;238266
1888.96594;419662
1899.9941;765395
1905.90678;668354
1914.94613;281137
1915.99079;426084
1922.93451;5874034
1927.05301;243378
1931.96869;511219
1933.9743;1538490
1958.97173;4914393
1961.89677;361770
1975.99602;52961332
1980.96645;1439140
1991.99198;421736
1997.99339;10060227
2014.07295;1664062
2019.97514;610941
2029.91634;458352
2030.06987;706273
2038.08407;1726035
2039.07046;4583220
2039.95641;1841292
2040.94076;1095426
2056.09378;46800120
2056.9803;12784997
2066.95219;399351
2072.09238;16041024
2073.01452;1430041
2082.94636;477867
2085.05201;467155
2089.0073;2299486
2095.01695;844905
2105.00246;733098
2115.97234;376128
2118.01973;491745
2118.09789;303939
2126.01366;296816
2131.11791;10876514
2146.94318;662900
2196.06962;322537
2198.97322;1235288
2216.06123;15395385
2232.0585;2512573
2256.05259;917992
2261.97681;724725
2266.06139;570654
2272.05033;517223
2282.12215;336945
2290.09145;291916
2322.09038;374341
2344.05785;566571
2348.08897;1490774
2357.11877;454695
2364.0864;2249987
2373.11197;255339
2410.13709;1992359
2419.15072;547016
2422.07271;379327
2432.13379;339420
2462.13637;488226
2471.22008;392407
2478.1275;1074833
2481.21331;863121
2487.21066;1466808
2497.20807;3591005
2502.20847;843448
2513.20554;3895912
2533.19083;833592
2550.21694;4757028
2566.20832;3465517
2582.22225;4723101
2651.25099;1755384
2659.25781;481226
2667.24303;550277
2675.24808;756832
2687.25083;506316
2689.26088;2317327
2704.02213;409242
2705.25373;46276356
2719.23555;6704508
2727.24093;412414
2744.27663;1306824
2757.16496;393882
2760.2734;3199025
2764.31048;3565334
2774.27669;817409
2781.33648;34852660
2792.32959;11637129
2813.3278;386335
2835.24595;1150800
2835.40669;250507
2853.41048;13285991
2869.40585;2423806
2880.39047;467605
2961.2993;465993
3001.37023;1357613
3002.34676;741754
3009.40481;1775277
3010.38257;1126512
3017.36275;7480462
3018.34048;3917016
3019.31917;1000262
3025.38115;531155
3033.48917;5171878
3036.40902;633338
3052.40454;3256160
3084.41644;3509006
3100.41443;23000616
3101.39021;5596809
3116.41294;11782989
3117.38871;3803307
3132.40475;528535
3153.33361;472139
3167.48493;1207829
3183.47879;4955886
3227.52479;2228902
3442.6187;278812
3502.58602;391424
3665.57717;1149708
3736.61125;1665449
4037.88508;1052704
4096.94647;677786
4112.93894;1322452
4127.92633;458652
4286.06298;333206
4302.04682;1003321
4318.03178;503558
4348.0986;376236
4365.09597;1266848
