m/z,I
722.35843,197183
898.47454,476582
898.51088,351763
997.46979,257446
1096.53810,514144
1105.57506,1976482
1138.56028,232307
1153.56001,431320
1163.59152,457360
1167.57595,726853
1182.61142,350265
1183.57100,504171
1208.67420,927351
1241.65987,244805
1267.67531,300200
1308.67317,208518
1323.66517,403849
1339.66015,376162
1346.71712,233257
1427.72779,4817038
1435.68168,1230957
1459.69270,892289
1483.71285,239573
1562.82939,683718
1586.75602,853741
1716.91481,277822
1783.80119,394583
1787.90384,326734
1800.87065,221267
1804.92979,3902283
1832.85989,1399873
1838.97463,298035
1848.85337,499486
1922.93104,789064
1958.96863,732661
1975.99438,7144657
2030.06832,225973
2039.95321,419927
2056.09224,6574840
2056.97850,3004786
2057.96382,1196770
2072.08879,3670545
2131.11487,2335924
2198.97224,247931
2216.05657,706379
2232.05520,321857
2410.13887,480810
2487.20856,356546
2513.19978,414685
2566.20538,340892
2689.25741,1361019
2705.25267,6180113
2719.23297,647369
2721.28558,358670
2759.28373,1344647
2775.27809,742186
2780.35314,1873121
2781.33048,3364166
2792.32542,1085653
2798.32983,229034
2853.40962,2343328
2869.40553,1118404
3001.37010,434070
3016.48952,273622
3017.36240,1308411
3018.49634,427892
3033.48678,4166581
3036.40616,476859
3052.39947,647169
3053.37834,252550
3084.41260,2647637
3100.41150,4827938
3101.38712,1731058
3116.40955,1649159
3227.51975,286271
4036.89268,451348
4096.94006,1126502
4112.93257,993762
4202.05792,1362655
4286.05289,484786
4302.04523,1468482
4318.03302,804377
4349.11223,261355
4364.09876,520199
4523.14091,754335
