m/z;I
836.43906;1590346
840.47049;681117
852.43416;536945
854.4129;633527
868.4653;640424
898.51217;876563
988.06356;359963
1028.08501;722002
1028.4939;771050
1065.59953;741695
1081.58682;197016
1088.53865;290018
1095.56752;4188293
1096.56463;307374
1105.57747;8816727
1108.03403;690375
1111.11356;120374
1111.56264;161521
1115.54579;369361
1116.49421;712396
1121.57235;317103
1125.53103;179733
1146.56811;185866
1161.57518;1263073
1162.62364;315078
1163.59404;731947
1165.52621;147082
1177.56971;1365393
1182.61412;970781
1183.57276;170530
1184.48324;151593
1192.63507;334349
1192.68271;1971110
1201.58806;2203038
1208.67772;8955026
1209.66176;1847337
1223.61553;227896
1223.65207;223600
1240.67889;2958978
1241.6631;2375302
1248.66013;156261
1261.63106;305267
1267.67887;3698552
1281.62155;2136153
1287.63627;288208
1324.67128;217364
1328.65152;559548
1332.6579;1733351
1344.64563;381737
1352.69147;394142
1353.19311;363590
1387.69644;2618932
1392.69039;200352
1402.67503;162747
1427.73189;22869042
1435.68539;18706836
1443.72656;863452
1459.69688;16355670
1473.67632;6533848
1474.84161;236735
1496.75657;791566
1512.75162;941087
1528.74597;349945
1530.70129;193900
1532.78621;2214178
1544.77389;553398
1551.80345;303846
1561.80138;11497272
1562.78524;11288907
1562.83307;7873964
1568.75061;314579
1575.86278;183932
1580.7715;6127536
1585.7766;4580345
1586.76083;14728732
1591.78597;366552
1610.81696;279648
1615.82364;4892682
1616.80852;1075783
1627.74611;2341864
1628.72992;2382198
1644.72548;2134994
1648.78268;6338748
1648.83308;3636847
1655.80265;6434800
1658.82194;1194061
1664.77844;2718073
1671.81218;727624
1674.81641;2342968
1688.88675;329479
1695.72492;280547
1701.85749;497561
1706.77813;3879443
1716.91825;731992
1726.87043;2644114
1742.7452;1787986
1743.72933;2666904
1744.77859;611292
1751.80014;275512
1758.73902;2039170
1759.72347;3287121
1760.70772;355345
1760.90706;269864
1762.91242;505524
1768.86422;248191
1772.78018;212800
1783.80764;3826221
1784.86072;674948
1787.90831;1278181
1788.77064;358130
1799.80405;6355952
1804.93535;42533956
1812.89117;1916210
1816.86968;2767367
1820.93038;520116
1822.83841;1589081
1831.94699;368803
1832.86545;9966575
1845.90052;590932
1848.85975;6749603
1863.87787;2982337
1875.94586;349672
1879.91383;343679
1888.92471;1526519
1888.96893;383870
1890.87577;235388
1899.99562;217927
1900.8832;530106
1905.90949;622056
1922.93819;18972910
1931.97205;480807
1933.97809;895060
1945.98816;494650
1958.97517;3018496
1962.93187;379977
1975.99839;128202536
1984.948;265348
1991.99566;2199815
2007.98863;312585
2012.95992;403594
2013.95733;788782
2014.07371;384655
2019.97819;4729816
2029.98481;386921
2030.07293;242393
2038.09098;542398
2039.07515;1040085
2039.96048;2307317
2050.98146;399825
2056.09784;37512720
2056.98345;85813664
2057.97097;18677234
2066.955;623801
2072.0957;18788986
2073.01874;6434573
2074.00484;1863450
2081.96757;2631430
2082.9531;1531064
2088.08993;406827
2089.01312;17208276
2089.99976;4726793
2094.03914;3709897
2096.02557;892019
2105.00577;7639382
2105.9929;2128693
2110.03151;1215994
2118.10045;688581
2131.12214;42860092
2133.99106;307130
2146.94842;535535
2147.11542;867787
2150.97564;1142977
2151.03765;1831908
2153.10224;442919
2163.01396;852209
2163.11018;183984
2169.07725;307718
2185.05298;203072
2198.97956;14640537
2214.97454;16545510
2216.06314;62859648
2230.97217;707866
2232.06167;14402327
2248.05427;537926
2256.0611;1092163
2261.13704;7530346
2261.99166;709769
2263.9807;259159
2265.06056;468429
2272.0536;1076273
2282.12281;311169
2287.13904;352057
2307.1462;4832492
2316.05698;2950609
2322.08245;211130
2323.13889;1524654
2329.12385;363017
2332.04989;278468
2346.08543;380733
2348.09413;3036006
2364.09127;5731525
2373.11657;629562
2390.19065;1099251
2410.14471;3796061
2420.18697;524981
2424.09589;1295378
2447.21777;699084
2461.15831;1181877
2471.2257;2421004
2477.15258;2258916
2481.21972;2624165
2487.21746;16620967
2494.09645;1683043
2497.21245;19774560
2501.17277;454319
2503.21397;645205
2510.09163;2968892
2513.20835;32175354
2529.20694;1018722
2541.15267;928248
2547.21418;1310467
2549.22131;8100440
2564.21046;1114311
2564.23155;1359222
2566.21672;11109657
2582.22964;11281378
2589.26391;968880
2596.2279;452306
2607.29809;2585762
2651.25832;4418564
2667.25208;1905196
2675.25799;968333
2687.25986;450344
2689.27045;1767118
2704.01819;1642708
2704.25355;101684920
2705.49301;1556459
2711.28461;1337303
2719.24017;30215632
2726.25996;1036933
2735.23973;1219009
2742.26449;3368218
2743.29508;2669943
2750.36842;392552
2759.29615;10745742
2763.32918;1747091
2769.35893;2998164
2775.29099;7780337
2780.36381;9121883
2781.34386;41591264
2792.33837;11059940
2809.39893;451232
2813.33152;235977
2853.41724;35927464
2853.6788;535936
2869.41353;10560305
2880.39617;1148788
2889.35936;240303
2930.35152;819190
2946.34439;706424
2971.32206;373767
2988.31865;1985142
2989.29912;1030517
3001.38101;1512108
3002.35725;691840
3009.41358;3123871
3017.37115;13109485
3018.3484;3936240
3025.38548;382299
3033.49943;3536910
3052.41331;1554327
3084.42705;1142814
3100.39407;3489313
3100.42315;14055931
3116.39237;3859659
3116.42113;13239654
3132.4185;747308
3167.46828;896054
3167.49655;2346554
3183.46158;3830246
3183.49082;9393472
3199.48491;1399918
3211.54292;592154
3227.53439;4710538
3243.52635;1014283
3399.5863;499249
3509.48561;172690
