;1088.53841;1191.64884;1562.78291;2081.96185;2743.28834;2820.35292
auroch(9).s1;NA;NA;6784540;NA;1461517;NA
auroch(9).s2;NA;NA;5210437;NA;1303070;NA
auroch(9).s3;NA;NA;6202725;NA;1279481;NA
aurochs T;NA;NA;2268456;NA;NA;NA
C1-1;NA;NA;4663926;NA;NA;NA
C1-2;NA;NA;3163125;NA;NA;NA
C101_aurochs;NA;NA;10804463;NA;NA;NA
C102_aurochs;NA;NA;5526809;NA;NA;NA
C2-1;NA;NA;3747639;NA;NA;NA
C2-2;NA;NA;4073170;NA;NA;NA
C3-1;NA;NA;5109170;NA;NA;NA
C3-2;NA;NA;5026706;NA;NA;NA
C4-1;NA;NA;4254330;NA;NA;NA
C4-2;NA;NA;2944519;NA;NA;NA
C5-1;NA;NA;5037566;NA;NA;NA
C5-2;NA;NA;4701941;NA;NA;NA
C6-1;NA;NA;2508550;275321;NA;NA
C6-2;NA;NA;3834334;551664;NA;NA
C91_aurochs;NA;NA;3251379;NA;NA;NA
C92_aurochs;227146;NA;21999976;NA;NA;NA
Wa12_aurochs;NA;NA;21955300;NA;1661092;NA
Wa5_aurochs;NA;NA;7971982;NA;602776;NA
bois de daim;NA;NA;NA;NA;NA;323572
cerf-id79.s1;NA;NA;7982025;2244061;NA;NA
cerf-id79.s2;NA;NA;10209782;2258533;NA;NA
cerf;NA;NA;8096763;NA;2451511;NA
cerf.s1;NA;NA;20273429;NA;NA;NA
cerf.s2;750093;NA;18260337;888136;NA;NA
cerf.s3;483380;NA;19193065;NA;2240416;NA
cerf(3).s1;355906;NA;5252861;NA;4275750;700203
cerf(3).s2;NA;NA;4877598;NA;NA;NA
cerf(3).s3;271008;NA;3891282;NA;2783531;420874
cerfID79;NA;NA;1232873;NA;372921;NA
chèvre 2;290489;277058;6744105;NA;NA;NA
chèvre 3;173198;NA;2595051;NA;NA;NA
daim_os_long_act7.s1;NA;NA;NA;NA;NA;NA
daim_os_long_act7.s2;NA;NA;NA;NA;NA;NA
daim_os_long_act7.s3;NA;NA;657898;NA;NA;NA
daim_os_long_act8.s1;NA;NA;2272862;NA;NA;NA
daim_os_long_act8.s2;NA;NA;1789898;NA;NA;NA
daim_os_long_act8.s3;NA;NA;NA;NA;NA;NA
daim;NA;NA;2312012;NA;NA;NA
daim.s1;434924;NA;7688123;NA;NA;NA
daim.s2;NA;NA;8780698;NA;623119;865075
daim.s3;NA;NA;7597655;NA;652935;863380
daim1;434924;NA;7688123;NA;428155;NA
meagC73;334357;NA;7027589;NA;NA;NA
meagC74;308314;199874;4406656;NA;NA;NA
meagC75;356857;NA;2525501;NA;1294661;NA
meagC76;259100;289355;3089452;NA;NA;NA
meagC77;NA;NA;2718459;NA;NA;NA
meagC79;NA;377975;9947440;NA;NA;NA
meagC80;1404528;NA;28362371;NA;NA;NA
mouton 1;353093;NA;5820489;NA;NA;804716
mouton 2;380703;NA;7986796;NA;2311737;NA
mouton 3;NA;NA;4125764;NA;3035567;793986
mouton 4;238413;NA;4736211;NA;1347456;NA
mouton 5;NA;424479;8509246;NA;1767706;NA
mouton 6;277311;NA;NA;NA;NA;NA
mouton 7;251371;NA;2889884;NA;2999325;NA
mouton 8;NA;NA;3205906;NA;1636864;NA
mouton 9;217134;220252;3398338;NA;2094843;NA
porc;NA;NA;3271162;NA;NA;3490504
porc.s1;NA;NA;1811238;978828;NA;16400388
porc.s2;NA;NA;NA;807846;NA;14821257
porc.s3;NA;NA;NA;907284;NA;14766129
porc(1).s1;519310;NA;9660847;NA;NA;14012206
porc(1).s2;286569;NA;8789370;NA;NA;12689578
porc(1).s3;NA;290491;9072417;847011;NA;14475671
porc1;NA;176015;NA;NA;NA;2341237
sanglier 2;NA;NA;7676796;NA;NA;10318280
sanglier_crane_act5.s1;NA;NA;3555660;NA;NA;14134273
sanglier_crane_act5.s2;NA;NA;2165299;NA;NA;14316346
sanglier_crane_act5.s3;NA;NA;NA;NA;NA;15114612
sanglier_mandibule_act4.s1;NA;NA;NA;NA;NA;5192169
sanglier_mandibule_act4.s2;NA;NA;1637133;NA;NA;5176936
sanglier_mandibule_act4.s3;NA;NA;NA;NA;NA;5767426
sanglier;NA;464896;14911179;464461;NA;16384765
sanglier.s1;NA;NA;1444988;NA;NA;8245194
sanglier.s2;NA;NA;3734988;NA;NA;7955695
sanglier.s3;NA;NA;3496491;NA;241426;7071870
sanglier1;NA;NA;2643877;NA;NA;4416499
B1-1;645424;NA;4562279;NA;NA;NA
B1-2;768989;NA;4107339;NA;NA;NA
B2-1;443086;NA;847559;406058;NA;NA
B2-2;460085;NA;1536766;584347;NA;NA
B3-1;613866;NA;1525223;NA;NA;NA
B3-2;471220;NA;1595783;NA;NA;NA
B4-1;891040;NA;5425104;NA;NA;NA
