m/z;I
899.49449;265851
992.51665;284319
1010.50205;240537
1048.59015;176937
1054.57575;890326
1094.5346;321350
1095.56582;1026642
1096.53784;227587
1105.57532;4140732
1106.55963;1323173
1121.57004;311575
1136.60593;152714
1141.56001;116033
1160.60632;175157
1162.55671;312384
1162.59646;843532
1162.62195;898744
1163.58074;2045326
1164.56502;1211051
1165.52365;177938
1174.5494;1758082
1192.64398;740568
1193.62776;1453130
1193.66419;284560
1207.6072;182818
1208.67483;1737314
1209.65928;1579161
1224.6333;419506
1240.67646;786597
1241.66046;5803951
1263.64207;292256
1264.62867;178971
1267.67618;803442
1281.61809;140338
1295.64046;159263
1319.67146;1239599
1324.66962;127119
1331.62486;665696
1347.61891;316869
1377.69926;200525
1384.6511;200078
1386.77449;312497
1387.69342;249568
1393.67116;2395194
1409.71169;129739
1416.68712;235103
1417.77983;131486
1420.68247;135439
1427.72851;12138016
1435.68277;2887259
1443.72369;368588
1447.75508;445418
1453.74405;444706
1459.69371;5239691
1463.74042;13723117
1479.73436;1614734
1485.72143;959486
1488.77283;160581
1532.7816;224355
1547.69215;1331198
1561.79831;5211572
1562.78238;5166830
1562.83031;2805152
1572.77706;2712437
1580.7688;645238
1583.70952;2293659
1584.81097;257198
1586.7568;2283979
1590.7878;1940105
1601.7194;488374
1608.73794;197230
1615.82097;525472
1616.80382;437944
1636.84243;183952
1637.72317;199684
1648.82971;3969913
1655.81567;1095829
1660.82028;2595576
1677.83228;448836
1700.89853;409057
1702.815;239050
1706.77248;150905
1711.83998;687014
1716.91532;227483
1719.84269;2424079
1726.86593;967214
1741.82276;207574
1753.79423;1704147
1769.78971;471776
1769.89508;1442400
1771.93485;790316
1800.87164;3419596
1804.93096;794735
1805.90374;366124
1816.86597;4968478
1822.80425;173795
1822.85362;491349
1832.86059;3568248
1838.84641;872304
1848.85649;1237975
1854.84358;457859
1899.99251;278933
1909.92838;412299
1920.95457;2463895
1922.93376;4127564
1927.05228;159081
1931.96717;287162
1933.97263;550464
1958.97062;1465938
1969.92663;248984
1970.8555;197842
1975.92204;5377564
1975.99464;37644248
1985.92479;788036
1991.99323;518402
1997.99177;4126252
2014.04642;770850
2014.07062;512258
2015.95375;845766
2019.9746;2040858
2029.91642;400668
2039.06936;1387441
2040.9391;1111118
2041.96817;2013299
2056.09256;32064836
2057.9637;21387732
2060.00599;11577878
2072.09174;9887122
2073.99891;1400344
2078.07857;1982594
2079.94843;1385360
2081.99001;931322
2089.99029;1768304
2094.06997;884362
2102.09876;1608746
2105.98619;362442
2110.01394;397700
2113.92626;432719
2115.9906;330973
2121.07329;7358538
2122.05996;1012461
2131.11664;26156130
2138.05194;227063
2144.03808;1047932
2145.12952;2766800
2146.94147;442744
2149.08711;18790762
2155.10176;305270
2161.06831;606022
2167.11471;384489
2171.0743;2138055
2177.06624;2886243
2187.04773;316898
2193.05627;267724
2208.03087;402958
2214.04129;3362598
2216.06035;6616347
2227.99044;565876
2230.04229;2180355
2234.08372;5791465
2237.03782;696749
2241.12876;510671
2255.06492;2489586
2256.05089;1620250
2264.16582;269636
2265.05223;1536404
2271.06312;1187649
2277.04798;309884
2283.09999;998773
2294.00199;255604
2298.06752;2496120
2314.05892;2649925
2321.11547;786077
2329.11549;358673
2336.03696;399881
2358.10087;272552
2374.09395;322698
2378.13645;236407
2384.1002;209457
2385.00859;138843
2395.12784;246496
2398.24531;145959
2409.02237;236137
2410.13564;613159
2413.20988;458713
2424.14442;186883
2429.20848;5613108
2430.29823;144944
2432.13893;172296
2451.15929;910199
2466.24958;576210
2467.14405;270908
2471.2176;3006082
2481.21118;740424
2487.20913;6544987
2497.20709;1999728
2497.24165;10738937
2509.19398;645218
2510.08495;315474
2513.20387;1710950
2519.22761;1204721
2527.18952;259166
2550.21492;1438035
2555.14593;514354
2566.20856;2182913
2582.21976;562798
2589.24991;209180
2595.15742;152774
2611.24096;335873
2674.25099;3626540
2683.32119;345192
2690.24065;6660041
2696.22788;713776
2704.24871;3057098
2706.23594;6276767
2708.30961;903565
2720.21684;2769023
2725.33979;13856015
2727.22042;1023473
2734.30631;1948805
2743.31652;602776
2747.32713;1304979
2759.28869;994520
2763.31161;627396
2769.30931;603098
2775.14862;224645
2779.26638;427361
2779.41983;1969734
2781.33759;7144446
2785.30629;615484
2793.32915;422538
2795.41424;564114
2803.31225;442728
2835.24295;250669
2853.40894;11855744
2869.40682;3606128
2875.39678;1343232
2879.42845;15790873
2891.39265;536765
2895.42734;1964507
2898.3471;755665
2901.41557;2380845
2923.40419;176181
2933.35766;265237
2969.50679;911807
2970.48369;1578505
2994.3879;224279
3019.32505;1390395
3020.30138;570043
3033.48697;2041243
3054.36182;549733
3055.47159;308394
3076.47134;765809
3086.38207;1127525
3093.49996;604889
3100.40055;5977800
3102.37909;9805656
3109.50196;1229667
3117.40115;2209284
3118.37738;3520392
3123.38714;703401
3124.36421;1850743
3125.49977;566576
3134.37441;314823
3140.3604;550090
3154.43561;1432611
3184.44005;988038
3184.46497;795506
3227.52219;1041241
3228.49774;1146459
3243.63045;299307
3245.49169;268924
3279.39744;318943
3282.35594;428734
3400.59323;984963
3505.57325;257704
3571.69341;242514
3835.7385;290764
