m/z;I
699.4077;424618
704.02625;2032163
713.424;2044139
721.43679;148558
785.3916;343539
811.09902;181651
836.43953;1327354
840.4711;813444
842.51213;731457
854.4139;1399641
855.0556;624090
856.52829;137217
870.54316;502031
871.02959;349620
893.02054;210213
898.51317;755953
976.45098;280178
1029.47679;118422
1033.51894;280852
1060.06387;234178
1066.08158;357014
1082.05493;555269
1094.55076;263837
1095.56876;469990
1099.55244;261689
1105.57854;3914246
1115.54764;726291
1116.49479;498079
1155.63789;318630
1198.70978;281014
1199.66475;285110
1208.67862;887885
1215.6393;233070
1232.60157;428409
1243.6914;312640
1249.75446;163767
1259.66571;359312
1265.72817;158919
1267.67995;1387602
1281.62274;1203669
1287.63689;321471
1287.71796;538785
1293.08097;369241
1293.77974;302329
1303.6911;349868
1309.75362;214982
1328.65287;616570
1331.74378;522312
1332.65905;662514
1341.61518;347370
1344.64786;281756
1347.71794;447621
1353.77998;365668
1375.77005;603935
1381.83328;625423
1397.80669;575852
1419.79721;653522
1425.85976;636963
1427.73327;755326
1435.68709;5584127
1441.83397;546309
1459.69886;2482657
1463.8237;568391
1469.88605;901857
1473.67785;1641327
1479.7976;536668
1492.69714;838566
1493.73984;322101
1498.08929;282150
1507.85033;523423
1513.91245;844444
1517.76365;150624
1523.82451;371329
1529.88622;795472
1532.78751;460994
1557.93826;855347
1562.78717;1221684
1567.85048;312042
1573.9126;705251
1586.76295;1778765
1595.90214;231253
1601.96605;616566
1611.87696;225977
1615.82538;330088
1617.93978;501105
1644.72744;364962
1645.99078;442473
1661.96635;475602
1690.01714;331398
1701.73813;570966
1706.77926;721943
1733.87785;437847
1734.04442;254123
1743.73129;184115
1744.78068;406743
1750.01967;227117
1758.74193;1088864
1759.70801;314551
1766.83694;224587
1791.73533;692459
1799.80638;404436
1863.87963;1669843
1873.84853;261045
1922.94064;256466
1976.00361;518150
2019.98153;360068
2090.00371;325798
2151.04042;340961
2211.11449;410230
2213.97604;217795
2214.97689;2285928
2216.06737;612608
2232.0642;279214
2775.26429;281527
