m/z,I
836.43760,410676
868.46393,310541
898.51103,776000
1095.56538,413144
1096.53838,190234
1105.57547,6021514
1125.52900,193195
1127.55762,418134
1153.56064,212941
1162.62212,305209
1182.61218,398295
1183.57137,309390
1192.68027,918841
1208.67507,3378175
1211.64317,253242
1226.57730,258166
1240.67633,262970
1249.59327,168920
1267.67599,764428
1281.61968,463279
1312.74832,183759
1338.64433,349738
1354.63768,254382
1379.61991,139348
1417.73038,488331
1420.68285,265406
1427.72855,10930748
1435.68287,3892536
1449.71063,553769
1459.69387,3422572
1474.83896,409672
1496.75335,308142
1512.74809,276431
1532.78334,862465
1561.79867,6427955
1562.78285,2793409
1568.74645,160127
1572.67858,419557
1580.76847,1953641
1585.77298,2027732
1586.75721,2379421
1602.74974,214171
1604.81486,349308
1615.82146,2046168
1648.77868,594711
1655.80045,772500
1706.77411,1496930
1716.91503,405582
1726.86520,562902
1759.71886,352989
1771.93502,357243
1783.80369,593916
1784.85673,311457
1787.90535,544368
1802.78400,355500
1804.93103,7492784
1816.86616,1643850
1818.77932,298047
1819.89492,224228
1832.86091,3119548
1848.85620,1923298
1858.85202,219863
1899.99324,367976
1900.88030,299050
1905.90452,175008
1922.93380,3274819
1933.97354,454155
1958.97068,1343669
1975.99510,20904270
1991.99197,471416
1997.00832,1419656
2014.07226,567536
2019.97538,665355
2028.99819,367298
2039.07073,1512367
2039.95565,1859862
2056.09302,23301314
2056.97938,25636820
2072.09160,6786190
2073.01423,3875205
2078.08045,945237
2078.96607,1160427
2089.00736,4226766
2094.06961,331011
2094.99286,196962
2105.00214,890349
2110.01355,462345
2110.90154,493583
2131.11681,15374916
2147.10999,296543
2151.03186,394015
2153.09664,1186694
2169.07429,545654
2185.03646,244754
2198.97299,2330912
2200.06257,358206
2214.97006,2673120
2216.06012,6993968
2232.05782,1776375
2238.04334,499369
2261.13002,1089756
2274.16035,307110
2283.11622,1338443
2290.15919,886232
2299.09122,605849
2307.14062,615419
2313.12433,389434
2316.04813,357011
2329.11724,1136012
2363.08394,536104
2410.13863,1504126
2465.10035,430951
2481.21060,1617888
2487.20955,1832266
2497.20688,3372593
2513.20414,2008439
2550.21723,713851
2566.20874,1213568
2570.18772,638184
2578.17568,1000662
2580.15321,395774
2581.23135,3975816
2594.17013,1297284
2607.29060,376573
2610.16825,394466
2689.25922,4670968
2705.25097,36818156
2719.23281,5382415
2727.23830,2969555
2743.21567,1102208
2743.28867,1646227
2759.28835,4906119
2763.32042,1996885
2769.35188,652821
2775.28156,3374678
2781.33844,15584971
2792.32839,8807981
2797.32631,440523
2814.30708,642251
2835.24149,636337
2836.40637,528419
2853.40900,16515149
2865.38822,233509
2869.40573,4113241
2875.39427,1102211
2880.38785,391149
2892.36278,385763
2914.34290,276153
2930.34102,957896
2946.33511,555097
2988.30433,1120537
3001.36549,3502333
3009.39913,940456
3017.35801,12929068
3033.48560,7567118
3036.40234,734211
3039.34114,1343130
3052.40030,2384127
3055.31317,579573
3055.46799,839865
3074.38629,342938
3084.41378,3239210
3100.41159,16412028
3114.40063,362008
3116.41028,13687350
3122.39944,2127964
3132.40787,1028856
3138.36930,821307
3138.39698,1129026
3167.48374,2866437
3170.32946,412604
3183.47507,7668677
3199.46899,967613
3211.52653,741663
3227.51948,4189776
3243.51124,1070232
3249.49787,427224
3264.46085,248843
3399.60732,1888798
3517.59529,767219
3531.47283,1022034
3547.44681,338990
3665.57288,1637213
3736.61357,2227072
4035.91355,438821
4096.94964,894866
4112.94501,1477517
4127.93281,324302
4153.09223,327875
4286.06489,807262
4302.05554,1645657
4318.05136,472153
4348.11744,741508
4364.11490,1231632
