m/z;I
868.46401;525747
892.50028;518778
898.4749;1129371
898.51085;679900
942.44649;527133
1013.50205;362269
1048.59018;290972
1051.53601;324091
1070.52247;250194
1082.52297;207042
1090.49124;324755
1096.53857;744773
1105.57527;4250828
1112.57375;381112
1121.61804;373508
1129.60066;1114491
1139.54447;261813
1146.56596;329992
1150.54884;259329
1150.59655;726922
1153.56048;557004
1154.58053;542214
1162.62174;708675
1163.59209;1093952
1165.52356;414979
1167.57617;1459587
1180.64381;676430
1183.5709;1739898
1186.62206;1131305
1193.51849;356446
1193.55494;384054
1217.66384;187601
1241.55862;1102733
1241.66021;1549682
1250.57743;253907
1251.65189;273296
1254.53567;329769
1261.62806;282928
1267.67549;654504
1273.70191;415992
1282.64;306886
1299.7069;514646
1323.66573;680013
1335.6293;369061
1374.75012;527721
1416.68699;515271
1417.72989;389213
1420.68234;541641
1427.7283;9838410
1439.72451;213874
1459.69236;1831247
1467.71925;211371
1483.71467;537374
1496.75284;566281
1561.79832;3132718
1562.78222;3205906
1580.76825;1176426
1585.77225;907856
1589.77839;302884
1599.82451;216348
1604.81453;283597
1605.79831;281437
1616.80377;821628
1621.72599;376132
1648.77873;547060
1648.82939;899593
1655.80005;641860
1694.7451;360083
1699.88911;290780
1706.77277;850831
1716.91519;1138783
1726.86576;1892201
1735.80004;352341
1768.86209;320893
1783.80206;1843463
1799.79933;840616
1800.87029;669127
1804.93025;12638756
1816.86507;3173150
1819.89369;392857
1832.86053;2437064
1871.96035;508585
1874.82732;329986
1898.97616;602033
1905.90545;406319
1915.94616;199284
1922.93248;2685334
1931.96748;405606
1933.97262;1283768
1958.96933;3351909
1962.92597;249787
1975.99468;28968448
1986.043;1105360
1998.028;4808645
2011.03551;2608873
2014.95748;539648
2028.06394;18092300
2039.95402;1506204
2044.05697;7931992
2056.9785;9368221
2057.9637;5065038
2073.99719;453574
2089.00343;578805
2115.97308;255939
2131.11575;4331111
2146.94327;256584
2200.06102;370276
2216.05874;4223686
2232.05667;553750
2256.0506;1032508
2266.06025;470184
2267.145;428388
2306.10102;325612
2316.08088;235567
2348.08522;1159618
2364.0832;868182
2403.15362;555047
2410.13509;1099275
2419.14962;581399
2485.22993;1809859
2497.2049;1675979
2503.21066;220173
2513.20289;758570
2550.21416;1693013
2566.20526;1010423
2689.25847;4293232
2702.23556;1507042
2705.25277;15649929
2719.23279;937825
2743.28872;1636864
2751.39454;457948
2759.28492;2200031
2766.33665;3062974
2767.31919;7348380
2775.27918;734178
2785.35338;796214
2792.32669;4158212
2793.30365;931919
2794.40016;860554
2814.32795;568591
2839.39562;350461
2867.42619;468365
2883.4227;7815094
2899.42013;821452
3009.37677;489351
3009.4036;791625
3017.36224;2393515
3018.34028;1777984
3036.40497;781973
3052.40185;969670
3068.41449;1064793
3077.49638;903625
3084.41296;6158661
3093.49393;12304448
3094.46609;2040840
3100.41117;9866346
3116.40984;1820610
3651.55343;958518
3722.59437;1151276
4036.8894;1300740
4053.91495;1096886
4069.91006;1150007
4096.94036;1592739
4112.93652;1746305
4128.91346;398772
4153.08523;540083
4202.06929;354802
4286.05126;885945
4302.03649;1363362
4348.10881;2317397
4364.09834;3458527
4577.15472;617371
4593.15619;580382
