m/z;I
726.88948;533562
728.33217;317654
784.44246;556553
811.44212;310971
824.47414;257869
835.34812;407437
836.43775;2091816
840.46879;669651
852.43284;807207
860.56194;159185
868.46383;989113
886.43784;587936
898.51099;2331208
908.42254;154278
908.49503;438906
950.46945;269908
971.45447;653776
980.99218;277543
981.02268;634578
992.51654;287299
1010.50157;274308
1024.51733;260772
1054.49162;248601
1060.06187;905954
1062.33727;314819
1064.55932;392725
1064.61347;732898
1065.59635;544471
1080.50691;162028
1090.52801;143538
1096.50049;133343
1099.54958;324782
1105.57521;14516425
1106.55934;1068934
1107.51797;202713
1115.54445;495520
1116.49161;676283
1121.58144;6366783
1122.57903;468568
1125.52851;398667
1127.55694;313386
1143.52162;173256
1154.54343;168977
1154.58045;562677
1156.52286;312885
1162.55571;201322
1162.62195;993072
1163.59167;936303
1167.57557;262478
1177.56732;1266923
1178.59123;264626
1180.64372;2812458
1191.64894;464896
1193.51826;317183
1193.62764;259462
1196.63884;3288685
1197.62261;751045
1207.60693;209936
1220.675;245234
1224.5323;374102
1224.63301;173170
1226.57668;318252
1236.59708;152613
1236.6695;425382
1239.64466;3079428
1240.67619;2146792
1241.55845;459479
1241.66028;2765423
1250.57628;155508
1251.6516;181981
1254.53528;177711
1259.68599;216069
1261.6289;517540
1264.62843;295636
1278.60737;164656
1293.61966;144239
1308.67343;667417
1311.62942;1419873
1324.66793;807590
1332.65455;1111337
1343.67114;683053
1346.64492;412177
1369.67144;221213
1373.67764;1490637
1379.61933;356909
1417.72905;560144
1435.68252;13004581
1437.67242;420312
1439.72422;406028
1446.77094;181981
1447.75455;345676
1453.74393;57221560
1459.69291;12972182
1463.73938;463564
1469.73912;2540518
1473.67321;4900665
1475.72605;628435
1537.70258;241877
1548.7779;1386304
1550.75684;4338409
1561.7982;9893790
1562.78224;9651459
1562.82977;5259720
1585.77256;2767192
1586.75662;11423843
1601.82887;1400833
1602.81281;2072532
1608.74041;343807
1615.82065;5510908
1616.80444;1221472
1628.72598;1356121
1631.81489;309581
1637.72418;251097
1637.75187;205450
1644.72141;922357
1648.79284;570069
1655.79965;2001514
1655.81437;799432
1660.82009;197839
1665.76133;234370
1674.81268;296067
1690.7789;685053
1698.82021;608926
1704.87786;250813
1706.77277;2416520
1713.81941;155494
1726.86522;817689
1743.72569;1275039
1754.79444;602589
1759.7194;1305268
1762.87329;342975
1768.86265;523024
1778.88272;534952
1783.8028;1815420
1786.88425;633075
1787.86832;810787
1795.91107;7709889
1799.79949;2394937
1803.90986;4559038
1804.89422;15743683
1812.88808;429127
1816.86557;5489613
1820.88987;282825
1832.86045;9823754
1841.93822;267555
1844.92602;2091689
1848.85566;4876363
1888.91669;248317
1892.92164;5166955
1917.95457;364787
1919.95955;885373
1944.95403;2183919
1961.98022;52357780
1977.97351;896760
1984.98636;315600
1986.04393;439614
1993.97105;414724
2002.01106;8494983
2005.95717;1900756
2010.05209;705924
2011.03587;1394421
2013.95543;839675
2013.98449;2185034
2028.06485;22453298
2039.95463;2154942
2044.05777;34508924
2044.99151;958734
2054.01562;1153057
2056.97867;35616676
2060.0528;748686
2065.96631;386396
2067.06347;361921
2068.09549;3406034
2072.97578;497888
2081.96181;464461
2084.08986;5396723
2089.00669;7633166
2089.99217;2144188
2097.0105;2185479
2105.00089;15898290
2105.98711;4174320
2120.99887;5208344
2131.11599;47162028
2147.10877;1200752
2149.04976;603281
2150.96877;526533
2153.09503;799538
2159.11008;401983
2164.04652;1065980
2172.03639;949867
2188.02817;21962160
2198.97226;7025595
2204.02068;1016601
2205.06759;686561
2214.96959;5262651
2221.06506;804368
2227.00482;346315
2230.96792;185246
2231.04369;169817
2266.06117;295765
2266.1399;304800
2281.1222;213520
2282.07082;1751393
2293.0898;528938
2294.14616;552788
2298.06698;590733
2304.03091;309639
2309.08084;315986
2310.13863;5022590
2326.1297;724500
2332.11601;628248
2356.19174;349864
2364.08447;812987
2390.14635;859050
2410.13766;4505169
2434.11253;189914
2438.22665;1071478
2446.21248;209032
2453.21428;651040
2455.22499;16422756
2462.14524;530729
2467.19762;3162470
