m/z,I
898.51111,598472
942.44615,349276
1010.50171,222805
1024.51743,218141
1026.49685,259559
1079.52278,385031
1090.49126,188255
1105.57529,3571204
1107.51770,173734
1120.54971,607368
1121.58156,533159
1121.61753,324995
1125.52916,612954
1154.58071,310072
1162.62199,575169
1163.59145,899806
1165.52351,337079
1167.57574,670044
1180.64375,818204
1181.62806,239730
1183.57064,495144
1193.62752,295014
1196.63897,758224
1219.61946,200372
1223.60176,220465
1226.57700,399171
1227.56031,201367
1241.55857,758146
1241.66043,604687
1249.59221,267380
1250.57620,275924
1251.65144,179858
1259.68600,237049
1261.62875,240858
1264.62809,240677
1308.67335,376763
1323.66506,277419
1324.62443,184657
1379.69128,200994
1417.73009,502363
1435.68255,3470577
1453.74405,15429433
1459.69360,2219513
1469.73887,741441
1473.67287,1233226
1511.74486,216195
1550.75649,1156909
1561.79836,5773798
1562.82973,1444988
1585.77234,1461987
1586.75636,2120192
1589.77792,203741
1604.81441,349863
1637.72342,336964
1655.79905,592337
1665.76083,192248
1678.75023,281906
1694.74362,279252
1698.82025,231454
1702.89979,462831
1726.86520,322434
1743.72490,358029
1783.80252,917282
1787.83521,397551
1791.82536,168744
1795.91025,1855891
1799.79996,518415
1803.91017,4465806
1804.89437,4369344
1816.86541,2595176
1832.86081,2772014
1838.97558,263767
1892.92176,1635627
1919.95810,395513
1944.95332,1090961
1961.98019,13006880
1977.97418,319593
2002.03556,259653
2005.95586,314354
2011.03500,666298
2028.06426,8632123
2039.95445,946749
2044.05715,8491861
2056.97881,9478867
2057.96430,3000768
2089.00542,1495173
2105.00108,2728333
2121.98413,299269
2131.11569,9303939
2146.94097,242867
2165.04677,211076
2188.02795,5754490
2198.97171,2343018
2204.02190,392081
2214.96878,880136
2282.06966,868745
2294.14478,224952
2310.13823,503470
2348.08817,317313
2364.08048,448208
2410.14084,1291253
2455.22451,2961154
2471.21636,1206449
2483.18961,2582817
2499.18495,1573418
2565.24138,4326283
2576.22637,1360361
2592.22185,801403
2650.25147,887498
2689.25847,7698027
2705.25290,17636272
2719.23265,4314496
2737.28898,449794
2749.30885,1411620
2752.27823,1227009
2759.27516,595801
2769.31215,3596583
2775.15974,481118
2785.30011,8981978
2801.29203,2871945
2820.35306,8245194
2821.23000,318130
2839.39136,345260
2867.42548,1391791
2883.42241,15493380
2899.42088,1986476
2916.42118,209453
2917.29441,1527940
2987.38931,9745653
2988.36794,6138255
3009.39988,925862
3017.49176,379894
3026.37783,331748
3033.48548,3975460
3036.40700,505959
3052.40075,586507
3068.41911,722884
3084.41296,7577505
3085.38987,2559195
3100.41134,12064576
3101.38792,4137511
3116.40914,3424138
3117.38621,1322604
3153.46717,2198057
3154.44462,1355162
3169.46120,2284151
3170.43854,1075999
3225.54190,1388637
3241.53161,2749500
3388.58099,459310
3503.58078,524615
3681.56738,751214
3752.58678,647192
4019.90529,587151
4096.94159,1450264
4112.94116,1289084
4127.92901,283548
4139.07339,486553
4274.03069,408150
4290.01470,1424218
4306.00459,862306
4375.12189,495731
4391.11400,1228437
4493.13648,1306815
