m/z,I
836.43790,322643
892.46386,226699
898.40203,266467
898.51082,517259
927.46459,223927
1010.50163,227173
1024.51724,256675
1026.49677,394461
1032.54769,194265
1048.55396,438329
1079.52323,400538
1105.57532,3690546
1108.57495,157761
1121.58158,2204807
1125.52903,597444
1153.52350,254427
1154.58042,434025
1162.62209,695398
1163.59216,1008306
1165.52363,426441
1167.53897,186065
1167.57588,675381
1174.56046,181046
1176.61246,370324
1177.56790,343217
1180.64386,1980576
1183.57060,483798
1193.62756,297293
1196.63903,1061504
1202.66468,163525
1226.57752,516367
1239.64491,703496
1259.64961,217685
1259.68529,237947
1261.59189,166094
1261.62923,244335
1264.62834,481083
1311.62863,237534
1323.66490,144063
1339.66070,294693
1343.67103,505587
1346.64538,505583
1361.60833,252449
1379.69163,289049
1392.65027,297356
1417.73013,579203
1435.68231,3985073
1439.72423,309715
1453.74405,15962522
1459.69336,3499796
1469.73894,705300
1479.79613,1001627
1498.73299,226761
1537.70292,200070
1550.75682,1500883
1561.79834,5235534
1562.78245,2208326
1562.82984,1347334
1580.73084,219140
1585.77258,1854187
1586.75652,2492972
1589.77835,301635
1599.82457,288670
1604.81578,385657
1609.78901,470412
1620.80980,152314
1636.77280,622352
1655.80008,676886
1665.76217,250623
1670.77741,303897
1698.82088,910341
1706.77375,2053025
1726.86554,552766
1768.86282,345358
1779.82523,246155
1784.85621,266463
1787.86765,423200
1795.91045,1402469
1799.79943,832314
1803.91022,7038508
1804.89457,6063910
1814.80817,455175
1825.89119,167865
1832.86060,2823313
1848.85555,2779835
1875.94301,307058
1888.91868,403373
1892.92175,2159423
1917.95372,191159
1919.95855,526745
1944.95336,1646164
1960.85462,327611
1961.98012,24245658
1976.84899,434023
1977.97197,385563
1983.96387,259339
1986.04148,229295
1990.97122,1595939
2005.95714,752889
2011.03605,758386
2012.95288,294048
2014.95844,598950
2028.06480,9800812
2039.95452,1561269
2040.98535,1077175
2044.05753,7439942
2044.99127,1629409
2056.97857,22652748
2073.01337,820412
2089.00665,4122144
2105.00100,5193438
2108.04844,697070
2110.90095,276750
2120.99819,1522435
2131.11633,9500584
2146.94088,298974
2147.10852,301812
2165.04796,369579
2166.96640,238786
2172.03464,1168365
2179.09503,1041802
2188.02845,8045609
2204.02065,331562
2214.96936,2607656
2230.96625,1936679
2294.14486,978624
2310.13788,1083430
2332.11552,239580
2340.17756,355738
2348.08668,1454020
2356.19230,636020
2364.08355,1026331
2393.13979,307728
2410.13688,2234955
2423.23369,220091
2439.22997,1486022
2452.20903,1171476
2455.22475,5715625
2467.19663,3762193
2471.21549,578316
2483.18941,3884522
2499.18447,1524455
2532.21607,329253
2548.17096,575413
2548.20532,522224
2550.14944,1055842
2565.23877,4478417
2580.15167,809601
2592.21868,751987
2611.17487,280445
2637.30074,357895
2670.25329,565268
2673.26584,3866222
2689.25825,12040740
2703.23823,31016084
2719.23256,9139029
2721.29705,730113
2735.22760,425543
2737.29262,795588
2749.30643,1774533
2766.33182,12529278
2767.31990,15115894
2768.27720,1408985
2785.30125,5202703
2801.29222,5774856
2820.35292,14134273
2821.23196,389679
2833.40548,291317
2839.38930,385489
2857.35675,309405
2867.42506,3634427
2873.35677,912828
2883.42254,24754874
2889.35167,1762168
2899.42255,2450370
2901.31371,849288
2917.31386,2738496
2918.29428,2556490
2926.43433,451811
2938.38333,443542
2980.47769,353825
2987.38700,33979684
3003.37774,819252
3008.42071,873837
3009.39900,874786
3017.49167,890632
3020.41111,672437
3033.48549,4750164
3036.40365,1914660
3052.39872,2631192
3068.39025,846538
3068.42171,548182
3084.41221,3161411
3100.41046,10952176
3116.40906,13945385
3132.40467,4710390
3147.40047,277755
3153.46702,7671073
3169.46052,6692730
3185.45265,589083
3225.54062,2547681
3241.52941,4427541
3257.52189,719848
3387.60214,593333
3430.61803,251325
3501.60004,357578
3525.48382,289181
3549.65153,766095
3681.56515,1654037
3736.61387,324720
3752.60591,2165998
3771.75567,297052
3787.75265,364687
3898.77743,376849
4019.91656,566051
4096.94290,3821610
4112.93822,3444760
4128.93370,513038
4139.07951,645276
4229.07942,275533
4257.03101,233694
4274.02393,948638
4290.01550,1314605
4306.00866,453844
4375.12337,1663564
4391.11511,2176143
4493.13248,959603
