m/z,I
698.31008,172103
892.46391,749905
898.47466,753848
952.46769,272948
1010.50159,421435
1023.48551,174734
1026.49704,318639
1032.54722,331398
1048.50630,268074
1063.52804,220284
1070.52269,198912
1094.53413,463958
1096.53844,656064
1105.57527,4295647
1105.62302,737120
1108.50263,181752
1121.61759,434338
1128.51083,201001
1138.56020,339575
1146.56537,325831
1153.56016,690347
1162.62182,657867
1163.59161,868182
1165.52408,372999
1167.57565,1003898
1182.61195,246670
1183.57090,1434387
1192.57118,255590
1193.62773,184420
1196.56600,270136
1203.62352,281242
1207.60645,238822
1208.67480,1797333
1209.65898,633729
1215.61188,270524
1223.60170,264951
1224.53164,269290
1241.55863,1562901
1241.66042,1096267
1250.57594,185066
1250.61334,245161
1261.59261,221022
1261.62870,322027
1267.67519,611059
1281.61904,485645
1308.67360,655325
1323.66540,494346
1343.67139,467515
1374.74893,196156
1392.68651,302074
1409.72183,187775
1417.72979,528696
1420.68225,500250
1427.72834,8221628
1435.68227,3188713
1453.74405,1443431
1459.69350,2176812
1473.67277,1162253
1483.71432,476144
1562.78224,3283280
1562.82952,1594318
1580.76792,1086425
1585.77236,1412278
1586.75644,2392135
1615.82034,1260389
1620.69653,356259
1631.77804,189829
1637.72364,967967
1644.77104,154512
1648.82910,615397
1706.77336,623540
1716.91465,524972
1717.78912,168939
1769.89390,222744
1783.80248,1310976
1787.90455,287060
1791.82632,335064
1795.90979,418353
1804.93031,3797012
1816.86516,3055626
1832.86033,3137514
1838.97550,447053
1888.96187,185964
1899.99249,390725
1922.93304,2177499
1933.97215,402506
1958.96957,1583319
1961.97964,1004842
1975.99502,13983681
1997.99158,2945456
2013.98484,317185
2014.07161,673472
2019.97393,249524
2028.06434,1077657
2044.05659,848078
2056.09280,19701106
2056.97910,5833394
2057.96378,2622276
2072.09026,6441488
2088.08299,204075
2089.00650,1508780
2089.99072,654955
2131.11577,6934841
2198.97196,1952894
2207.14439,240668
2216.05853,4040413
2232.05659,672783
2265.05348,422960
2306.10170,198313
2390.18135,327041
2403.15168,255548
2410.13516,852680
2419.14886,288362
2471.21771,275244
2481.21125,504160
2487.20855,697653
2493.09556,249690
2497.20625,1396546
2513.20343,1173898
2533.18906,512336
2550.21436,3991378
2563.21536,538837
2566.20625,510294
2576.22524,236156
2581.23478,1775041
2689.25829,2445302
2705.25338,18091310
2713.24839,363207
2719.23183,2219401
2726.25988,1569545
2750.36259,345213
2759.28653,5373032
2763.32489,1532608
2775.28150,960993
2780.34935,6801537
2781.33255,7307498
2785.30058,1111097
2792.32684,4023319
2814.33087,357353
2853.40991,8061260
2869.40606,1192767
2959.36176,253092
3017.36226,3410848
3018.34044,2303195
3033.48710,5413500
3052.40222,622158
3084.41356,5584201
3100.41130,22825552
3116.40950,2754100
3132.40505,370205
3183.47519,1551779
3400.58189,537829
3502.57812,404898
3665.57594,695987
3736.60623,786286
4036.89764,993650
4053.92151,531727
4069.91379,877932
4085.90857,562321
4096.94221,1123861
4112.93853,1784703
4128.93172,511727
4203.07764,258404
4286.05822,958097
4302.04912,2362843
4318.04104,700242
4348.11253,775082
4364.10527,2026428
4507.15186,1412144
4523.14451,295036
