m/z;I
836.43844;321833
892.46422;211174
892.50053;374656
898.51148;826469
1028.52572;514452
1054.49218;210749
1068.50993;387322
1079.52417;258126
1095.56612;872883
1105.57596;6156549
1107.519;291794
1121.57096;202155
1121.61888;281455
1127.55776;890716
1136.60709;330189
1146.56631;429644
1148.54541;182207
1163.59279;1425077
1164.60214;333863
1165.52428;399160
1167.53973;275518
1167.5769;395774
1182.55159;316233
1182.61235;544026
1183.57112;696437
1192.6808;917147
1196.5666;335771
1207.60655;183162
1208.67568;3108404
1223.60212;278857
1226.57769;441423
1230.65702;200270
1241.55921;511696
1254.53635;234892
1261.62979;397286
1267.6765;858128
1272.60018;364346
1273.70294;295313
1281.61978;776609
1343.63685;323669
1346.71886;212352
1370.66739;185251
1392.68744;355320
1400.65841;570647
1416.68741;441938
1417.73035;590955
1420.68252;409224
1427.7293;10787486
1435.68357;4532038
1449.71151;1127225
1459.69466;3126752
1483.71534;215977
1496.75348;408932
1499.81593;136624
1515.73134;239854
1532.78345;908014
1561.7993;6065720
1562.78354;6165197
1562.8311;1931566
1580.76936;1668987
1586.75765;3064891
1599.82575;226244
1604.81566;441501
1615.82189;3547696
1616.80559;436147
1622.74256;243917
1637.72471;470924
1637.80319;433358
1648.78012;1293857
1648.83055;1407036
1655.80093;864225
1665.76203;180104
1679.76333;250033
1698.82179;580636
1699.88888;207102
1706.77441;1373358
1716.91644;814492
1726.86658;1179393
1759.71972;495784
1762.91012;317101
1782.81748;451980
1783.80367;1069069
1787.90573;968186
1799.8001;1383861
1804.93183;12677770
1816.86702;2181706
1819.89599;389487
1826.91544;1046468
1832.86221;3651562
1848.85717;1832433
1885.85664;377602
1899.99256;321088
1900.87979;471590
1922.93473;5051926
1931.96982;326484
1933.97407;778223
1945.98752;311474
1958.97171;2896212
1961.89777;326672
1975.99574;37635284
1997.00927;3371509
2012.95404;379340
2014.07337;856132
2014.95871;891155
2019.97598;794850
2020.9431;230843
2028.99776;209254
2030.07082;500498
2039.07052;2352004
2039.95605;2652381
2056.09369;27241234
2056.97988;30090068
2072.09234;11805891
2073.01522;3982538
2078.07983;1929882
2078.96594;1927643
2088.08672;388596
2089.0082;4940899
2094.07148;521078
2094.94954;372436
2094.99377;296887
2105.00292;1235590
2110.99035;609830
2118.09806;470155
2131.11754;12771763
2146.94323;360686
2151.03227;659231
2153.09756;1557979
2198.97417;2658795
2214.97118;2291147
2215.05505;593326
2216.06085;15929999
2220.95949;408541
2232.05865;3014375
2238.04424;1601251
2283.11545;1052072
2290.09008;336797
2291.14758;414554
2293.0203;319574
2303.03009;321138
2307.13648;585601
2313.12611;1562490
2329.11962;1849830
2348.08914;1334481
2364.08698;1720759
2410.1392;1863130
2422.07594;308793
2465.10221;861538
2471.2188;864756
2478.13104;333967
2481.09581;359309
2481.21324;1382311
2487.21033;2087101
2497.20829;3895264
2501.16803;321425
2502.20859;397887
2509.20003;254157
2513.20519;2958125
2519.19153;469059
2534.1882;643553
2550.21632;2445986
2564.20991;450022
2566.20946;2800236
2570.19177;944524
2582.22285;4900841
2611.2414;431314
2634.30361;280328
2651.25073;2428857
2675.24856;1036122
2689.2607;3968791
2697.22701;673583
2703.24176;16678746
2705.25261;53798636
2711.276;718567
2719.2344;7484987
2727.24033;6266717
2742.26082;2372781
2743.29014;2451511
2759.28933;7856447
2763.31783;2843906
2769.35246;585475
2775.28293;4794752
2781.3368;30778614
2792.32956;13293297
2803.31524;2031934
2814.30789;1692133
2853.40998;14088897
2869.407;2907305
2875.39758;1408586
2880.38825;264849
2889.35686;663825
2930.3397;994126
2938.38905;368041
2946.33763;485895
2971.31271;414779
2987.30865;2073724
3001.36682;2660883
3009.40164;1665382
3017.36075;14701637
3018.33526;2628115
3033.48666;11939742
3036.40734;741593
3039.3427;2558174
3049.48208;343435
3052.40278;3381284
3055.47153;1864025
3068.39539;402135
3074.38757;738744
3084.4162;3007893
3099.40971;529933
3100.41395;24010218
3107.40485;313212
3116.41241;16609843
3117.38643;2196523
3122.39884;5329997
3132.40911;1355046
3138.39593;1934481
3148.40016;213359
3167.48519;2461308
3183.47731;8573341
3189.46044;242840
3199.47038;989838
3205.45566;833909
3211.52579;445228
3227.52226;4011193
3243.51212;641272
3249.49973;610147
3426.62671;435206
3517.59815;429052
3531.47569;1005901
3665.57561;1206914
3736.61553;1325875
4096.94787;770883
4112.94425;1889467
4127.93476;591054
4134.92311;461280
4285.06544;412681
4302.05668;1078998
4348.11859;356595
4364.11115;815481
