m/z;I
728.33168;154761
811.40571;139929
836.43749;688373
837.42137;188740
841.45269;213631
868.4636;375781
869.4109;422890
892.49982;375760
898.47437;600464
898.51048;318973
899.49409;477497
908.49431;192270
966.84783;95981
997.46932;214757
1007.49021;198831
1024.51622;224621
1032.54707;289437
1044.53816;135066
1048.55377;129391
1054.49107;241976
1064.51149;318572
1070.48589;154843
1088.5963;308314
1095.56525;1541847
1096.5378;859286
1098.51625;136814
1105.57451;4077210
1105.62255;809026
1106.55876;2297504
1121.61728;488867
1137.52831;150733
1139.54408;204349
1153.55943;615877
1160.60608;324622
1162.62124;942756
1163.59139;1121987
1164.60038;500300
1165.52292;498927
1167.53874;273097
1167.57518;817506
1176.64794;196130
1180.6431;664970
1182.61077;670204
1183.57031;1293149
1191.64747;199874
1203.62273;361364
1207.60593;385739
1219.61817;142241
1220.64939;218927
1230.57441;178428
1241.65961;2590318
1250.5754;215676
1252.62712;170881
1254.53402;307419
1260.63272;198702
1261.59146;330401
1264.6281;498425
1267.67484;1355298
1273.68916;203741
1273.70133;382731
1278.61757;229106
1280.62277;484478
1290.60685;151191
1295.64005;184906
1296.58006;149984
1323.66487;316933
1335.62967;594179
1343.67012;795469
1346.71712;471383
1352.6619;176853
1364.62961;230485
1374.74886;217914
1392.6853;290206
1409.71666;456552
1416.68599;736340
1417.7287;491420
1420.68079;537224
1427.7273;13764464
1432.68127;667834
1434.76915;139300
1435.68139;4088781
1439.72322;263764
1443.72133;270276
1447.7539;411516
1449.67145;210616
1459.69229;2705310
1467.71736;159902
1473.6723;1271531
1483.71272;328786
1515.73059;136037
1517.7342;202212
1532.78067;621884
1537.70157;264985
1550.75561;1446057
1562.78089;2595989
1562.82882;1810667
1586.75539;3773016
1589.71825;185728
1600.80727;255154
1615.81908;1642824
1616.80315;2335503
1637.72248;233296
1648.77762;260140
1648.82805;1430296
1655.79841;1131728
1655.81409;377609
1656.7971;719619
1667.81269;588829
1683.80793;403234
1688.88115;577768
1698.81921;457018
1706.77153;600930
1716.91396;939378
1717.82921;482942
1735.79855;430098
1760.70125;181697
1765.8608;474192
1769.89382;441889
1776.87684;191328
1787.90246;693222
1804.92894;11066671
1816.86384;1454811
1819.89182;210559
1832.85922;3015991
1839.95817;167123
1848.85414;1591184
1860.93008;476852
1875.89444;268203
1875.94173;471703
1892.92022;3271686
1899.99076;475770
1931.96569;248425
1954.92584;175361
1958.96795;2035866
1975.99325;26293860
1991.99021;221910
1997.98967;6566082
2005.9657;385314
2009.98721;674841
2014.07001;1068050
2019.972;369885
2030.06667;349669
2030.96983;201417
2038.08295;1354520
2039.06734;2170860
2039.9523;694934
2049.92219;156745
2056.09081;35180324
2056.97543;5422322
2072.08846;12639951
2073.9946;969612
2078.07625;647111
2090.97231;405933
2095.01099;157651
2115.96892;207541
2120.99977;246070
2131.11395;9024008
2146.94031;580424
2147.04474;167436
2153.09384;428139
2216.05692;5047226
2216.93499;315178
2232.05491;641667
2256.04891;2054177
2265.05248;914410
2272.04588;482870
2283.06672;247782
2283.11918;471565
2299.05801;206257
2313.14574;303552
2348.08452;834381
2360.08836;291739
2364.08196;842433
2369.1124;1340844
2379.21585;210729
2390.17825;1621218
2431.17486;411984
2485.22676;3217426
2497.20379;1424189
2502.20424;745568
2513.2024;1087107
2550.21276;684356
2566.20406;3554172
2582.20822;3429025
2591.27204;384688
2608.27364;226446
2689.24707;1361438
2690.24406;906058
2705.25068;8631108
2706.23425;8178770
2707.21327;1387277
2720.21304;1669368
2725.29124;407372
2728.22345;633102
2744.27266;1139205
2750.28838;1535556
2751.39464;1248360
2759.27957;2961492
2767.31704;19765154
2775.27627;2356672
2776.26429;1065471
2789.30108;696379
2792.30844;1631939
2792.32079;2676630
2794.3983;1470510
2805.26907;222829
2839.38884;379440
2883.42004;16102539
2895.42108;558367
2899.41873;1965702
2911.4176;332481
2926.43068;342973
2930.33436;656992
2946.33348;462259
2966.39381;658935
2968.37607;981816
3017.35892;1194361
3018.34006;2627323
3019.31973;1671615
3020.29824;592549
3033.48492;6218019
3034.46114;2880314
3036.40395;421234
3052.40186;717438
3053.38048;965088
3054.35692;516858
3084.39009;1965286
3084.41343;1427855
3086.37006;947139
3100.38917;5595641
3100.41215;4513623
3102.36733;2760534
3116.40879;3286214
3117.38759;4186834
3118.36548;2427417
3183.4485;514624
3198.47854;180585
3228.49306;829240
3353.67767;176529
3376.63458;212302
3399.55153;359563
3415.58126;654760
3518.57179;305167
3625.72374;845048
3973.9889;773116
3992.00185;524173
3994.84634;403142
4005.91418;482304
4021.90887;796941
4037.87168;2894588
4052.91488;552096
4069.90994;1990478
4085.90313;2154854
4096.93427;657024
4100.8965;696595
4112.92324;1229857
4128.91249;382300
4186.04957;349329
4287.03927;840648
4303.02166;1613423
4318.01872;528451
4349.08943;2199327
4365.08306;3816033
4470.13642;240582
4480.09905;1402923
4495.1015;340975
