m/z,I
700.2921,307389
708.24585,102242
809.42407,205741
840.4538,844960
845.0898,130142
854.39591,638152
855.03784,240292
858.40388,183554
861.0548,678939
868.44757,1111942
870.52478,411066
892.48291,248888
898.49351,1467900
902.4343,244994
1045.54044,422715
1050.08954,196429
1088.51201,460085
1095.53976,1931464
1105.54894,3273127
1110.49297,201105
1116.46475,367109
1117.52064,212137
1127.52958,461510
1157.45889,307887
1159.45647,159256
1161.54353,232448
1177.53739,326549
1182.58165,814665
1192.60182,196623
1192.64907,289203
1199.51786,145896
1201.55408,293242
1208.64342,1473514
1230.62458,223298
1261.59473,144027
1264.50622,264888
1267.64091,993567
1277.06771,320885
1283.08435,131680
1289.62168,239307
1309.5782,185492
1328.61033,412192
1332.6167,494933
1354.59735,296357
1427.68457,1482211
1435.63772,1763243
1449.66485,213584
1459.64764,2769583
1465.64595,242573
1473.62601,1099044
1561.74548,1274020
1562.77697,1536766
1580.71401,1809693
1584.75654,203707
1586.70163,2688734
1608.68185,466973
1615.76316,833840
1639.72476,230478
1648.77082,3625014
1655.7407,5106395
1670.75103,610419
1674.75207,469320
1677.72098,865738
1686.71472,193171
1706.71092,1881988
1719.77806,332958
1726.80068,448786
1728.69096,357968
1758.668,451681
1759.65223,611360
1799.72917,1559476
1800.81812,275007
1812.81697,1704656
1816.79425,984168
1822.76065,880399
1829.83137,391621
1832.78769,2874728
1845.82551,385955
1848.78236,1563539
1851.81255,306367
1854.76998,541353
1867.80459,327224
1870.7605,287683
1975.91035,9205019
1991.90525,243173
1997.89089,1634772
2007.84994,279576
2013.85353,363134
2019.88534,6327877
2037.82824,1384167
2041.86581,1304523
2056.00185,1502952
2056.88785,9278033
2071.99689,595371
2072.91969,2184364
2077.98347,209955
2078.87009,1477217
2081.80214,584347
2088.91201,3858612
2094.83208,421967
2094.89713,399157
2100.84706,302797
2104.90481,1019506
2118.80693,1262260
2131.017,9986189
2133.88614,298121
2145.03003,731859
2152.99533,1765907
2155.86461,239535
2168.96034,515141
2174.97741,346526
2198.86791,2128844
2203.91566,383444
2210.99805,1519583
2214.8624,1576984
2215.95191,5449324
2220.84937,478770
2231.94673,1213812
2232.97976,494214
2236.84263,247874
2237.93293,879943
2253.8933,185717
2261.01947,926273
2272.91322,222820
2283.00157,837723
2284.05148,292248
2307.02237,545066
2315.93294,448087
2323.01299,181687
2328.999,276636
2344.99279,177932
2410.01103,540072
2481.07624,318242
2487.07525,935711
2497.07057,1206835
2509.05734,182482
2509.9497,299949
2513.06525,1524308
2519.05181,230858
2535.04782,280883
2548.0672,508292
2570.04404,314166
2582.07309,322988
2689.10154,242164
2705.09342,2723798
2727.07504,577867
2781.16537,1072655
2792.15665,462544
2853.23175,2027723
2869.22618,642473
2875.21357,399531
3017.15968,847774
3033.28665,1493332
3055.26651,370462
3100.20029,1331279
3116.19476,943832
3122.18178,228261
3138.17224,221216
3183.25282,404400
3227.29146,622256
3399.34981,255537
