m/z,I
770.41379,325461
786.36081,275922
836.42232,460935
837.40638,628859
841.43772,452788
843.3802,282489
852.41677,608883
853.4006,843049
863.4321,715484
868.44756,309887
902.43379,291612
945.41946,198386
1079.54534,506536
1095.53932,9154705
1099.52301,965927
1105.54841,7835541
1106.52842,974563
1111.55859,331173
1115.51703,1212083
1116.46469,1402468
1137.53687,281387
1154.55142,767190
1162.52655,377667
1163.56191,132000
1172.60897,946035
1178.52145,170281
1183.57626,622695
1199.57068,905528
1202.53713,285692
1228.55947,292190
1241.62644,3653038
1244.55292,550124
1249.49497,198844
1274.56565,183021
1307.58594,594913
1328.60962,323383
1437.70376,220227
1448.61992,234926
1449.65182,885894
1453.69783,2673031
1459.64677,5722346
1465.64523,7077508
1469.69164,159026
1473.62512,1528505
1550.70373,5133323
1562.72831,2036773
1562.77596,3000793
1586.70107,7243556
1600.75271,233114
1604.78306,664345
1608.70501,1334927
1616.74689,1942888
1628.66847,1613649
1636.78256,969290
1643.67786,1397552
1644.66202,2030220
1648.71953,1080672
1652.77636,920112
1655.73986,8806981
1664.71246,1103204
1671.74756,1029217
1686.81483,282817
1690.71588,377790
1691.70006,845257
1700.6736,352918
1706.71025,477109
1707.69403,1036519
1728.6487,137338
1743.65917,1146125
1744.64283,1104249
1749.78539,1799170
1755.74043,5046982
1759.65154,648774
1760.63504,589353
1764.79486,8923641
1766.76314,1092299
1768.83059,2355467
1771.73547,5894670
1784.82266,5800494
1795.83882,511582
1800.81769,5452077
1806.80322,192375
1817.83149,1161617
1841.82876,2805912
1863.80837,328811
1892.84332,3469203
1931.88537,194413
1933.89053,368925
1958.88494,1226574
1975.90864,36413628
1991.90488,1161875
1997.89013,1044173
2003.89016,3408496
2004.87458,2205554
2013.95717,6258223
2015.85297,661584
2019.88421,6383778
2020.86894,3650404
2029.9533,3776721
2040.84688,1115209
2041.87804,2282073
2057.87003,32192008
2069.95544,6621738
2073.86683,875627
2083.83402,430155
2089.89418,4265867
2090.87866,4759495
2101.93955,313389
2105.88711,7436612
2129.03778,345566
2145.02805,15225755
2159.89305,281301
2161.02362,513321
2167.01075,375371
2168.95554,296595
2187.92291,3540779
2199.85046,1023043
2203.91346,21463580
2210.99693,380860
2219.90976,798914
2225.89776,390995
2239.94947,704001
2255.94042,2676394
2264.82721,230477
2301.01229,1077123
2338.01039,349457
2347.96615,1316786
2363.96149,1768693
2410.99395,767890
2420.05127,385469
2439.09774,547526
2455.09106,5197659
2465.08447,276059
2471.08225,1755110
2481.07563,1284945
2497.06869,2315431
2513.06383,1003307
2571.09763,2405903
2589.10936,282745
2652.07851,301379
2706.0722,1378020
2720.05137,277356
2793.16069,3412181
2809.15174,291803
2853.22913,1359353
2869.22321,4483435
2885.21887,691584
2978.10713,1232722
3010.18353,227286
3086.16933,627262
3102.16498,2209638
3118.15952,1079352
3151.29194,482450
3167.28296,213042
3170.20748,384044
3184.29228,229112
3186.19664,921292
3200.28364,1168966
3216.2734,925670
3227.14899,558107
3243.13909,339257
3389.30963,244028
3502.31109,162116
