m/z,I
892.49989,215463
898.47460,289206
1032.54740,257974
1047.55799,253030
1048.58972,268613
1054.49165,171402
1079.52369,230874
1094.53402,282248
1105.57516,4246616
1121.61783,274523
1146.56516,191444
1162.62152,358470
1163.59212,748925
1167.57540,286467
1182.61141,466306
1183.57048,427189
1192.67981,224347
1201.58448,349107
1208.67483,3063326
1209.65912,1044265
1217.66392,575980
1223.60143,171481
1226.57679,211233
1241.55871,385669
1241.66015,1076889
1244.60099,167469
1261.62858,204630
1267.67545,801206
1273.69041,201365
1280.62264,323870
1281.61924,433807
1339.66003,209173
1409.71290,262120
1417.72965,445139
1427.72817,13336742
1435.68232,4935592
1458.66173,1113332
1459.69354,2468477
1473.67313,1700226
1476.78051,182091
1483.71322,211290
1532.78256,517881
1561.79800,8865923
1562.78230,3207013
1562.82933,2003424
1580.76727,1527615
1585.77210,1760724
1586.75641,2737879
1604.81372,325813
1615.82034,2292154
1616.80414,578208
1648.82941,1055906
1655.79945,865012
1683.80802,253068
1743.72536,340926
1759.71867,298584
1771.93460,340299
1787.90409,327509
1798.81508,648831
1804.93024,6268901
1812.88730,169210
1816.86553,1343073
1832.86028,3117929
1848.85543,1970298
1922.93260,3566380
1933.97137,339188
1975.99459,17830170
1991.99082,598175
1997.99101,1384769
2014.07233,490487
2014.95763,426534
2019.97362,869197
2030.06772,311359
2039.06821,996600
2039.95403,898339
2056.09222,16574814
2056.97838,12980755
2057.96349,5251239
2072.09001,11369328
2073.01290,3156422
2073.99837,888356
2088.08297,337511
2089.00615,5359467
2089.99078,1811799
2105.00103,1722744
2118.09483,176896
2131.11544,14327034
2147.10817,347911
2151.02961,354252
2198.97245,2444553
2214.96585,1662101
2216.05815,16558089
2232.05595,1434623
2265.05194,252889
2272.04884,396339
2307.13801,1290953
2316.04900,341876
2348.08695,354917
2364.08298,556622
2390.18125,316992
2414.12994,383979
2470.20972,422089
2481.21154,736937
2487.20873,1592602
2497.20577,2793325
2509.10069,257293
2513.20295,3389486
2548.20907,476631
2550.21378,1707731
2566.20631,1296024
2589.25463,233965
2607.29152,351893
2651.24890,1076937
2675.24512,481618
2705.25159,14618396
2711.27145,378157
2719.23244,7499432
2735.22809,448173
2743.28736,1303070
2759.28562,4956668
2763.31970,1814668
2769.34930,391351
2775.28109,3414478
2781.33286,15543918
2792.32599,8917393
2809.38624,440547
2853.40776,20919466
2869.40489,2322747
2880.38473,388954
2885.40277,278928
2986.31923,641978
2988.30451,1126791
3009.39982,1231811
3017.36048,5800569
3018.33897,4127297
3033.48470,7205719
3052.40348,812936
3084.41323,1162913
3100.41116,9161093
3101.38828,3550551
3116.40863,5466450
3117.38570,2456424
3166.47845,722995
3183.47527,4464754
3184.45164,2592819
3199.47003,617423
3227.51879,3909581
3228.49097,1064566
3243.51125,477368
3399.60729,743861
3400.58009,550366
3502.57478,739320
3532.58047,232803
4096.94714,453319
4112.93809,1235683
4152.09264,356613
4302.04733,1076487
4318.04034,665245
4348.11410,271586
4364.10550,1331688
4507.14918,1030345
