m/z;I
836.43796;171536
892.50082;262723
898.47509;356727
898.51139;463413
952.46885;163431
992.51712;177059
1010.50182;181733
1022.53877;165949
1105.57604;1871427
1106.55991;263316
1126.55013;143306
1151.58188;170806
1153.56022;210750
1162.62255;498410
1164.60031;209446
1183.57115;428709
1192.6808;738459
1208.67575;1061078
1209.65917;207885
1241.55927;338925
1241.66108;761579
1256.86796;149941
1267.67674;213347
1273.7033;155988
1324.67086;206193
1346.71906;239739
1427.72943;4439038
1459.69479;640132
1473.67426;309589
1500.71893;217860
1561.79969;2398931
1562.78377;1640262
1562.83066;628194
1580.76945;424726
1615.82232;511596
1616.80554;239131
1637.7253;307087
1648.78095;451807
1648.83057;325481
1658.81961;252615
1716.91653;424622
1726.86716;381070
1769.89585;130348
1783.80401;624057
1787.9062;506419
1804.93243;4327913
1832.86246;607306
1899.99473;272238
1922.93487;976901
1932.96993;252229
1958.97169;643779
1975.9971;5056914
2014.07255;511155
2039.07058;1328243
2039.9564;444267
2056.0945;9621642
2056.98111;2016698
2072.09243;2485005
2089.00953;212542
2131.11846;1882721
2198.9746;318619
2216.06038;1226444
2232.05818;350726
2390.18468;305027
2513.2079;231594
2550.2184;802692
2702.24051;570364
2705.25705;3282521
2759.2902;982394
2780.33718;1221497
2853.41435;1041905
2869.40685;194609
3033.49302;1703302
3084.41729;984498
3100.41682;2865890
3101.39199;1127353
3736.61621;460709
3855.76044;225861
4302.05279;284359
