m/z;I
698.35809;272948
722.35865;364171
836.43828;488184
868.46442;505504
892.46438;390942
892.50054;606262
898.47504;499846
927.46544;239894
950.46999;397496
980.52831;305943
1025.46533;169846
1028.58447;185947
1032.54783;386260
1075.56524;181571
1079.52413;302757
1088.53326;136015
1088.59707;310164
1095.56636;653694
1096.53899;925273
1105.57582;5956827
1105.62341;903845
1106.57414;421789
1107.51892;295978
1111.51401;136942
1121.57081;235084
1121.61843;287007
1136.60676;374606
1149.52972;204580
1150.59689;347233
1153.5606;820695
1162.62256;419077
1163.59241;1272294
1165.52403;390912
1167.57573;610622
1182.61227;700056
1183.57124;734431
1192.68074;1597174
1193.62827;258029
1196.56634;252732
1203.62375;446009
1207.60726;245130
1208.67527;3061829
1216.68051;251666
1223.60239;211437
1226.57734;477001
1233.59843;135932
1241.55942;803471
1250.61357;211544
1254.53569;216705
1259.6496;229635
1261.62925;474138
1267.67586;768991
1273.69042;190821
1273.70195;298941
1277.58756;177073
1281.61947;494393
1316.6719;371607
1323.66532;217476
1324.62529;198875
1343.67178;420050
1346.71884;367134
1370.60117;180706
1374.75037;333721
1392.68774;421531
1409.71822;245849
1416.68743;366527
1417.73034;546001
1420.68236;597217
1427.72897;9973187
1432.68261;447747
1437.67348;679348
1443.72344;180197
1448.67776;325371
1459.694;2482285
1473.67368;1335311
1486.77603;168305
1496.75394;660471
1503.80432;173375
1516.7156;143886
1532.78393;951812
1540.67055;233523
1561.79914;4707766
1562.78309;4020424
1562.83065;1400939
1572.75118;275103
1580.7691;1455803
1585.77327;1005542
1589.77893;548856
1604.81591;857537
1615.82135;1474150
1620.80927;282056
1622.74172;249959
1637.72474;520973
1648.83012;1130160
1655.80072;795993
1655.81501;380224
1658.81868;255448
1665.76317;249582
1688.88287;266028
1694.77531;293936
1706.7742;1454789
1716.91668;787057
1726.86656;1214243
1743.72662;370286
1759.71729;181056
1762.90922;324648
1766.77705;186975
1768.8644;246664
1782.81891;702379
1783.80376;1264452
1784.85713;336805
1787.90514;1004676
1791.82782;466870
1798.81558;580022
1804.9315;12751115
1816.86663;2119441
1819.89495;444195
1822.83374;243617
1832.86165;3360666
1858.85172;191068
1859.94824;237510
1888.91988;435921
1899.9954;450232
1900.87957;369076
1905.90589;259472
1914.94515;224584
1922.93414;3160064
1931.96831;321478
1933.97349;1015235
1961.89821;329228
1975.99611;29423710
1991.99168;377770
1997.00855;8285765
1997.93198;157370
2012.95457;355706
2014.07306;1071893
2014.95998;984260
2023.98992;216739
2028.99891;201026
2030.06904;228508
2038.08308;1123090
2039.06981;2711408
2039.95597;2615320
2056.09347;30558504
2056.97994;24337462
2072.09172;6026993
2073.01451;1253295
2089.00786;1620316
2094.03326;515447
2105.00273;417535
2110.01365;554620
2110.89944;327624
2118.0976;204618
2131.11763;8495995
2146.94377;342978
2198.97346;1567247
2207.14675;265951
2214.97052;872581
2216.06101;2308641
2232.05771;2778300
2244.03101;258338
2252.00726;256733
2266.06128;338173
2280.18519;224678
2290.15741;325777
2304.02951;324243
2314.1091;320989
2321.09265;238338
2335.20479;267133
2348.08873;1302239
2364.08707;1090280
2373.10895;229180
2410.13935;1835954
2422.07432;382345
2471.21803;599845
2481.21212;1479118
2487.21084;1388153
2497.20858;2684921
2513.20469;2041821
2550.21562;933415
2566.20792;818066
2578.17742;434632
2581.22391;2697319
2594.16944;306231
2651.25045;544554
2660.2523;276415
2675.24764;967207
2682.23541;384104
2689.25985;5951428
2695.28118;390713
2698.23088;630259
2705.25286;57906300
2711.27397;518185
2719.2351;3965661
2726.25878;736488
2734.22879;177204
2743.28932;1727142
2753.35337;411660
2759.28829;4761562
2763.31678;2308582
2769.35018;896880
2775.28231;2309781
2781.33519;18392622
2792.32831;6044340
2814.32948;393000
2835.24699;709666
2837.41826;394332
2853.41069;7581280
2869.40696;6502855
2880.3904;615971
2930.3414;707417
2946.33595;224237
2959.36209;352088
2986.32268;630870
2988.30601;1244780
3001.3665;3891231
3009.4008;1101079
3017.35979;12622037
3025.37441;596946
3033.48693;11017684
3036.40501;1044729
3052.40122;3631210
3068.39486;515297
3081.39552;261976
3084.41262;5407453
3100.41075;30254548
3116.40894;12453730
3132.406;730755
3154.33379;765329
3167.48224;1702739
3183.47394;3723875
3199.46859;470979
3211.52653;581915
3227.52087;1573146
3243.50967;707351
3399.60527;1103043
3442.61423;451713
3517.59508;884035
3533.58642;430367
3576.69476;287570
3649.57489;340168
3665.57242;2727595
3720.61522;593378
3736.61118;3994579
4036.90206;619354
4096.94558;2420480
4112.94065;4189883
4128.93224;946502
4153.0905;1225254
4186.08053;259014
4202.07395;597953
4259.02938;409388
4286.06256;1971273
4302.05023;5320614
4318.04318;1978295
4348.11476;2339961
4364.10785;3686455
4523.14453;941688
