m/z,I
836.43777,974300
840.46864,295232
868.46406,457824
892.50038,239024
898.40190,268813
898.47494,218971
898.51121,1326768
908.49513,159494
1061.23683,393025
1088.53797,356681
1095.56611,1959345
1096.53844,446418
1105.57534,11588998
1116.49205,397093
1121.57040,280296
1127.55727,226774
1139.54443,236441
1146.56521,221231
1150.59710,293696
1153.56027,256423
1162.62203,426904
1163.59211,1295369
1166.55542,526914
1167.57606,281628
1177.56769,1614361
1182.61194,1096233
1183.57082,436626
1184.49368,389902
1192.68035,3321784
1193.51886,270363
1193.56248,855049
1201.58530,1544817
1208.67499,6992278
1226.57644,598920
1240.67635,523761
1250.61245,335742
1251.64432,279484
1254.53470,181656
1267.67598,2669583
1273.54837,338488
1281.61922,1758460
1287.63326,230528
1332.65525,1377267
1374.74974,191649
1417.72958,650471
1420.68194,244819
1427.72794,21653588
1435.68256,11546148
1443.72377,615978
1449.71030,221473
1451.67668,203808
1459.69324,9848616
1512.74810,470867
1528.74410,651741
1532.78339,2628103
1537.70323,253878
1561.79855,20556448
1562.78292,8378693
1562.82967,6473421
1568.74560,220758
1580.76847,3345430
1585.77277,4911650
1586.75715,5657806
1604.81461,574614
1615.82087,12053790
1627.74311,699025
1631.81497,575835
1636.77330,619355
1637.80203,209344
1648.82979,2742692
1655.80057,1711203
1664.76061,226119
1690.77937,1556084
1698.82103,926380
1706.77389,4093605
1716.91605,1035983
1726.86618,3085111
1734.81575,210854
1758.73548,1405271
1775.71530,708881
1787.90491,709629
1798.81630,1928249
1799.79979,2005839
1804.93082,23046596
1812.88794,890608
1814.80991,1430011
1815.79374,1606568
1820.75948,787174
1822.83425,532095
1832.86117,3660140
1848.85644,8107375
1859.94784,400391
1863.87293,1176059
1864.85023,3360981
1922.93332,8622642
1933.97290,680420
1956.96429,342783
1958.97014,2254038
1975.99458,74756544
2007.98492,323476
2014.07202,445399
2014.95869,853403
2019.97435,1625008
2028.99894,4302345
2039.06895,1445603
2039.95491,2392846
2056.09224,39747268
2056.97839,73461704
2065.96558,373789
2072.09106,16372290
2073.01378,14325704
2078.07819,612734
2078.96339,956883
2081.96069,485799
2088.08503,666690
2089.00680,22395512
2094.03222,2222506
2105.00122,5854051
2110.99022,574267
2115.97256,307907
2120.99959,366321
2131.11620,26588964
2133.98628,533128
2146.94243,566499
2147.10864,1152673
2151.03082,1191189
2153.09568,456322
2163.00921,711593
2163.10586,409906
2200.06307,796741
2214.96941,8369839
2216.05870,51650988
2230.96724,10765788
2232.05676,5084446
2238.04322,931288
2239.95754,188330
2248.05101,265671
2261.13091,3449894
2283.11239,468953
2291.14599,6232269
2300.05585,1212713
2304.03311,344973
2307.13966,6266600
2313.12615,584200
2316.04947,3800386
2323.13251,1158402
2329.11852,815995
2338.03223,364383
2348.08785,1683496
2364.08567,2132656
2389.19900,384917
2407.08899,328040
2424.09340,698203
2471.21759,1442221
2477.15103,1430568
2481.21199,2960207
2487.20961,3768433
2488.09223,253845
2497.20655,10506646
2503.20543,351727
2513.20402,10242897
2529.20329,612901
2532.21581,716295
2548.21145,4348071
2553.19159,270787
2566.20765,4156678
2570.18936,726774
2573.26305,789945
2581.23328,11619245
2589.25686,1710614
2597.23530,445068
2607.29379,915778
2610.17195,632983
2659.25655,641737
2675.24672,1470958
2689.25879,5498214
2696.28119,658535
2704.24364,148750272
2711.27377,1379777
2719.23183,33974916
2727.23897,2462969
2735.23302,1863552
2742.25615,1574076
2750.22885,727571
2750.36207,487094
2759.28757,8659850
2763.32434,3778669
2769.35059,3055516
2775.28109,21449320
2780.34116,46158876
2791.27602,9500936
2792.32777,38310388
2797.26291,465582
2797.32407,1237483
2807.26897,641982
2808.32251,1919775
2835.24027,246378
2853.40822,53231416
2869.40587,5991115
2876.40107,749326
2880.38751,1500959
2885.40128,606342
2889.35240,2160036
2896.42186,473202
2929.39942,483258
2932.34502,1272687
2938.38513,912883
2946.33532,3548897
2962.32681,1319748
2971.33314,1764424
2972.31358,1499078
2987.32790,3697416
2988.30446,4109480
3001.36537,7465286
3008.42216,1750975
3009.39891,2432237
3017.35726,52694104
3025.37520,852579
3033.48570,16655672
3036.40479,976988
3039.34129,1595402
3045.40150,1042600
3049.48186,681967
3052.40092,4905354
3068.39709,488840
3086.42720,472027
3100.41202,8373612
3114.39878,975143
3116.40943,63866636
3132.40528,38331276
3139.39651,915279
3148.40180,3047905
3154.38810,1404584
3163.39232,613130
3167.48205,9992323
3183.47360,38338376
3199.46849,4991652
3211.52736,2134259
3215.46290,652169
3227.51933,12559991
3243.51026,1298835
3399.60555,1374439
3442.61325,821499
3501.60041,305141
3517.59483,1231514
3533.58554,626776
3665.57326,841577
3736.61137,728052
3835.76897,226226
3872.76075,1317718
3887.75438,567492
4035.91716,410097
4096.94708,1451771
4112.94211,3076829
4128.93639,1200408
4286.06411,781794
4302.05392,1955061
4318.04699,916633
4348.11882,1218667
4364.11159,2303861
