m/z;I
722.35801;165278
728.36818;202820
811.40562;154355
868.42735;277730
868.46373;394480
869.41125;284815
892.46349;1223528
892.49968;456862
898.51065;290346
899.49437;314201
938.43653;112581
942.44622;233645
991.56828;142930
1007.49065;221660
1010.50114;409068
1013.50123;323660
1024.51653;196999
1026.49637;191883
1048.55338;160771
1048.58998;177359
1064.51157;368336
1067.51143;199855
1070.52216;178461
1075.56339;181630
1088.59629;356857
1089.5435;150706
1095.56505;779665
1105.57478;3780683
1105.62253;1091235
1106.55894;2075544
1116.49091;218712
1121.61741;542215
1127.5572;333545
1136.6059;356380
1146.56441;390647
1148.54427;202469
1151.57968;357192
1153.56002;749597
1160.60522;546995
1162.62161;883748
1163.59103;1179216
1164.53967;134460
1164.6001;416092
1165.52312;338084
1166.5547;274887
1167.53866;466158
1167.57541;982345
1176.64823;251701
1180.64246;538821
1183.57032;1466630
1193.51816;325163
1193.62669;443379
1197.54947;266602
1203.62287;378911
1204.57036;136828
1207.60605;384683
1208.56505;412169
1216.6796;483049
1220.64929;215478
1241.65973;2361357
1242.61832;194067
1250.5755;234458
1254.53465;244481
1262.61244;209203
1263.65079;175840
1264.62803;604918
1267.67516;1275917
1273.69006;243218
1273.70109;458014
1279.64647;197500
1280.6228;666288
1282.63811;170780
1286.64808;172289
1339.65976;724908
1343.63491;154018
1374.7486;364475
1403.72727;178749
1409.71646;261895
1416.68611;794670
1417.72904;414625
1420.68176;602046
1427.72769;10681552
1430.73806;471065
1432.68112;866750
1435.68181;3496009
1439.72322;241433
1443.79503;242124
1447.75476;432306
1459.69288;2484408
1473.6721;1127625
1481.67339;178076
1483.71345;529758
1486.77657;198869
1515.73007;290924
1524.6746;142299
1532.78177;538566
1550.75594;1290823
1561.7975;1792724
1562.78159;2525501
1589.77731;446511
1596.76197;242875
1608.73791;370507
1616.80367;1978722
1621.79237;201376
1637.72313;470699
1638.78775;1192597
1648.82817;1279312
1655.79895;757755
1656.79742;1114503
1667.81237;534492
1678.86097;149346
1683.80932;504273
1688.8818;636121
1698.81995;415528
1699.88836;308856
1706.77232;408912
1731.84399;378542
1743.72372;179369
1743.85351;239490
1765.86173;429064
1769.89325;343370
1774.79874;210138
1787.90287;789474
1791.82606;216317
1799.79835;1152883
1804.92951;10423949
1816.86456;1556315
1826.91204;468304
1832.85952;2551102
1839.95868;286226
1854.84305;249466
1860.93005;427899
1874.82612;169990
1875.8944;334775
1888.96364;292963
1892.92108;2931205
1899.99204;560542
1927.05092;239938
1931.96601;279380
1933.97111;829670
1962.92639;557347
1975.99385;22126360
1987.99599;239089
1997.99068;6364940
2009.98831;574369
2014.07059;1053772
2019.9372;380483
2029.98049;267258
2030.06721;415417
2038.08154;1076044
2039.06769;2581291
2039.95276;792901
2056.09146;30909056
2056.97801;5094355
2072.08921;10994151
2074.98045;268139
2078.07624;1138840
2094.06881;371215
2105.9825;290796
2131.11493;6946263
2146.93982;538844
2150.02445;202605
2153.09423;626774
2159.0085;156029
2216.05732;4953394
2226.04168;173132
2232.05548;412689
2238.04216;880645
2256.05031;1708147
2264.04941;254569
2266.05697;848204
2267.1203;190060
2273.04877;342544
2278.0353;227695
2283.065;320316
2283.1195;370135
2286.13842;177378
2302.13197;260545
2317.08079;288852
2329.11473;445420
2348.08579;708244
2364.08256;888292
2372.15389;192321
2379.21656;255478
2390.17948;1009084
2391.01063;194304
2403.14937;281526
2416.09735;238874
2419.14111;378660
2473.27841;269953
2485.22777;2343721
2497.2041;823321
2501.22141;697662
2513.1583;236390
2513.20167;758107
2550.21379;1191341
2566.20629;2463354
2582.21626;2652717
2591.27027;401082
2610.2376;589525
2689.25013;1313336
2705.25071;9379506
2706.23508;7475616
2707.2143;1658128
2719.22137;1461212
2727.23223;1023080
2743.27661;1294661
2750.28893;1442184
2751.39554;1351674
2759.28421;2592770
2767.31816;15181303
2775.28088;1535201
2776.2571;771637
2789.30242;835603
2792.32129;2599559
2794.3995;1743432
2814.30788;475318
2839.39321;274644
2866.3998;436708
2883.42168;11164546
2895.42359;352544
2899.42002;1078633
2905.4082;1304389
2912.42416;214531
2920.38239;333088
2926.43147;285750
2968.37798;1029488
3017.34058;2152821
3017.36349;1148102
3019.32056;1275571
3033.48592;6055145
3034.46212;2568785
3036.40588;582815
3038.36464;234903
3052.40248;882422
3053.3781;796188
3054.36;328466
3055.46902;574180
3068.4174;431099
3084.41417;2594447
3085.39247;2427933
3086.37166;1315829
3100.39007;6620020
3100.41282;5747984
3102.36892;2755151
3116.40931;2782184
3117.388;2940780
3118.36827;1605566
3122.3964;433323
3151.51252;175720
3183.45289;454911
3227.5224;277341
3228.49802;739735
3283.48435;203162
3326.6668;501684
3342.66277;289857
3367.51448;293899
3376.63034;221034
3398.55021;346451
3398.58098;452753
3415.57868;541969
3502.57874;369215
3625.72089;459752
3974.00129;811669
3992.01525;707418
4021.9113;794221
4037.87858;2791248
4053.92059;844342
4069.91338;2294104
4085.90727;1933229
4096.93733;656320
4101.90068;609767
4112.93132;916629
4203.05103;453205
4270.01296;394560
4287.03576;610727
4303.02704;1158116
4349.09259;1985667
4365.08885;3372383
4387.06134;478751
4455.15187;306880
4471.15004;389228
4480.09941;1651319
4502.08107;321704
