m/z,I
836.43783,351401
1068.50759,194323
1088.53805,286569
1105.57526,7705475
1116.49174,288832
1121.58157,1791836
1125.52897,463779
1154.58047,481121
1161.57289,904411
1162.55677,451151
1163.59189,650430
1167.57601,240215
1178.55209,279957
1180.64385,1925036
1181.62800,809320
1196.63906,1468058
1197.62305,812519
1201.58533,1034056
1202.56900,423599
1202.66469,220454
1224.63348,179583
1240.67655,874922
1241.66045,3192353
1251.65177,315499
1261.62884,483973
1308.67419,1128594
1324.66861,619055
1369.67187,211809
1373.67757,1000922
1435.68252,12623961
1453.74414,29675838
1459.69354,10475424
1473.67336,4671247
1475.72622,243613
1482.73704,238835
1548.77841,977362
1550.75709,4181466
1561.79828,10095735
1562.78246,5193686
1562.83017,3595684
1568.74495,247562
1585.77266,3695837
1586.75684,7635690
1615.82045,1348016
1628.72663,628127
1643.73727,258270
1655.79945,2152999
1655.81481,888741
1664.77432,349565
1690.77851,726063
1698.82081,315105
1703.83172,569378
1704.87844,222732
1706.77333,2449746
1721.82487,231661
1726.86546,1249739
1759.71858,458059
1782.81882,1688945
1783.80303,3558375
1795.91053,5687753
1799.79979,1807477
1803.91026,4506123
1804.89453,8318790
1816.86573,5870087
1832.86064,9494445
1841.93897,319372
1848.85584,4391622
1888.91918,1120250
1892.92197,5486171
1919.95806,654532
1931.96836,245585
1944.95347,1913821
1961.97978,77817408
1977.97458,1732325
2005.95745,1839240
2010.05081,702659
2011.05431,791129
2013.98488,10741999
2015.89829,733774
2028.06492,23062192
2044.05741,21685158
2056.97830,21280514
2066.95110,555202
2082.94335,1156760
2089.00674,4554774
2089.99123,2563341
2105.00059,9848430
2105.98529,5893398
2109.03315,1540399
2118.09681,490083
2120.99846,3723632
2121.98306,2004548
2131.11589,33710844
2133.98496,366372
2147.10838,807858
2149.05145,654951
2153.09515,464553
2163.10584,226962
2165.04876,825864
2172.03494,1276509
2188.02784,39605852
2198.97168,13533609
2199.95692,6161912
2204.02036,3085230
2214.96877,3550382
2215.95256,1520404
2221.06354,758987
2266.07363,771620
2282.07011,5975880
2286.03940,730465
2293.08841,1010196
2294.14617,437046
2298.06669,3486580
2310.13837,4547487
2326.12996,1574779
2332.11709,381592
2348.08665,2784316
2364.08527,2357993
2380.06648,616489
2390.14611,1183881
2410.13734,5579729
2439.23146,616728
2455.22437,9939232
2467.19683,6160145
2471.21740,2770041
2482.18399,592961
2483.18859,15477889
2494.08862,1551923
2499.18500,10545284
2510.08592,1489911
2515.18305,568517
2548.20987,1741819
2565.23329,5815399
2576.22541,3734085
2592.22030,2596492
2610.29201,1069493
2618.27073,229631
2651.24862,2203450
2667.24060,1010029
2689.25844,7533047
2703.23708,37612684
2706.25522,14513808
2719.23309,12582089
2720.21405,3509598
2727.23689,462388
2759.27515,1137205
2767.32056,38488928
2774.35362,616080
2783.31097,2011288
2785.29941,2061888
2801.29620,910244
2820.35401,12689578
2821.23102,863940
2821.33216,2374484
2867.42567,2603314
2883.42185,56721120
2899.42190,12472078
2905.40824,701552
2915.41928,1375639
2918.29149,3570802
2987.39256,9018395
2988.37098,9397753
2989.35096,3167233
3009.40239,2972876
3010.37972,1264459
3033.48642,3485612
3052.40074,569136
3084.41558,6429107
3085.39339,2650954
3099.41065,851388
3100.41327,15374233
3101.39111,6818322
3102.36968,2053785
3116.41150,5060612
3117.38909,2103898
3153.44812,4785022
3153.46987,5130135
3155.42741,1466784
3169.46458,4914567
3170.44227,3816555
3225.54330,3006139
3226.51544,1340628
3241.53370,5425440
3242.50701,2319889
3257.52630,1531745
3258.49856,636053
3388.58631,1873711
3502.58017,1612035
3518.57058,1653638
3533.58949,561964
3752.60194,504346
4096.94793,856896
4112.94042,853592
4274.02256,392944
4290.01941,1161375
4306.00192,537439
4375.11149,228789
4392.10949,585369
