m/z;I
836.43789;778759
868.46423;506519
876.63452;106045
892.46397;251298
892.4999;154564
950.46943;174932
981.02283;374807
1080.50721;248996
1105.57534;7168519
1106.5594;1472811
1121.58166;8164707
1127.55713;467104
1143.56332;413068
1146.56564;361611
1153.52371;253030
1154.58093;463372
1162.62206;1324354
1163.59223;1786027
1167.57579;404844
1180.64374;1270290
1181.62751;375831
1183.56994;269022
1187.58105;209859
1193.55543;364945
1196.63901;1404666
1197.62274;375358
1201.58486;318819
1202.66439;218728
1207.60654;242612
1223.60146;147993
1223.61252;265824
1226.62422;160693
1233.59795;151141
1239.64491;1590509
1241.66038;2162165
1244.60247;208186
1250.57659;289254
1254.53538;394573
1261.59285;321494
1267.64576;155935
1278.61878;185835
1295.64122;244088
1324.66781;439229
1335.62949;618632
1354.63703;166382
1362.71278;187490
1379.61946;254383
1379.69242;426813
1383.7254;328714
1392.65067;246698
1423.70117;165192
1432.68174;436816
1435.68231;6743529
1447.75583;504721
1453.7433;26338554
1459.69351;5777999
1473.67308;2028406
1475.72655;799959
1481.67498;259120
1482.73753;321098
1546.79866;1730294
1550.75654;2037322
1561.79833;3200368
1562.78237;5143499
1562.82985;2533297
1586.75666;4578298
1591.74549;226942
1605.79815;241577
1615.82065;2676133
1616.80453;1152144
1631.77936;187244
1648.77871;1041247
1648.79249;447231
1655.79955;1408303
1664.77386;636993
1665.76152;186376
1674.81386;555137
1698.82184;311991
1704.87893;807478
1706.77341;1567156
1710.86897;202313
1719.84312;451890
1726.86563;1550758
1735.80086;583844
1743.72657;442664
1746.90129;632812
1759.71867;1036334
1783.80272;742668
1784.85623;347164
1787.86816;706297
1795.91028;1186748
1799.79962;3816546
1800.87206;342879
1803.90982;2571269
1804.89419;13649402
1816.86517;2113824
1826.87654;489795
1832.8606;5662881
1848.85545;3648547
1892.92175;3508655
1918.95656;923341
1944.95352;1791963
1961.97994;34653648
1971.96224;294821
1975.99491;1003528
1983.9622;1092293
1986.04181;376776
2005.95681;433027
2013.98484;9503285
2027.03432;1277126
2028.06419;14302088
2034.965;168402
2039.95506;1875681
2040.93838;756579
2044.05696;18893724
2050.04338;328774
2056.97831;28965786
2057.96362;11702007
2066.03933;531314
2078.96434;837236
2079.94481;462127
2089.0064;2643474
2089.99116;1446409
2104.05925;192735
2105.00075;3626223
2105.98594;2128682
2109.03233;622621
2120.99783;1413874
2131.11562;16824588
2143.99934;342057
2148.04655;513984
2153.09494;869904
2165.04771;538400
2172.03511;1091305
2188.02777;17288138
2198.97089;748001
2210.00808;855484
2214.96832;2140108
2216.05953;848335
2266.12011;665702
2282.0706;3425225
2294.14584;451237
2297.19344;234649
2298.06584;896604
2310.13843;1564972
2313.18523;761151
2332.11677;1293044
2348.08662;4651437
2356.18941;305164
2364.08453;4273090
2390.14519;1081235
2410.13676;3302654
2439.2309;1856449
2452.20733;817636
2455.22363;11849872
2467.19702;3289681
2471.21591;2185185
2473.27855;509902
2477.20156;543270
2483.18869;6123804
2499.18487;3178111
2501.12344;210454
2513.20221;351801
2517.13239;210642
2528.22709;954069
2550.20293;646767
2566.22565;6054669
2575.22188;447041
2582.22013;264934
2592.22005;3484913
2651.24845;2271903
2667.24158;891767
2673.26592;3346536
2689.25792;14173558
2705.2505;19710798
2719.23216;6855561
2720.21252;2414439
2737.37581;539688
2742.202;421681
2750.2913;2265787
2759.26855;355679
2767.31919;44761180
2768.27682;3091827
2780.38416;904167
2785.29838;6655133
2790.30379;688003
2801.29195;5154766
2820.35265;10318280
2821.33182;3224618
2839.39165;1811320
2842.33144;614678
2853.40719;663175
2867.42497;3978075
2883.42162;32666946
2899.4197;2658604
2902.2938;729883
2905.40833;2202965
2918.27626;1464550
2918.29383;2924562
2926.43659;403852
2930.33763;1081446
2938.38172;449207
2945.33452;775276
2987.38954;11904063
2988.36815;9250699
2989.34769;2648813
2999.50634;221285
3009.40144;2168139
3017.49091;381355
3020.41051;473796
3033.48474;8523912
3034.45816;1166546
3052.40036;1249044
3055.46885;573122
3068.4177;1097646
3084.41318;5703275
3085.38955;1765891
3100.41114;12844786
3101.38774;3865833
3116.40957;8877850
3117.3863;2825888
3122.39949;622649
3137.39032;542152
3153.46883;2096148
3154.44466;1305623
3169.46329;2566818
3241.5364;993133
3242.50931;1774182
3651.74528;376932
3752.60436;342680
4020.88329;638379
4049.01364;176952
4096.94374;1531824
4112.93941;1311023
4139.07309;544073
4290.01998;631137
4376.10277;391611
4392.09283;1115308
