m/z,I
840.45348,453222
854.3956,509891
868.44743,721881
886.42095,334012
898.49325,1300801
902.43406,272093
918.428,179278
945.41926,274909
950.44955,168904
1045.53996,176726
1079.54546,419485
1088.51172,308115
1095.53908,10607235
1099.52294,487182
1105.54435,844456
1115.51661,915330
1125.50117,254756
1133.48446,206776
1161.54295,223169
1163.56083,98245
1177.53669,154378
1182.58087,932518
1184.46264,448000
1201.55348,310364
1208.64288,3326695
1223.57988,293653
1240.64236,295623
1244.55324,459428
1248.51101,913851
1264.50585,772240
1267.64037,1667323
1287.59679,177981
1328.60931,193738
1427.68367,2790816
1435.63682,4669301
1459.6467,5496515
1473.62513,2136437
1474.7911,352471
1496.70379,225163
1532.73132,1729806
1561.745,1146876
1562.72882,1211015
1562.77621,1882358
1580.71324,2556945
1586.70123,3719790
1615.76295,982392
1636.78318,395825
1644.66192,1738303
1648.76981,4952771
1655.73886,8725505
1664.71259,179833
1674.7514,884867
1690.7152,912518
1701.66856,236848
1706.70941,2718166
1719.77779,1311788
1726.80031,418902
1735.73366,280962
1743.65912,1664527
1759.65142,1011460
1782.74844,924845
1783.73296,3242218
1791.65771,170795
1798.74414,1200966
1799.72807,4447007
1804.85889,618901
1812.81499,1114785
1816.79313,2213793
1821.77611,882749
1822.76041,1975372
1829.8297,257415
1832.78624,5114648
1837.66978,236264
1845.82352,371033
1848.78107,2388899
1863.79645,206385
1888.84039,273374
1900.79823,162872
1922.85153,3460770
1933.89011,390654
1958.88475,1160563
1962.84203,455932
1975.90809,30596082
2007.84745,486916
2019.88359,14114462
2039.86225,1409908
2055.99976,4539225
2056.88516,41996552
2065.87257,454518
2071.99633,2067277
2072.91855,5410185
2081.86662,672336
2088.91022,8938714
2094.82967,1753947
2104.90324,2118610
2118.80446,373478
2131.01535,19840448
2133.88416,357362
2150.92847,303223
2152.99361,310102
2168.95978,672806
2198.86511,6897686
2199.95406,410879
2210.99655,400248
2214.86056,3085809
2215.94954,18615244
2231.94588,2364804
2232.9886,608357
2237.93219,286962
2253.89275,419372
2254.95643,251066
2261.01679,1730981
2282.99992,210227
2299.93986,387310
2307.02043,576339
2315.9315,1065657
2323.01124,145390
2347.96489,422215
2353.87554,257778
2383.82713,344257
2404.05503,391166
2410.00857,2276609
2420.05081,687661
2471.0815,1256128
2481.0748,1169387
2487.07198,5853581
2497.06697,5424994
2509.9467,1705753
2513.06268,5776250
2525.02083,374638
2525.94315,378566
2535.01543,226794
2541.00681,274264
2548.06454,1047220
2549.08323,1024988
2551.006,205865
2562.03725,352968
2589.1065,225281
2651.09303,420320
2689.0993,1199561
2705.08841,12968860
2719.06757,2188734
2727.07296,251365
2743.11993,282945
2775.11039,381735
2781.16425,5757234
2792.15517,1452179
2819.10115,320946
2853.22708,7277166
2869.22307,1624573
2891.17424,277347
2988.10852,486264
3001.16516,566800
3017.15475,2898100
3033.28074,2947310
3084.20226,1070208
3100.19761,5612459
3105.27867,337337
3116.19226,2553272
3125.27747,316028
3138.14412,329601
3141.27161,427488
3167.25679,626457
3183.24872,2004928
3211.29689,374915
3224.17602,461192
3227.28683,2111440
3243.27653,297287
3399.34646,1618978
