m/z,I
758.36645,336274
785.44941,308368
836.42241,432180
837.4064,717513
842.49461,749654
852.41704,376178
868.44725,434918
870.52446,319465
878.46772,224225
899.47717,762040
945.41944,254170
1045.54018,472925
1095.53942,2018416
1105.54859,3526742
1106.53246,3543678
1115.51658,465760
1116.46482,676341
1117.52055,353209
1127.52946,759436
1128.51342,655067
1138.44574,162101
1149.50996,215674
1150.49456,160799
1154.55147,710818
1157.45835,143982
1183.57626,398973
1198.58612,263763
1199.57075,673701
1239.61074,1775065
1296.54639,139764
1297.57699,170628
1307.58584,375823
1449.65193,458744
1453.69801,1079667
1459.64723,3084359
1465.64524,3620505
1481.6269,842169
1487.62648,815701
1503.60758,204531
1550.70405,2945096
1561.74522,869504
1562.72897,1501789
1562.7766,1661336
1583.65526,233819
1586.70127,4023429
1604.78352,528073
1608.68174,1037949
1616.7472,1028370
1639.74471,196013
1655.74054,3635543
1677.72047,929523
1707.69391,872232
1744.64335,615439
1755.74079,1161109
1760.63536,399562
1764.79467,1802338
1768.8307,1022575
1771.73622,1486282
1784.82333,2967059
1790.81009,265763
1800.81809,2980943
1806.80289,816464
1817.83151,625164
1822.7988,959425
1841.82941,1216033
1863.80902,1776574
1885.79164,435507
1892.8442,596836
1941.81362,228968
1957.808,581209
1958.88492,316438
1975.91001,6787817
1991.90506,352730
1997.89038,1696277
2004.87546,646493
2013.95796,1185842
2019.88487,2163159
2020.86909,1438252
2029.95429,583222
2035.9395,250629
2041.8463,617921
2057.87067,10624545
2069.95578,359644
2073.86794,523969
2079.85386,1955932
2105.88754,3933932
2112.85841,649164
2119.78928,600302
2121.8837,784221
2122.86713,902097
2128.85447,955834
2145.02889,6334593
2150.83084,250181
2158.89004,214465
2167.01085,1660202
2182.97305,179241
2187.92402,1394066
2188.99028,298037
2200.83476,892712
2203.91422,8521826
2209.9029,314378
2210.99799,350792
2216.82904,587750
2219.91161,485353
2225.89723,2189455
2232.97879,251903
2247.8772,233646
2255.94166,729473
2301.01255,399799
2322.98911,198833
2363.96115,200083
2410.99405,215304
2455.09202,1101311
2471.08298,378470
2477.06782,235511
2481.07639,461721
2497.06868,816578
2510.92949,247635
2513.06417,449231
2519.05101,236470
2571.09732,1058342
2793.16202,858419
2869.22527,1133277
2891.20676,323280
2978.10967,510785
3000.28848,359476
3086.1703,320004
3102.16681,797743
3118.16255,457522
3124.14784,273824
3186.19824,339996
3200.28416,423241
3216.27501,331192
