m/z,I
812.42302,176134
836.42229,860992
840.45341,144453
852.41673,608179
852.45302,503294
882.46240,296180
898.49308,862488
909.47222,170186
937.50217,173370
950.46064,201980
1049.47708,138074
1078.51332,229815
1079.54561,137399
1095.53911,2396569
1100.47012,135330
1105.54800,286764
1162.56671,4833090
1174.51858,609646
1219.58573,1076869
1220.64195,747670
1221.62584,352732
1240.64200,330442
1248.51021,163357
1291.60257,208405
1319.63218,837889
1376.65025,209228
1393.62785,1550172
1435.66294,715768
1450.64607,390639
1459.64625,1008648
1492.67992,420361
1532.69360,172217
1561.74360,1918915
1562.77526,717388
1563.63232,116314
1572.72196,1174653
1578.74808,1054594
1579.62636,252605
1594.74209,1604005
1609.69924,599929
1610.68297,284366
1643.67712,233443
1651.75840,298873
1677.76882,267291
1681.75156,385334
1697.74558,590886
1711.77498,276120
1739.74625,261119
1768.79273,274767
1777.80259,126552
1800.79767,295671
1872.92567,156630
1873.80944,224120
1920.87170,809240
1932.83247,164020
1974.85018,3902465
2012.86227,175530
2014.86717,394814
2023.86770,235839
2032.85458,240025
2039.86105,1234639
2040.89276,2403896
2056.88491,11897319
2065.87120,170909
2097.90713,256814
2113.90244,1649615
2119.99003,1947702
2130.95290,247665
2146.94388,890160
2148.98485,3100792
2162.93844,980195
2197.93911,506442
2203.88720,572982
2206.00086,1039297
2213.93292,2698273
2229.92833,980081
2232.89249,250660
2251.88733,888161
2263.01676,166702
2267.87946,1004297
2270.94883,867040
2280.88699,232326
2286.94208,390222
2304.88772,264119
2321.94943,555824
2378.96796,264818
2424.87089,215968
2429.07465,1409533
2466.02906,291504
2497.06485,520268
2511.11702,2952533
2513.05955,870939
2548.98754,432271
2564.97922,466432
2568.13167,553333
2657.11554,777947
2673.10517,5216454
2682.13651,774043
2689.09615,4722516
2703.07239,1129500
2711.04573,341969
2719.06626,2487740
2724.13823,481406
2733.15526,588836
2741.16686,5667709
2776.08884,1003868
2785.12534,943384
2793.25413,974037
2798.18216,1885121
2804.14776,553387
2850.26243,225653
2866.18452,272329
2879.24136,3178767
2895.23586,1372924
2918.18875,270575
2927.29666,301333
2936.26071,1573768
2952.25170,648637
2993.26527,422868
3036.19646,493188
3052.18904,1001243
3084.19842,1197865
3093.28528,787711
3100.19326,3344947
3109.21055,351205
3109.28071,1492235
3113.20150,3309388
3116.18988,1719829
3152.24280,1922534
3157.20715,1027840
3170.21782,1240379
3209.25313,646968
3265.25750,233261
3294.17780,261956
3312.33232,256540
3401.32100,2275827
3458.33817,788996
3602.37695,376706
4037.52901,193487
