m/z,I
836.42217,440775
898.49312,348757
1078.51365,152340
1095.53921,1190840
1105.54798,825621
1129.53153,148663
1152.55815,281562
1162.56673,3336760
1209.57616,222762
1219.58544,800317
1220.64203,370455
1240.64200,306536
1276.60351,463331
1319.66879,639333
1345.61255,168564
1376.68706,207536
1393.62781,781167
1433.70482,229055
1459.64636,633909
1516.66326,240014
1562.72734,264868
1562.77521,344030
1572.72143,474000
1573.67988,187873
1580.72728,440044
1603.76181,305710
1608.70437,342380
1677.76823,297715
1697.76173,280430
1755.73885,191882
1894.85798,350519
1975.90776,696600
1996.96866,203477
2015.82535,175924
2031.86929,2042611
2032.85374,1341190
2039.86177,977618
2055.99902,429220
2056.88523,8504833
2071.99486,411023
2088.88421,634706
2094.82937,427471
2096.87580,198544
2113.90332,1722336
2119.99026,613930
2131.01529,524460
2146.94499,746361
2148.98543,1216610
2177.00555,368344
2206.00117,598549
2215.94941,500062
2229.92822,955264
2243.91645,188384
2263.01729,284211
2267.02645,507997
2267.87987,389052
2286.94412,361675
2312.95678,232526
2324.04182,232875
2343.95834,271910
2513.06158,323410
2525.13415,422276
2569.08937,217225
2688.09077,223797
2702.07422,352298
2705.08840,1962970
2719.06914,1108572
2725.17200,2393973
2741.16720,207312
2762.10850,547378
2766.16320,629505
2782.19154,924186
2801.11325,306443
2833.09445,232256
2839.19566,478036
2879.24173,1325280
2936.26097,656903
2952.24796,226207
2993.26931,509154
3017.15455,301627
3052.19196,553929
3100.19618,566899
3109.28137,603623
3110.22425,607292
3116.18997,2210492
3127.22397,1269741
3132.18343,820013
3143.19743,425458
3155.22341,727132
3166.26033,970909
3172.20025,599239
3182.24577,548351
3280.27802,283385
3385.33176,390679
3400.31994,397980
