m/z,I
700.36302,229078
701.34706,157948
706.35251,213449
836.42231,729520
858.39067,169766
882.46238,313918
898.49300,752580
1078.51384,250169
1082.58081,377619
1095.53912,2466724
1105.54823,1440854
1152.55775,436561
1162.56676,4003897
1174.51861,420858
1220.64235,303293
1240.64183,474794
1267.64039,195209
1319.63246,732141
1393.62801,1143358
1453.69690,505739
1459.64618,1147176
1465.64489,577200
1562.72819,488738
1562.77517,461779
1572.72171,749091
1594.76310,921742
1604.76103,699041
1610.68367,238728
1697.74598,306146
1711.77396,255676
1795.83879,249467
1816.79154,297244
1832.78581,568286
1848.77912,521397
1860.81970,127515
1908.83499,258396
1947.88123,210377
1974.84941,1340886
1975.90832,2036885
2013.86568,409155
2019.88321,214762
2039.86188,1368920
2040.89324,881488
2056.88536,13399973
2072.88046,404541
2094.82637,213118
2104.90227,382359
2113.90364,729817
2119.98960,1245669
2132.99343,2647310
2135.94810,694776
2146.94505,433169
2147.00620,1363755
2162.93926,1440494
2190.00936,568310
2197.94009,364189
2213.93300,1641937
2215.95120,979528
2229.92934,1435183
2254.95201,162580
2267.02654,855362
2267.87960,503855
2270.94771,388339
2283.87544,560864
2295.02242,386202
2312.95523,221996
2321.94864,1124269
2349.94435,215419
2413.08175,207335
2429.07519,3539287
2457.06877,354493
2470.09806,300155
2486.08429,1342821
2494.13866,903597
2513.06288,546005
2539.14969,1241637
2543.10741,281450
2553.94174,270315
2657.11450,642016
2673.10618,3344027
2689.09704,5614635
2705.08954,1529383
2719.06753,2035790
2725.17283,4354019
2746.11311,559784
2753.16858,2746673
2782.19296,1022465
2785.12733,446524
2801.11882,627836
2821.28036,403177
2837.26816,358837
2853.22720,1618380
2869.22250,523985
2879.24189,2402726
2895.23808,547440
2915.08831,371146
2930.14562,210047
2936.26395,786951
2975.15592,987695
2993.26920,213698
3036.19914,318663
3052.19232,842816
3084.20019,804487
3097.21033,2549259
3100.19560,1259887
3109.28212,537274
3116.19049,6569490
3132.18512,6621277
3148.17880,282927
3155.26704,535421
3173.20135,802126
3183.24728,1309717
3189.19409,912833
3192.26944,1131331
3211.29597,737613
3294.18043,225970
3386.34007,798631
3401.32464,742847
