m/z,I
852.41651,167536
852.45265,321356
898.49275,198088
952.46498,319187
994.48520,335068
1018.45687,164093
1032.57169,283028
1052.52383,556038
1095.53900,960370
1104.42577,381483
1162.56662,2445659
1174.51904,194257
1198.67403,447120
1219.58557,152656
1240.64215,160379
1288.70411,178998
1309.62337,367277
1319.63203,434474
1325.71512,214794
1359.62793,1353149
1393.62752,766877
1445.63049,264825
1459.64576,629786
1510.72166,178130
1534.72087,954723
1572.72166,521078
1579.72784,158310
1584.72085,492304
1586.67234,405887
1594.76258,431107
1604.72782,155562
1607.61599,437749
1609.69862,277044
1616.70876,418853
1620.75444,341172
1645.72150,1678101
1702.76534,378896
1703.74813,213576
1769.82740,280255
1816.79225,335668
1832.78507,292771
1836.89564,167424
1850.91044,141292
1865.80470,459594
1884.81008,417753
1909.86716,1392929
1961.89408,2871549
1965.84040,250208
1974.84964,1523267
1990.91943,2223906
2040.89211,406389
2044.92339,3152081
2056.88513,6406121
2095.88119,220523
2111.87539,1164667
2119.99040,846251
2120.93320,257693
2132.93164,444489
2132.99329,1393105
2136.92494,458863
2148.92285,855965
2148.98446,447692
2152.91708,410274
2155.05756,248775
2162.93916,1301741
2167.91842,1689381
2175.95921,233754
2178.02956,214717
2191.95023,752165
2203.03575,219197
2203.88696,198275
2213.93364,1318150
2224.87941,312942
2226.02930,1065031
2229.92887,1076791
2237.93503,770830
2242.02136,890650
2251.88688,804471
2267.02667,271664
2267.87873,738698
2334.96764,954621
2340.10762,190864
2379.01032,403216
2395.00212,514000
2429.07589,691347
2446.04565,360171
2477.01161,184968
2513.06097,408271
2519.08221,253794
2531.07138,337455
2539.14785,644829
2544.04757,183677
2558.97557,388544
2608.15431,561358
2619.06448,235423
2667.06183,1228489
2673.10377,1223756
2683.05419,1233108
2689.09590,2562333
2695.08024,1012364
2703.07830,361969
2719.06698,1584741
2725.17254,1869266
2733.15494,402445
2741.16782,716105
2777.14293,485439
2867.31515,757004
2879.24072,1783984
2883.30916,468223
2892.22142,498246
2895.23662,592883
2930.16357,285066
2945.15303,243090
2945.27260,395781
2960.25946,791554
2976.24644,594701
2989.13869,934721
3006.13443,849171
3011.22971,514727
3023.13333,612552
3027.22711,210553
3052.18873,239686
3084.19609,301306
3100.19351,1705459
3109.27754,517491
3113.20570,1880722
3113.27568,289002
3117.19155,658660
3145.21865,246270
3155.22180,414009
3183.38952,206509
3192.26714,733587
3201.23347,323268
3203.39569,446016
3208.25511,215551
3269.19324,203826
3285.45126,318633
3341.29927,390266
3357.29307,478592
3401.32069,881664
3497.41248,444766
3592.31769,321202
3663.34011,241674
