m/z,I
701.34674,460027
758.36658,198657
836.42214,774025
852.41653,542451
858.39037,404567
882.46256,263016
893.44125,371747
894.46187,382074
898.49285,558189
945.43754,194228
952.46477,491669
1052.52409,1239709
1095.53894,1997609
1100.47037,346233
1105.54808,799536
1108.52238,181843
1109.54224,181182
1129.53128,271849
1141.53121,262253
1162.56645,6526721
1174.51841,1146550
1184.46123,137951
1200.51166,386348
1209.57634,136188
1219.58544,1444653
1220.64204,853680
1221.62616,429916
1239.60970,162894
1240.64147,179652
1248.51095,253568
1268.62327,359266
1276.60271,150680
1291.60234,176373
1309.62377,565548
1319.63220,1471849
1376.64967,349749
1393.62801,3164070
1435.66254,360426
1438.62133,295779
1445.63119,850818
1450.64605,723810
1459.64618,2548511
1466.65043,333586
1496.67038,607036
1535.70480,190135
1561.74348,1690167
1562.72771,842013
1562.77507,997097
1572.72125,2017324
1573.66930,462752
1578.74788,587140
1600.71546,713107
1603.76238,505054
1609.69919,1006756
1610.68364,576956
1619.79218,278472
1629.73925,512348
1635.76395,169631
1643.67644,211191
1651.75813,264683
1660.77923,126971
1664.71191,136365
1720.72384,225550
1750.73200,252059
1752.79841,183224
1755.73954,642230
1800.79915,352492
1812.75560,149119
1832.78561,983051
1886.88237,248467
1888.83970,223045
1909.86747,1328278
1920.87189,803532
1945.90060,338284
1961.89412,3074621
1965.83999,348393
1966.88342,462467
1975.90773,445424
1990.91925,1093279
2006.91066,149807
2014.86747,266627
2018.91094,555605
2038.87557,359367
2039.86156,1127512
2040.89329,2372583
2044.92342,1691627
2045.90716,942259
2056.88503,15657514
2072.87920,258925
2078.86741,367472
2094.82827,1113709
2095.90227,1033097
2110.87354,988135
2111.86097,818425
2113.90286,1778310
2119.99078,1294097
2145.02654,187345
2146.94463,1959665
2148.98490,5945353
2155.05865,857798
2162.93914,2430242
2167.91764,1010514
2177.00596,365658
2197.93994,510093
2203.88731,807638
2203.96049,356427
2206.00121,1803967
2212.07514,324688
2213.93343,3065343
2219.95495,293879
2229.92891,1224438
2251.88672,1392100
2254.95460,227993
2267.87964,2661240
2270.94914,832852
2286.94486,381135
2287.87440,835467
2305.82297,221362
2321.95160,469465
2334.96640,1005817
2353.87242,332112
2395.00185,1008169
2429.07550,1144779
2465.02674,344778
2468.03982,602728
2486.08411,278166
2497.06676,496992
2511.11796,3063547
2513.06002,886880
2521.05413,164595
2531.07073,226225
2568.13130,526788
2673.10654,2844801
2682.13787,331356
2689.09676,3654511
2695.08228,851813
2703.07659,907239
2711.04329,318809
2719.06678,2490260
2727.03832,252030
2741.16774,3382322
2746.11448,720351
2757.01262,218544
2776.08920,541937
2785.12775,344746
2798.18419,657017
2809.24644,181008
2879.24159,2493701
2895.23620,1069954
2897.32435,344980
2936.26083,870799
2952.25382,353369
2977.23045,351503
2993.26528,196420
3006.10617,528119
3023.13537,494928
3036.19478,307412
3052.19155,590928
3084.19815,668060
3100.19351,2095442
3109.27830,629243
3113.27480,357823
3116.18849,1669422
3152.24091,1062056
3157.20955,420568
3183.24722,291182
3401.32118,609272
3458.33275,232727
