m/z,I
852.45293,585671
894.46176,612108
912.50830,249800
914.45086,235321
952.46502,795501
1028.47086,435299
1044.46498,165049
1052.52421,1959489
1055.49812,449844
1065.56645,282955
1071.52910,233014
1095.53880,271580
1105.54784,527785
1109.54283,208535
1111.48508,262832
1115.51643,211472
1141.57864,151951
1153.54202,404289
1225.57018,1214701
1228.60611,767229
1254.65666,556800
1256.56732,1368483
1268.62376,569215
1309.62335,1982079
1315.61161,208405
1354.62980,203170
1366.64118,236903
1438.62166,823843
1443.65171,1428378
1445.63108,1417075
1502.64772,168539
1510.72066,213951
1534.72060,3262469
1555.69255,268784
1572.68523,1025106
1584.72162,1530429
1588.73379,430857
1591.73786,473187
1604.72838,487862
1641.73838,200373
1697.80455,588983
1699.76116,179896
1715.75372,227618
1730.77929,159899
1820.81565,170824
1878.82982,337170
1892.84179,293327
1909.86739,3209149
1918.87385,201703
1925.82345,396542
1925.88501,384335
1944.86930,538314
1948.89998,240292
1955.86983,1024310
1961.89387,9073138
1966.88309,376325
1990.91921,8653812
2006.90897,169418
2018.91038,947181
2027.89922,781905
2028.93186,330436
2044.92304,10718113
2056.88474,999736
2078.90161,196906
2082.86652,395238
2101.93888,707900
2111.87595,2307547
2120.93427,573234
2131.01446,425454
2136.92608,1127993
2148.92295,3561329
2152.91699,1025087
2155.05820,2071236
2160.88735,165109
2167.91850,2723119
2191.95066,782757
2197.02805,952980
2202.80357,149208
2208.88301,609362
2212.07358,671822
2224.88097,200964
2280.99044,215109
2301.97303,493139
2317.96258,435685
2324.04074,545146
2331.00839,712319
2334.96807,5459406
2337.94429,833279
2340.03496,204747
2355.93103,390021
2363.01825,397192
2372.91362,264149
2374.99603,263157
2379.01025,2010372
2391.98642,737815
2395.00120,1285048
2398.02653,235012
2447.03182,984884
2452.04786,571455
2453.00457,406820
2479.01334,368000
2488.06989,277832
2504.06347,328251
2531.07172,924481
2544.04774,160982
2616.16910,260506
2619.06444,957507
2667.06280,3891448
2677.09694,1092170
2683.05446,1661545
2695.08035,5960508
2711.18096,514541
2724.07386,495295
2752.10053,733892
2853.22558,507908
2867.31280,2831404
2883.30799,1894039
2924.33557,615740
2925.15494,406733
2941.14544,1307182
2944.26908,1915000
2956.14946,223431
2958.15310,870309
2960.25863,2130279
2973.14751,1542490
2976.24815,1597401
2977.22886,1584116
2989.13725,4599116
2995.24172,886481
3007.14276,3362154
3017.26404,294416
3023.13449,1365537
3037.19724,501179
3046.14899,785255
3064.15876,544607
3113.27662,2266613
3114.21467,2132384
3121.17940,278953
3126.23616,900884
3142.22918,2016489
3147.16559,349365
3149.33079,559710
3169.29313,931344
3171.22639,670849
3183.24603,646666
3195.15594,1135756
3201.23070,892077
3205.21030,375044
3211.14560,566224
3217.22394,257414
3227.13705,431674
3230.30552,315120
3253.19919,1646194
3269.19249,811512
3302.29791,314371
3310.21162,271993
3341.30045,2025843
3353.35297,336576
3357.29718,1502778
3398.32584,252180
3414.31982,307161
3451.40436,288499
3575.40769,373218
3592.31936,526300
