m/z,I
852.45279,217650
1052.52385,515167
1149.58346,108185
1254.65641,144079
1268.62347,325996
1309.62213,396262
1438.62075,201586
1534.71990,910170
1579.72677,221900
1604.72686,353139
1730.77808,284976
1746.77346,184423
1843.71893,204966
1892.83988,182752
1909.86590,1048209
1944.86695,231443
1961.89312,2150595
1990.91744,2225615
2044.92176,2475208
2056.88368,1196041
2111.87419,1130909
2120.93307,134095
2147.00508,318439
2148.92008,596787
2155.05678,121286
2167.91665,673891
2191.94780,588806
2197.02572,174899
2215.94695,255131
2324.03695,151796
2331.00873,217309
2334.96710,784676
2394.99964,490049
2619.06277,696223
2668.03355,206894
2673.02056,283203
2677.09712,384517
2683.05282,2369063
2689.09306,204455
2699.04581,292364
2705.08848,469620
2753.16635,1140383
2853.22751,493301
2867.31500,622379
2883.31059,610132
2928.15548,335870
2941.14137,777266
2947.24708,450736
2959.15105,569932
2960.25384,919290
2974.14855,521721
2989.13328,598790
3005.12459,1719387
3011.22652,764980
3023.12958,1228421
3027.22056,256958
3113.27234,606881
3126.23386,239349
3132.18137,855146
3142.22610,344005
3169.28650,416630
3183.24324,467676
3210.28540,346927
3269.18933,186475
3341.29677,706022
3357.29014,884415
3497.40872,1394455
3519.32501,347023
3592.31761,535755
3663.33512,540099
3945.44875,268102
3961.44242,281432
4106.58982,294253
4122.58462,345077
