m/z,I
852.45292,605561
894.46177,488819
972.47278,239972
994.48511,503150
1099.52236,177895
1106.55069,286851
1198.67367,238304
1225.57023,219890
1254.65687,227595
1445.63119,253982
1510.72171,416386
1534.72045,1126606
1538.67407,234647
1563.70377,129429
1584.72152,466869
1588.73437,430662
1596.75256,239014
1697.80466,261106
1811.73091,141142
1868.81356,478697
1909.86758,1422601
1925.82314,349034
1944.86916,534214
1948.90054,258574
1955.86861,296263
1961.89390,5523990
1973.89186,567326
1990.91872,4722440
2027.89874,711655
2044.92308,5560717
2061.87615,271993
2095.88118,287061
2111.87500,773672
2120.93290,215355
2132.93059,374965
2136.92401,171338
2148.92258,447849
2155.05855,712222
2167.91812,669837
2175.95975,201454
2191.95078,527932
2197.02647,227399
2217.06932,195977
2231.08405,1231941
2257.05702,202317
2259.10909,425363
2273.05147,611143
2301.08226,290684
2324.03913,409160
2332.03341,568770
2410.99294,416784
2446.04591,1040470
2528.05355,296488
2619.06392,457692
2635.07223,161429
2651.07073,650074
2667.06221,3203448
2677.09771,1013309
2683.05393,1089067
2695.08074,2054097
2695.18826,963582
2711.18186,847510
2867.31282,1884848
2883.30822,995775
2913.16433,430299
2929.16138,628349
2943.33988,193851
2945.15158,314680
2945.26840,964536
2957.14869,417165
2960.25443,1395227
2973.14615,849481
2977.22405,425952
2989.13671,1766980
2995.23920,1185660
3007.14127,1482698
3011.23053,1501300
3023.13328,409415
3027.22308,414619
3097.27888,437244
3113.27339,538746
3114.21206,2226433
3142.22676,211765
3172.22626,200327
3201.23016,460770
3337.35521,425584
3341.29787,790258
3353.34841,633543
3357.29385,935119
3369.34682,202264
3417.32664,326937
3481.42155,469490
3497.41124,1445345
3592.31874,670027
3653.45661,176635
3663.34286,519598
3819.45757,341239
3835.45045,706726
3851.44284,389697
4122.59216,278254
