m/z,I
701.34710,1525948
716.25702,199719
734.15827,208909
735.33048,567049
842.49440,380595
852.41647,724963
868.44733,1008884
870.52409,208085
898.49301,735917
925.46655,459325
960.43676,246295
1045.53971,276575
1095.53920,1651766
1105.54828,8207361
1115.51680,776652
1116.46435,571124
1131.51169,160125
1133.48463,265786
1143.49334,1270081
1152.55828,503513
1162.56667,3357946
1200.51180,441946
1208.64271,565345
1219.58552,842425
1240.64214,606748
1248.51083,131344
1261.56116,164467
1267.64025,2410854
1297.66040,116031
1324.65903,895926
1427.68310,455012
1435.63674,1216184
1453.56617,224700
1459.64657,3554908
1516.66457,1218199
1522.66267,393388
1562.77576,822697
1585.71636,1019526
1586.70109,1886326
1619.79247,268282
1624.64497,438195
1636.78222,126551
1637.72985,442411
1648.77022,947180
1655.73943,2031345
1681.66325,124467
1686.71334,153792
1694.74627,244407
1712.75551,664051
1719.77639,366826
1749.78538,801891
1752.74801,146713
1759.65110,226721
1806.80118,455660
1816.79269,163473
1821.75527,256633
1832.78677,501312
1845.82387,324201
1850.76077,1522874
1869.83071,178552
1883.76853,570533
1907.77579,365487
1922.85118,1231085
1944.87029,314363
1961.89473,7811063
1975.90899,2947723
2006.91023,197419
2013.85264,561528
2018.91068,1283483
2032.92679,432426
2039.86230,756704
2044.92387,360149
2049.86419,464904
2055.99985,990832
2056.88592,10854341
2057.87098,2362761
2059.98112,284659
2065.87207,267591
2071.99580,899997
2072.91793,1082560
2088.75097,276833
2088.90988,1792993
2094.82955,2250263
2104.90287,1469693
2111.87606,317961
2113.90360,1390665
2115.02191,3177758
2120.89790,514689
2126.85354,258920
2129.01056,218487
2131.01518,3013759
2152.96310,703136
2168.95881,559614
2172.03866,1397520
2188.03072,636565
2198.86679,453129
2209.98019,260659
2214.85981,1144159
2215.94961,3126999
2229.05597,272978
2232.89659,153271
2232.98731,305238
2253.89203,506380
2260.06541,227013
2271.87559,201502
2272.96543,700961
2329.97997,375581
2334.96817,191241
2400.87189,174118
2404.05561,276197
2420.05102,647012
2455.09120,449346
2497.06723,456445
2513.06165,463187
2536.05781,341425
2586.00145,390178
2689.09878,542012
2705.09052,2625180
2719.06793,350346
2727.15247,3304828
2743.03659,513194
2783.16946,1240963
2803.03549,187925
2822.10915,278852
2841.18182,285044
2853.22861,1813488
2869.22226,2612497
2891.17361,463408
2907.16994,490206
2910.24826,419117
2926.24418,853934
2983.25449,419629
3017.15629,1107462
3100.19829,876662
3116.19232,1464350
3138.14282,252858
3154.13606,542800
3173.20780,383042
3183.24865,1619995
3199.24195,237025
3213.31323,290579
3221.18613,416512
3227.28876,538417
