m/z,I
701.34685,369959
785.37654,167250
836.42227,794627
840.45309,433778
852.41668,893180
854.39558,818990
898.49291,1030653
902.43364,184252
918.42792,383813
925.46635,188038
950.46054,190264
1045.53922,138866
1095.53904,2634374
1099.52245,319641
1105.54800,6862582
1113.54171,199648
1115.51661,756536
1143.49306,926271
1152.55807,520542
1162.56665,1727914
1172.53532,280920
1192.64849,244874
1208.64253,1690789
1209.57593,202372
1219.58500,506961
1223.58000,301808
1240.64203,870864
1267.63985,1472665
1324.65786,390171
1370.55910,197141
1387.65028,212775
1427.68269,1985619
1435.63641,3350498
1459.64605,3213587
1484.70038,289198
1497.58933,151420
1516.66382,603646
1532.73012,292027
1549.67121,180152
1561.74291,315192
1562.77531,1103845
1580.71142,1213039
1586.70067,2007562
1615.76190,448238
1619.79147,250469
1624.64471,322160
1636.78162,544473
1637.72813,272796
1648.76921,2635344
1655.73848,2828929
1674.75070,143533
1686.71220,241089
1705.78604,279252
1712.75460,421168
1719.77653,1186945
1776.79330,180284
1799.72552,159104
1850.75895,718289
1907.77513,195303
1922.85040,2547652
1958.88471,550831
1969.82776,338184
1975.90746,9233950
1979.86569,348671
1996.91801,1409802
2007.77262,150144
2013.84972,1207149
2019.88281,907543
2032.92604,1473043
2034.86252,216426
2039.86117,1169815
2053.93232,415236
2055.99845,2460424
2056.88453,17578806
2065.86982,430348
2071.99418,1649800
2072.91695,1916043
2088.90883,2389460
2094.82775,3058876
2104.90157,659233
2109.93810,279812
2113.01565,421379
2113.90254,2117026
2119.80729,206004
2126.85271,231835
2129.00985,280729
2131.01382,6596005
2145.92280,343066
2168.95835,1063019
2179.90544,183934
2188.02933,1885198
2198.86448,742065
2203.94466,152219
2214.85867,259806
2215.94890,7086424
2225.97258,313553
2232.98639,1316935
2245.04514,406701
2246.97381,221986
2253.89042,771698
2254.95414,671506
2261.01519,219811
2264.94025,219371
2272.96474,1266269
2290.00277,208504
2298.96097,727068
2311.97012,280587
2329.97860,497105
2404.05417,1363365
2420.04829,418599
2426.10608,260843
2442.10183,228648
2461.07209,342085
2472.08134,642465
2486.07672,2418723
2497.06479,1077724
2513.06024,1163352
2525.01722,682779
2543.10053,626062
2549.07757,703054
2565.06027,935855
2578.02494,612680
2581.08203,315829
2585.99672,569014
2594.01678,748898
2610.01355,275527
2673.10658,171151
2689.09569,1138622
2705.08774,7135052
2719.06571,778618
2743.03548,1165012
2757.01236,222833
2759.10995,676643
2762.10808,1514783
2763.14919,678381
2780.17228,6043611
2792.15142,217998
2818.10974,1617640
2837.18360,973312
2847.14727,289270
2853.22516,7329909
2869.21958,641858
2891.17215,1323523
2906.16575,216317
2910.24721,1898999
2926.24090,252838
2937.21723,171045
2967.25989,949096
3001.16392,913655
3017.15324,3276138
3033.27782,288026
3036.19734,396836
3052.19066,1172052
3055.09788,776872
3074.17104,861562
3084.20057,841564
3100.19437,3638577
3109.21348,348729
3116.18879,3777164
3125.27557,834888
3138.14000,1300206
3141.26841,1026466
3142.22010,393836
3154.13124,1086259
3157.21094,1011151
3167.25497,1547722
3173.19879,847969
3183.24549,6629118
3199.23552,919457
3204.18687,453232
3214.21857,242534
3221.18254,1628894
3227.28456,2872057
3239.18305,685387
3240.25035,1128563
3241.16117,768284
3259.11858,489522
3265.22332,773015
3284.29468,722390
3297.26602,421775
3303.16358,235589
3341.31048,529404
3383.34896,1118125
3399.34258,1830772
3421.29482,280659
3437.28799,425740
3440.36694,276920
3456.35923,532743
3547.15110,657751
3585.08495,266450
