m/z,I
735.33079,377774
744.35138,280052
858.39070,194580
868.44729,380828
955.51197,209787
980.46999,220528
984.44682,169864
1012.53108,100404
1028.49994,270697
1041.46566,152772
1069.52488,1719049
1079.53401,5707371
1117.47897,271877
1126.54389,896466
1136.55266,2924494
1152.54629,105084
1172.53565,547879
1177.53693,100098
1183.56231,191951
1193.57125,792945
1205.60684,283931
1229.55427,207668
1240.64173,709800
1248.51127,106839
1262.62561,102893
1267.63983,1272517
1297.66071,309594
1324.65842,731939
1381.67632,183518
1435.63697,1358613
1441.66135,604498
1459.64665,2520042
1492.65412,461176
1501.65345,631874
1512.69795,201368
1516.66430,1475213
1549.67103,145783
1558.67144,161193
1577.71260,540724
1585.71684,1436988
1586.70097,1294406
1619.79273,281370
1624.64507,201777
1634.73032,396001
1643.71785,568248
1652.76460,1299348
1655.73859,1168579
1680.84133,192629
1685.76107,176567
1700.73566,139760
1709.78060,381919
1712.75506,543014
1728.76476,231695
1736.71622,117353
1749.78485,1783455
1783.80063,549360
1787.72847,292362
1828.75237,161929
1832.78544,396137
1863.81860,175995
1889.80285,146409
1919.85256,472532
1958.88406,301510
1975.90818,7238969
2008.89109,103258
2013.85118,1064592
2019.88345,426406
2032.92695,2224051
2058.90141,687439
2072.88133,16279829
2077.95182,348668
2087.93679,405135
2090.88869,1370466
2093.94263,1271038
2110.82325,2505387
2115.91925,315247
2129.89805,3060459
2131.91293,607860
2135.00911,5481303
2147.90387,549336
2150.95846,338524
2172.95358,780046
2185.84825,112205
2192.02447,3223251
2209.91030,309064
2225.87817,445790
2229.96902,451674
2236.98209,2070274
2241.86914,978999
2249.03988,789514
2254.95621,384617
2266.09796,782667
2266.92558,167452
2270.94969,153147
2279.81091,152720
2293.99458,488725
2311.97260,238926
2323.11363,276450
2332.92354,144597
2404.05534,763702
2420.05022,154644
2461.07302,539663
2484.10376,1327614
2487.10091,298942
2492.96582,116451
2518.08911,477332
2541.12321,960074
2565.97587,253347
2572.01484,661448
2575.10145,290305
2598.13462,428689
2631.19586,203614
2673.10612,317880
2689.09747,1355100
2705.08978,2067971
2725.02296,342082
2743.03510,281747
2746.11545,428299
2756.14031,2623098
2762.11145,951415
2813.15066,1301879
2833.00888,147302
2883.23782,2283872
2899.23189,238048
2921.18429,580031
2922.25240,268748
2940.25731,2157366
2956.24843,280613
2997.26373,1189615
3013.24909,146534
3035.20293,357102
3049.17892,535979
3054.27744,500514
3084.20056,343061
3100.19665,1191487
3107.20532,369559
3116.19038,1844359
3135.29628,299098
3138.14075,353895
3151.29040,277079
3154.13399,425131
3157.21389,642595
3173.20275,866341
3185.28806,722131
3227.26099,2040598
3243.25123,1954205
3267.16587,234967
3283.16011,505780
3284.27049,983252
3300.26350,979017
3312.29759,249956
3322.21574,281877
3337.20676,211381
3340.20122,342775
3341.17575,311554
3341.28777,714565
3342.37030,243531
3348.38599,124657
3357.28272,631489
3369.31753,260913
3387.34559,361679
3403.34057,362758
3417.35472,366272
3433.34734,285804
3443.36080,332164
3474.36976,290282
3482.34781,162866
3488.41450,348516
3504.40790,1051623
3520.39770,1174300
3536.39076,316376
3558.33257,340900
3561.41426,465840
3577.40400,581709
3593.39436,181119
3618.41547,280907
