m/z,I
712.36324,194634
840.45296,117661
868.44700,191015
898.49278,181205
951.45849,220481
968.47431,182705
1049.41618,246689
1069.52462,690972
1074.47501,148759
1107.55231,263333
1109.49902,399989
1126.54350,109166
1136.55196,467758
1169.48754,118293
1245.60926,459356
1248.50974,86383
1254.55135,419653
1302.62686,161178
1339.51537,112752
1367.62447,166988
1399.72244,508430
1415.61473,500103
1429.73085,152725
1435.63632,585987
1441.66106,591595
1449.69856,842657
1459.64556,551807
1516.66284,250820
1557.67888,146645
1561.74347,420274
1562.77457,231194
1566.73287,118269
1577.71221,413593
1585.71622,479912
1625.79070,537622
1647.74809,175129
1652.76453,746614
1655.73859,587153
1709.73019,188103
1712.75430,180425
1771.73401,223159
1783.80205,187141
1808.85219,130821
1832.78553,312237
1834.90224,395353
1891.91812,149926
1919.85182,296066
1958.88420,416497
1967.68231,109401
1975.90770,3698140
2019.88331,347191
2029.95216,174751
2032.92623,623126
2055.85341,779027
2058.90049,405025
2072.88078,5740597
2090.88714,768207
2093.94216,947910
2129.89687,742282
2135.00824,1810865
2142.73007,235994
2143.88374,2714405
2151.76474,234667
2157.89903,2721470
2171.63944,338278
2187.63097,267421
2192.02349,745324
2200.89952,637236
2203.05097,317814
2214.91549,527869
2225.87574,201796
2241.86752,502468
2254.95415,142474
2265.03117,169073
2266.09710,237781
2282.05743,1579918
2291.07280,276878
2307.06415,345688
2342.03566,223542
2393.03033,176965
2481.07214,259586
2484.10586,1165509
2489.99644,240401
2567.12817,456858
2576.16406,489047
2598.13291,133771
2605.07186,233956
2655.07830,597485
2673.10673,264298
2689.09625,1067369
2705.08890,1740147
2719.06642,220409
2739.11491,159471
2756.14484,1247169
2762.11066,414098
2793.92716,113424
2813.15381,471932
2883.23654,1673810
2899.23024,201747
2940.25525,922122
2997.26329,270658
3033.18133,187457
3051.18373,359979
3084.19282,264257
3100.19193,638041
3107.20121,134774
3116.18910,1152998
3135.29403,210067
3151.28778,184124
3157.21163,212844
3173.20002,327480
3185.28638,633255
3227.25949,931760
3243.24933,848977
3284.26879,333041
3294.40783,506508
3300.26182,288375
3351.42580,167527
3403.33727,198068
3433.33967,165851
3483.61704,368183
3504.40272,424674
3520.39421,644047
3536.38467,197489
3769.42813,167966
