m/z,I
1078.51328,192504
1095.53900,1111929
1105.54788,1343045
1163.56187,181352
1241.62558,167961
1453.69677,3606998
1465.64432,299374
1469.69050,183258
1562.77505,164447
1586.69959,186024
1636.78096,411476
1655.73830,200197
1726.79879,166782
1795.83736,1189591
1814.73476,406054
1815.71874,166751
1841.88656,133562
1864.77204,172356
1908.83538,590225
1958.88241,1358572
1975.90728,10484401
1991.90074,450972
2039.85987,683380
2055.96026,270378
2056.88438,4683795
2057.87079,736862
2079.92056,205668
2102.92836,272183
2103.96186,435282
2115.84759,325372
2118.92502,736289
2119.95617,3462029
2131.84127,987368
2135.94812,5610903
2147.00510,3143480
2215.94713,543037
2254.95450,338854
2486.08425,1057436
2581.04987,1141190
2689.09609,1115602
2705.08828,2336308
2719.06423,190110
2736.13792,325886
2753.16584,3284303
2759.11241,569848
2775.10373,1680807
2791.09531,1134385
2837.23345,479022
2853.22684,2527098
2869.22082,481658
2975.15397,412726
3008.21474,295375
3100.19223,336964
3116.18769,1592478
3132.17917,1965820
3211.29229,564252
3343.38627,254485
3387.33946,627603
3851.42747,183268
