m/z,I
695.98830,160073
719.98848,523243
723.35124,611145
795.11077,402025
911.98144,170805
951.47890,186997
959.97940,285686
1007.97677,471038
1031.97603,473041
1049.57728,208983
1055.97488,489503
1065.54168,244996
1079.97365,477571
1083.55169,186280
1095.53887,764867
1105.54804,2011568
1121.55313,283227
1127.97117,483006
1143.50184,193716
1151.97020,588863
1175.96846,595553
1179.60433,223943
1199.96766,586501
1208.64227,328931
1224.96940,372293
1240.64191,381828
1247.96505,545829
1267.64026,224047
1271.96371,569913
1296.96580,485954
1319.96100,565754
1343.96002,573515
1367.95818,629076
1391.95651,610736
1415.95541,239296
1416.95803,493974
1439.95364,548448
1459.64585,513549
1463.95208,601201
1487.95074,626405
1512.95224,435752
1535.94754,567541
1560.94869,587008
1562.77454,203752
1584.94695,619912
1586.69961,164731
1608.94503,607024
1619.88408,135491
1631.94081,700232
1648.76809,287195
1655.75319,314590
1655.93918,715368
1680.94039,672761
1704.93818,768190
1728.93643,793299
1752.93438,820280
1776.93271,1074548
1800.93107,1153494
1824.92973,1122063
1848.92725,1338043
1872.92473,1282890
1896.92189,1411609
1920.92125,1575803
1922.84976,981842
1944.91878,1448825
1961.89342,843580
1962.84086,870503
1968.91542,1615074
1975.90753,3275201
1992.91536,1615991
2016.91158,1640418
2019.88218,287050
2039.86085,840554
2040.90942,1883649
2055.99837,846576
2056.88448,9238563
2064.90723,1810699
2071.99394,543724
2072.88010,550405
2072.91598,466332
2088.90521,1912893
2104.90041,331571
2112.90321,1997386
2131.01360,2819592
2136.90004,2085887
2147.00466,277048
2160.89796,2023050
2184.89596,2236999
2188.02910,178108
2208.89225,2311669
2215.94804,1798262
2232.89221,2155407
2232.98620,800525
2246.97401,258145
2256.88700,1973440
2280.88594,1908623
2304.88426,2031738
2328.87886,1825634
2352.87897,1888234
2376.87613,1646171
2400.87093,1550486
2404.05393,644179
2420.04913,211707
2424.86970,1724653
2448.86964,1484736
2455.08765,201992
2472.86391,1294386
2496.86037,1248158
2513.05933,242344
2520.86013,1397606
2524.95588,304022
2544.85860,1277502
2568.85216,1276900
2592.84773,1017047
2616.84671,986791
2640.84799,1181866
2664.84289,1169179
2688.83691,1127847
2705.08754,1467006
2712.83313,959150
2736.83180,825339
2760.83362,997769
2780.17381,3101073
2784.82979,1080150
2791.09763,243400
2808.82416,1068902
2832.81836,892837
2853.22558,3035019
2856.81460,827394
2869.22039,472627
2880.81337,971611
2904.81400,971127
2928.81301,1050016
2952.80854,906967
2976.80262,870720
2987.18518,252996
3000.79652,823701
3017.15231,1153412
3024.79175,782038
3048.78968,799267
3072.78786,786706
3096.78710,844291
3116.18746,1503504
3120.78767,807595
3132.18129,1593399
3141.26864,204853
3144.78528,742421
3183.24285,3197768
3192.77378,690692
3199.23418,512288
3211.29259,259243
3216.76879,609198
3227.28337,1302491
3240.76209,576379
3256.17683,618385
3257.15033,361886
3264.75804,528588
3288.75489,450089
3296.30439,836582
3312.75115,459099
3336.74865,525169
3360.74753,477185
3383.34808,875773
3399.34093,1012502
3408.74666,499507
3432.74343,406128
3456.74062,358218
3480.73733,349492
3504.73032,374434
3528.72444,351819
3553.71914,358285
3576.71152,321035
3600.70472,281811
