m/z,I
712.36319,543197
851.42126,282248
951.45857,671868
973.47441,643173
980.50290,208735
1011.43383,849070
1027.42496,135126
1038.46178,1434587
1047.46143,445940
1049.41610,588942
1072.00732,438820
1074.47526,538137
1099.59603,157165
1107.55261,1108150
1109.49943,2139953
1113.49436,282823
1122.55132,312168
1125.49375,339712
1129.56786,149669
1136.56649,967382
1152.56058,352974
1157.59773,197553
1169.48691,101860
1198.51283,256939
1209.61536,471480
1237.52603,201827
1237.62037,120411
1240.55756,302473
1245.60935,2355777
1254.55160,2590363
1258.54650,475110
1263.65950,879041
1270.54589,452525
1286.53961,190874
1320.67771,210875
1371.69268,664910
1390.68596,250439
1399.72240,955778
1401.70223,262303
1415.61428,908517
1419.75154,727858
1429.73091,350239
1442.64058,176317
1449.69876,3953878
1478.64877,370247
1487.70086,448753
1504.72636,3180247
1557.67880,810062
1625.79106,1474255
1642.63545,209787
1645.76078,154779
1673.61850,280250
1685.73117,178817
1709.72978,779332
1730.71762,811408
1834.90268,1804140
1838.72389,204461
1847.75952,244106
1868.85116,797476
1884.84579,353013
1891.91861,224098
1934.73038,129687
1949.61244,137956
1958.64776,970390
1967.68333,1420541
1978.94790,357571
1986.67815,323884
1990.98975,231638
1995.71325,584462
2088.92448,171437
2101.88456,174194
2104.96408,2693404
2105.94848,1647402
2112.95417,737255
2126.86169,448695
2132.96406,1135905
2134.84909,593309
2141.99894,2180098
2143.88327,27348726
2145.87113,2858324
2151.76603,663903
2157.89865,24377100
2158.72434,920473
2158.88481,3925097
2163.01213,1009613
2165.86565,489815
2167.76114,656677
2181.83890,171456
2199.01480,247458
2200.89969,2123857
2201.88470,457624
2204.03634,394200
2207.81531,328620
2211.81018,209513
2214.91527,1917369
2223.81012,355585
2227.77337,185212
2240.04208,436298
2265.03215,1507686
2282.05861,15522527
2285.02257,1247821
2289.78266,1399459
2291.07415,1460695
2298.81825,4438178
2302.81172,849675
2305.77517,1597410
2307.85287,1024778
2308.94791,251694
2314.80949,2663168
2322.04748,532055
2328.82215,937470
2330.80027,533953
2339.07356,1350293
2344.81641,558116
2345.95956,500449
2349.09136,327520
2355.83258,417144
2361.95746,336074
2463.14939,840342
2520.06135,260927
2535.14562,217688
2567.13000,820100
2576.13944,1041639
2585.17189,222568
2639.08738,637823
2655.08145,2593296
2664.11510,772207
2671.05785,247371
2738.19425,555161
3149.38195,618756
3251.39185,287182
3277.38303,487160
3288.42245,191233
3294.40864,5005200
3305.44906,817453
3323.38944,382545
3351.42726,805721
3450.50135,396713
3483.61814,3080578
3540.62358,391866
