m/z,I
709.34099,1033363
713.31073,325139
807.38561,867297
948.42944,883653
985.42757,755821
1003.53072,577559
1005.44466,1098181
1007.46031,553755
1017.50930,243007
1023.48743,245770
1026.49856,598075
1029.57036,269162
1033.49284,806865
1052.48759,698877
1079.48640,254929
1079.53424,205726
1090.47426,155525
1107.51602,4820537
1114.48517,632396
1120.54719,573108
1142.45357,1250082
1162.56601,218067
1164.53426,317679
1165.55521,539409
1170.46986,833777
1170.49051,5546830
1180.56457,347689
1185.59165,459416
1186.57523,199198
1194.58001,154097
1195.54650,181876
1205.48637,2565312
1214.47077,1417494
1214.55107,2407338
1262.50408,164894
1264.65468,926070
1324.65790,97559
1338.62568,1807511
1340.65239,801242
1342.70367,232394
1345.57539,262556
1345.59473,1431998
1355.62999,338268
1358.66189,1826991
1360.69082,2612198
1373.61220,154113
1390.63844,2453929
1405.68812,390303
1410.67897,766805
1412.57161,339559
1444.58356,158422
1459.64524,367409
1462.74302,925732
1466.63282,587865
1486.60082,1042416
1509.66828,193987
1516.66321,129510
1537.69308,993847
1580.73028,468418
1584.64441,854465
1586.70034,215571
1609.80611,383680
1626.67656,1588882
1688.78920,244120
1708.69460,1980339
1709.74803,590852
1723.70189,4027543
1725.68228,1647308
1740.73480,1501101
1749.78395,171165
1765.67631,347094
1765.80501,407557
1782.69835,201766
1797.74630,252069
1814.72444,254656
1829.71348,2692026
1838.85665,234087
1846.73886,4177102
1853.73753,359808
1864.96005,539482
1916.72919,540763
1957.87335,525554
1961.89353,662020
1964.82433,2191632
1975.90637,585535
1978.90852,1219018
1992.92460,2374883
2000.91829,317143
2006.93691,3036863
2009.90243,151731
2014.79932,1285169
2018.90928,140759
2047.80159,4320198
2056.88482,798412
2063.95388,296969
2072.88129,1250328
2085.89141,1109071
2101.88272,6451929
2104.81807,206468
2104.93625,449004
2114.04086,842596
2115.02069,350814
2128.89270,328840
2135.00784,421173
2139.82649,622998
2157.89773,464296
2166.99302,352913
2171.84567,1729334
2185.85911,863211
2192.02344,219724
2209.86150,872917
2225.93382,1257501
2281.85117,1435540
2295.86693,946733
2308.94605,1823006
2347.97401,249041
2363.08376,852990
2397.94984,273250
2408.08793,158573
2415.03566,288601
2419.10814,947146
2423.82859,722647
2426.07866,607841
2431.03160,1596637
2450.10916,7261078
2459.01688,875842
2461.11946,5042740
2471.15472,184693
2475.00914,445167
2487.06546,2512568
2507.12171,487237
2527.90080,283753
2528.06905,272315
2540.22307,261663
2545.91389,8915752
2602.92459,423031
2661.09561,279329
2705.08843,515385
2742.08554,185336
2762.10978,184014
2778.24152,1870461
2779.22287,1329388
2793.85123,2610430
2868.21550,203691
2883.23215,217315
3080.35711,1813118
3100.19602,182055
3116.18906,432163
3187.29288,191251
3371.51794,213088
3414.57401,340638
3455.35381,279063
