m/z,I
701.34687,363147
836.42207,769516
840.45306,524483
868.41096,469137
868.44709,596215
898.49305,754392
918.42786,302657
1078.51371,243229
1081.56079,181759
1095.53899,3479862
1105.54797,9965646
1143.49257,175039
1152.55794,566826
1162.56653,1852091
1180.61281,1157075
1196.60692,1355319
1209.57578,228635
1219.58500,440870
1223.57961,570993
1240.64193,1403469
1253.62546,136756
1267.63992,1917363
1427.68305,2280637
1459.64604,3660641
1473.62472,877090
1516.66380,598260
1586.70081,2015360
1615.76210,1279692
1636.78140,260877
1648.76885,1986957
1655.73882,1844918
1655.75393,544176
1716.81151,191538
1719.77645,1932685
1776.79314,329721
1799.72700,385153
1832.78538,633271
1868.81264,169367
1875.81725,277585
1892.84193,2834704
1909.86637,240526
1932.88654,196281
1949.86001,318616
1958.88392,683045
1961.89414,846856
1962.84145,1840269
1975.90765,8638844
1991.90387,192671
2006.90999,265728
2014.86785,440741
2019.88199,543705
2032.92605,1097932
2038.97596,258898
2039.86109,1614376
2044.92353,1036432
2049.83162,136037
2055.99894,3879614
2056.88459,22782520
2065.86995,701152
2071.99496,2193434
2072.91749,2656207
2077.94236,177961
2088.90920,2499195
2093.93251,261454
2104.90183,523348
2113.90324,1609259
2114.01840,481224
2123.93409,253869
2129.00871,332580
2131.01407,8603218
2145.92284,306163
2146.83881,212898
2167.91928,511778
2188.02989,1979227
2199.95518,419435
2214.85996,849573
2215.94904,6255568
2232.98707,2635368
2245.04460,577544
2246.97436,738432
2254.95554,513577
2264.93800,271471
2272.96493,544150
2290.00254,398928
2321.95346,239923
2363.95781,184651
2420.04937,1557907
2434.06618,306512
2436.04478,176119
2448.04259,188773
2485.09224,3835786
2497.06632,401199
2501.08613,1408273
2513.06125,336529
2558.10435,207356
2566.05952,1764626
2581.07047,630048
2594.01931,595161
2609.08086,699780
2653.05195,288993
2689.09753,2194706
2705.08840,8347704
2719.06688,829076
2761.11035,832310
2767.14661,12951199
2775.10898,423697
2824.15586,1422370
2867.24214,713069
2883.23621,10660750
2889.16306,279878
2899.23180,1171980
2911.23052,270439
2926.24533,435917
2940.25625,2135569
2956.24820,214061
2960.25772,299541
2967.19910,360110
2987.10667,429604
2997.26415,736368
3001.16261,904747
3005.13256,292504
3017.15452,5083599
3033.28119,249234
3036.19879,521451
3074.17173,696729
3084.20035,977646
3100.19462,3554522
3116.19029,3470146
3151.28907,407114
3157.20706,550079
3167.25584,2159182
3183.24640,5776846
3199.23559,518179
3211.29565,647531
3227.28575,2347912
3240.19039,524845
3240.25212,682305
3284.29657,319388
3296.30246,949895
3301.38019,249232
3397.36350,931036
3412.35889,597267
