m/z,I
701.34665,237288
735.33043,188109
836.42222,549655
840.45330,174638
852.41703,345571
868.44738,337894
893.44169,295018
898.49300,760764
1038.46155,223471
1095.53923,1501196
1105.54821,3134388
1109.49901,206714
1152.55789,440029
1162.56696,1297502
1209.57601,258211
1219.58532,475630
1240.64153,235152
1267.64007,352222
1443.65203,939407
1449.69849,228120
1453.69717,871154
1465.64470,1016294
1500.66932,254402
1504.72493,180479
1510.71421,226406
1522.66171,296260
1532.73114,316521
1552.68126,282135
1562.77488,149178
1565.61079,184738
1585.71637,382769
1586.70032,199337
1655.73846,188769
1749.78499,221349
1795.83878,238719
1848.77970,743322
1864.77235,691752
1894.82099,433926
1930.85397,360563
1947.88045,5101799
1963.87226,248754
1990.88285,662826
2004.89533,1088084
2014.86819,333376
2039.86147,893577
2055.99884,782977
2056.88506,8952030
2071.99512,2487427
2072.88061,462218
2113.01684,174796
2113.90296,1932386
2114.88824,535889
2129.03588,2811151
2143.88283,778462
2157.89887,717096
2186.05178,1446501
2215.94934,1113170
2231.94144,291922
2243.06716,596339
2272.96371,289379
2282.05792,1071751
2285.02280,258045
2286.94283,272588
2291.07191,328755
2298.81692,302735
2420.04953,411050
2454.09621,974568
2497.06324,214725
2513.06066,420334
2567.12769,401582
2585.92306,311904
2601.91761,367522
2655.08007,312584
2678.07257,527434
2695.06834,3025116
2719.06663,402587
2743.14665,2735957
2752.08705,656064
2791.09802,693741
2800.16048,1046718
2807.09152,655865
2856.16654,253320
2883.23481,1173586
2899.23124,1440353
2940.25502,658794
2956.24711,925927
2997.25828,244597
3003.17801,1341033
3013.25126,420119
3052.18712,334798
3075.22279,294013
3100.19390,620800
3116.18926,2630509
3132.18411,2982009
3148.17569,286263
3151.28775,311886
3167.28081,640271
3173.20249,884281
3182.26642,291179
3189.19368,853674
3197.25864,934809
3213.25062,231152
3245.19970,287006
3294.40761,1059722
3417.35436,1598099
3474.36893,445668
3483.61807,330997
