m/z,I
701.34695,493008
758.36661,394799
836.42216,526639
840.45319,360384
852.41653,678748
868.44731,527083
898.49306,819065
950.46030,210673
1095.53919,1964616
1105.54825,4510748
1111.53326,258237
1124.55312,256073
1132.45856,238281
1133.48405,131272
1143.49296,689177
1152.55795,184844
1162.56663,2054999
1209.57593,197535
1219.58524,776029
1223.57937,297951
1228.59520,259894
1240.64165,655104
1267.64008,1339461
1324.65811,273698
1381.67629,257487
1394.69582,235161
1429.63668,331790
1459.64600,2364279
1465.64444,2206090
1516.66445,417449
1552.68205,185512
1562.72724,204215
1562.77484,553679
1566.69668,391156
1572.72117,268520
1576.75267,138849
1585.71664,753330
1586.70038,842362
1594.68948,180561
1636.78084,198679
1655.73855,1063459
1795.83850,381582
1812.81424,198003
1815.71929,264512
1832.78592,388896
1848.78085,800503
1850.76086,321318
1864.77308,529794
1878.78784,212362
1886.72374,180214
1930.85412,199022
1947.88053,2537185
1975.90803,3627489
1985.82453,408641
1992.85069,339595
2004.89607,1122836
2019.88271,426525
2032.85191,186655
2056.88560,7807671
2071.99506,481261
2072.88138,388043
2072.92650,241314
2088.91088,296747
2094.82913,1539918
2104.90209,806274
2113.90315,603514
2119.95670,691612
2120.89761,434680
2132.99345,535857
2135.95014,1358111
2143.04802,276296
2147.00635,2783514
2162.94119,181024
2173.89531,238926
2184.95031,399654
2214.86039,347104
2215.94909,1502458
2230.85578,640149
2257.07973,142799
2270.94712,223291
2420.05006,378876
2429.07538,352127
2436.04489,159021
2497.06359,211410
2513.06176,313779
2569.93105,261334
2689.09906,659717
2695.07000,599678
2702.07341,447428
2705.08967,1815812
2719.06707,537064
2725.17366,368398
2743.14692,1072688
2753.16922,1438066
2853.22807,1458504
2857.17298,224343
2869.22174,514193
2879.24141,265940
2883.23606,604833
2975.15719,518254
3003.17982,359619
3099.19238,370986
3116.19227,1769596
3132.18730,1308312
3154.13631,454426
3167.28056,195512
3173.20170,231644
3183.24942,571173
3211.29694,446587
