m/z,I
701.34676,244203
758.36657,206544
785.37666,231985
836.42219,536875
840.45314,409210
852.41656,666091
854.39547,279288
868.44722,590344
918.42797,346194
994.48504,245453
1031.97627,206635
1052.52406,431361
1095.53904,1436432
1099.52294,203570
1105.54812,7611601
1115.51700,670941
1151.97020,194888
1162.56655,1299716
1176.97179,223314
1199.96779,325904
1206.56586,259408
1208.64278,1030780
1223.57981,305244
1240.64220,881463
1248.96825,282094
1267.63993,1924318
1272.96734,196283
1309.62332,273407
1332.61531,184684
1343.95929,270884
1415.95526,256726
1427.68317,821131
1435.63673,1738347
1439.95345,264236
1459.64628,3029850
1473.62415,608714
1497.59066,150802
1562.77516,760881
1580.71236,563202
1586.70106,1136253
1615.76175,206694
1632.94381,315902
1648.76904,906960
1655.73906,904483
1656.94193,230045
1704.93805,279614
1727.93327,332417
1752.93485,342317
1769.82503,181225
1776.93324,313962
1800.93115,401411
1812.81508,278719
1822.75872,339738
1824.92939,308655
1832.78626,447054
1848.92755,393852
1850.76013,769879
1872.92544,392555
1884.80923,185897
1896.92236,467550
1909.86695,303769
1920.92105,452300
1922.85080,1040427
1944.91976,375539
1968.91635,514494
1990.91577,748634
2013.85021,593959
2019.88323,678599
2039.86125,562313
2040.91068,479340
2043.92092,708526
2055.99895,902176
2056.88546,9175942
2064.90796,528915
2071.99542,679300
2072.91747,1997129
2088.90955,3676616
2094.82867,1406964
2104.90236,1297533
2111.87597,569353
2112.90331,664847
2126.85441,371115
2131.01450,4633136
2136.90141,564306
2148.92368,622484
2148.98551,696019
2152.91841,271806
2158.89283,186511
2160.89927,770714
2184.89693,713780
2188.02960,366901
2191.95144,204070
2198.86562,285799
2208.89449,652402
2214.85967,747803
2215.94929,3911358
2231.94316,332740
2232.89331,726031
2232.98687,1236172
2246.97415,356220
2256.88787,663368
2267.88037,204549
2280.88699,750162
2304.88573,663584
2321.95506,296895
2328.88024,623490
2334.96919,360581
2352.88184,566614
2376.87756,654367
2400.87323,485796
2404.05559,799670
2420.04995,273933
2424.87154,515077
2448.87118,461205
2472.86588,384875
2487.07355,946050
2496.86203,406751
2513.06168,445247
2520.86250,341557
2544.86124,329625
2568.85469,308043
2585.99858,211813
2592.85002,390576
2616.84990,263677
2640.84880,327365
2663.84167,221416
2667.06339,291829
2683.05667,331279
2705.08930,1660309
2712.83499,313051
2736.83291,292527
2742.03093,188985
2780.16965,1603758
2808.82527,234253
2818.09630,262411
2832.82172,279467
2853.22749,2323637
2869.22107,355509
2880.81504,273345
2891.17324,421034
2989.13885,335260
3017.15559,1273489
3023.13595,247313
3055.09751,244975
3084.19749,397428
3100.19621,1238202
3116.19104,1306930
3154.13604,368830
3183.24732,1595514
3227.28692,1167155
3296.30523,223153
3383.34912,248449
