m/z,I
701.34700,529125
758.36677,304722
785.37669,321305
836.42229,665856
840.45321,522253
842.39633,182965
868.41092,231101
918.42790,257812
1095.53921,2556693
1105.54816,7985174
1115.51663,519833
1133.48418,400073
1143.49326,1539226
1152.55796,386607
1162.56667,1565100
1172.53575,241537
1180.61316,689012
1182.59173,379639
1196.60691,703438
1198.58563,519794
1200.51214,178334
1209.57662,152532
1219.58550,554352
1237.59478,358577
1239.61024,1025496
1240.64198,1536280
1267.64011,1168590
1275.60846,518397
1276.59197,416234
1370.55917,271076
1427.68312,1332219
1435.63646,1225662
1459.64665,3256096
1465.62705,207372
1465.64463,980050
1484.70101,173949
1497.59183,196827
1501.65356,184062
1516.66397,530920
1522.66174,244386
1550.70308,408877
1562.72703,178190
1562.77555,813357
1572.62322,196258
1573.68076,250762
1585.71609,1191424
1586.70070,1247663
1615.76102,232500
1624.64371,296039
1636.78197,174794
1643.71729,175899
1648.76950,494008
1655.73901,1512814
1671.74697,455204
1693.68267,246662
1719.77699,934303
1749.78405,539786
1757.71933,238533
1800.81589,269905
1812.81415,170225
1867.77324,198316
1878.78883,680731
1892.84262,819572
1922.85118,1091743
1945.90124,2262300
1949.85854,194842
1958.88462,379020
1961.89403,678588
1962.84140,1010636
1975.90840,5706679
1983.84484,648731
1991.90274,243415
1997.93876,443614
2000.78483,259526
2002.91660,793498
2007.77343,224320
2019.88344,609632
2021.78856,223248
2027.97282,757933
2029.92607,695280
2032.92641,413441
2039.85993,767742
2043.96493,534535
2055.99936,357351
2056.88552,13339327
2071.99491,693058
2072.91812,551882
2081.86537,480574
2088.75135,538228
2088.90988,1019461
2094.82888,3697232
2104.90251,996175
2113.90341,1593835
2119.80832,249977
2126.85406,245450
2131.01449,4460420
2145.02733,2428654
2168.95859,1109762
2182.97237,605363
2187.92146,1466600
2188.03091,735805
2198.86579,462118
2202.04318,600313
2214.86023,724498
2215.94951,688818
2224.86137,208305
2232.98748,1050961
2259.05816,275846
2270.93148,208753
2398.89649,260219
2404.05517,2004115
2420.04807,373436
2442.00005,326223
2455.09297,735284
2485.09582,880080
2501.08681,613307
2513.06145,395840
2530.03412,210343
2549.06929,264411
2586.00153,390563
2594.02011,591219
2610.01360,240415
2689.09747,864676
2705.08961,2898071
2713.02396,292749
2727.13955,247779
2743.03671,579504
2766.15457,1694931
2883.23656,4012649
2899.23306,777312
2921.18455,1121111
2937.17902,242657
2940.25625,780720
3017.15559,1022610
3036.19582,227129
3052.19220,478488
3084.20085,540885
3100.19469,1899209
3116.19101,1443893
3122.14907,210589
3138.14205,704785
3154.13506,534974
3167.25663,1042753
3173.20381,169902
3176.07629,237328
3183.24760,2276559
3192.07073,195943
3199.23802,246276
3205.19273,403951
3221.18459,765711
3227.28657,590765
3241.29892,526330
3259.11991,275787
3296.30591,446518
3397.36289,350862
3413.36004,363630
