m/z,I
700.32652,190095
712.36333,287960
719.40914,857087
735.33079,232031
807.38578,676370
823.37973,157008
836.42225,418093
852.41682,621353
868.44724,438415
870.52430,490561
898.49298,518543
925.46618,143517
933.40842,167709
979.50004,637463
988.51005,179583
1011.43394,685800
1012.43347,219226
1038.46173,2243464
1045.53990,725937
1074.47464,148866
1095.53912,720443
1102.43913,185862
1105.54835,2534043
1109.49946,975500
1132.45856,457321
1136.56632,247091
1141.48760,213406
1157.59814,354798
1162.56662,762438
1169.48847,378582
1181.55979,196453
1198.51432,136181
1219.58546,179160
1245.60942,1141276
1254.55229,114492
1267.64022,842003
1293.60741,145899
1320.67697,219456
1327.58566,204351
1390.68578,429387
1415.61462,2166047
1423.63981,259497
1429.73057,153279
1449.69891,741445
1453.55895,216003
1459.64598,508134
1478.64926,1026938
1487.70038,301005
1500.67052,261082
1504.72620,1483407
1517.52809,165853
1532.73051,173022
1548.72414,134470
1557.67982,918982
1561.74330,157693
1565.61136,259255
1579.68004,173909
1588.58541,161218
1592.71054,182496
1608.70353,400737
1625.79097,697526
1664.58143,490055
1676.69774,353215
1680.69601,185546
1702.52626,243081
1709.73049,985947
1721.68244,130726
1730.71743,644926
1751.76381,162100
1752.74781,130668
1783.73303,264611
1791.65711,199362
1817.83052,236808
1832.78627,192101
1834.90270,260290
1840.84427,373639
1848.78071,878462
1861.67568,153281
1864.77335,834929
1867.64541,198618
1947.88094,1265720
1958.64856,1403252
1967.68419,294217
1977.64105,266481
1987.55717,1415532
1996.59238,348306
2015.58389,409098
2052.77040,339095
2056.88609,2150647
2071.99484,287281
2094.82870,170387
2104.90306,374824
2112.95472,514041
2113.90377,321801
2120.89880,461886
2129.03601,1435987
2131.01565,673013
2132.96487,1247757
2142.73057,632960
2143.88463,4178027
2157.89950,3063578
2158.72417,337962
2158.88594,536068
2170.90939,601830
2181.82900,310770
2186.05199,626383
2203.62370,265064
2244.86775,668548
2260.86021,792245
2282.05984,1998173
2285.02439,484056
2289.78349,860145
2298.81911,402355
2307.06620,990582
2308.92951,390253
2321.76670,399094
2383.82807,199955
2472.08503,207057
2481.08750,222437
2567.13181,1598328
2585.92557,369533
2601.91756,412666
2605.07144,462324
2639.09108,324811
2646.04617,700195
2655.08229,1441582
2683.98519,402309
2695.07115,1014163
2720.12124,239294
2729.15622,227680
2743.14825,429191
2752.08959,229893
2853.22759,285470
2883.23806,249633
2898.22939,240563
3116.19228,706910
3132.18715,773612
3173.20162,212032
