m/z,I
700.32651,213680
700.36301,343344
701.34699,487501
840.45332,418971
842.39636,460400
854.43206,164665
950.46048,224871
955.51197,135404
966.45501,157213
1095.53917,2303244
1105.54816,6896753
1123.53264,203544
1127.52919,194454
1133.48353,264386
1143.49316,1250919
1152.55786,451118
1162.56669,1678382
1198.58616,1102925
1209.57629,343832
1219.58551,782803
1233.53120,198620
1239.61024,2325442
1240.64208,913365
1255.60455,206833
1427.68333,1127178
1453.56700,194733
1459.64639,3054792
1465.64483,2387377
1501.65379,530561
1503.58937,292950
1516.66393,607939
1522.66231,454676
1550.70344,780349
1562.77538,977078
1573.68045,418555
1579.68006,249436
1585.71661,1242513
1586.70111,1185557
1604.78186,343205
1615.76193,308515
1624.64474,190359
1636.78177,230802
1642.73322,369571
1643.71693,240503
1655.73888,1756886
1712.75518,414559
1749.78466,1306520
1769.77344,295236
1769.82485,185739
1784.82217,414842
1787.72808,240207
1791.65697,216007
1800.81597,934473
1806.80055,472862
1829.77947,219341
1840.84395,511334
1848.78162,304954
1878.78898,1529259
1892.84245,2220262
1928.87521,509981
1935.80406,383152
1945.90108,6312355
1949.85960,389098
1961.89378,328037
1976.85609,1176792
1983.84503,1395597
1990.91764,176624
2002.91683,1632894
2006.87503,250054
2019.88361,715649
2021.78807,473736
2033.87347,211123
2039.85999,820741
2055.99969,1320986
2056.88535,13279622
2063.92736,176607
2065.87122,577521
2071.99532,1810518
2078.86645,636049
2079.92308,256680
2088.90975,1755476
2094.82858,2849964
2104.90280,1998221
2109.93669,406939
2113.90323,2287426
2126.85177,265172
2145.02722,5721128
2161.91867,295174
2167.00965,325385
2171.92944,408513
2173.02272,560904
2182.97186,1133967
2187.92123,2836045
2198.86518,721282
2202.04313,1519144
2214.85958,816385
2239.98727,263351
2244.93709,598141
2252.80154,221555
2404.05484,1164582
2461.07401,259041
2470.09029,389834
2493.02639,356311
2585.99964,241478
2689.09788,997384
2705.08998,1993473
2711.14578,375437
2713.02377,511189
2719.06777,238570
2727.03606,245850
2727.14023,533323
2740.14370,2161965
2743.03525,430379
2746.11433,244880
2883.23702,3349880
2898.22705,295449
2905.22271,268087
2921.18491,892765
2940.25798,742385
2975.15590,2154370
2997.26316,544320
3013.09206,587262
3036.19797,232547
3052.19249,434627
3084.20075,575174
3089.18398,271709
3100.19574,1275569
3116.19094,794533
3167.25735,981732
3183.24754,2072294
3199.23433,207038
3224.26136,201268
3241.29889,997147
