m/z,I
826.40178,254823
852.45280,397231
894.46175,360034
952.46504,493842
994.48481,484260
1028.47069,368554
1052.52404,823234
1095.53889,850289
1099.52248,197536
1105.54794,2539268
1196.60711,338328
1219.58529,352429
1240.64162,801990
1268.62365,261981
1297.65978,164189
1309.62329,731289
1427.68300,464196
1459.64557,1235076
1466.65038,439803
1516.66312,202450
1518.72648,173398
1534.71961,1917860
1538.67439,297255
1562.77440,213029
1579.72720,412866
1584.71957,1033843
1588.73363,188941
1600.67862,606950
1604.72764,403715
1626.72406,460408
1636.78047,186088
1648.76840,462105
1655.73830,643240
1655.75294,333511
1719.77587,539373
1730.77961,245346
1868.81354,464791
1884.80884,648566
1909.86686,1197690
1958.88342,299659
1961.89357,2283674
1962.83941,579880
1975.90728,3614590
1990.91874,2116125
1996.91842,352077
1999.83651,259389
2028.86132,231254
2032.92463,709378
2039.85984,327661
2044.92266,2421528
2055.99837,552387
2056.88457,4715702
2071.99381,288143
2072.91553,245902
2082.86598,424659
2094.82668,617183
2095.88033,281364
2113.90197,620658
2116.93976,204987
2120.93275,522698
2131.01383,1348410
2132.93089,850507
2136.92539,758924
2148.92303,1258783
2152.91673,735412
2155.05879,251525
2167.91780,1646334
2188.02908,406886
2191.95057,876631
2202.80332,326720
2208.88377,505457
2215.94656,448465
2232.98670,545673
2246.97231,527726
2334.96808,1191121
2379.00985,546184
2395.00059,487972
2420.04916,684703
2462.03413,395302
2531.07248,468503
2544.04570,249270
2619.06239,252933
2667.06213,1937193
2683.05444,1205339
2689.09433,375356
2695.08078,997248
2704.99954,201104
2705.08736,1227035
2711.18045,238753
2725.02013,267205
2733.20070,175345
2749.13879,186731
2767.14513,1678240
2805.08238,379154
2867.31355,702677
2883.23408,1720868
2883.31013,567000
2899.23174,573305
2940.25678,418914
2944.26885,476052
2956.24839,214436
2973.14632,500660
2976.24840,508838
2989.13664,1428230
3006.13796,1101625
3011.23061,474750
3017.15294,588200
3023.13300,638759
3085.20114,305362
3100.19296,704011
3113.27420,452463
3142.22606,363688
3167.25549,369557
3183.24343,1077742
3227.28505,437300
3253.19838,338966
3296.30510,582474
3357.29233,532730
3397.36117,359280
3413.35703,576987
3474.19622,307993
3497.41150,563311
