m/z,I
701.34702,286641
702.40387,366908
836.42237,622072
852.41661,495400
898.49304,496785
1095.53906,1609620
1105.54818,6347796
1115.51696,188905
1143.49289,259232
1152.55810,267016
1162.56670,1387075
1210.62193,251185
1219.54940,233815
1219.58553,337534
1223.57979,270113
1226.61600,1249046
1240.64188,1102329
1267.64013,1342521
1297.65966,186589
1324.65860,336835
1437.66719,226775
1453.69618,198404
1459.64645,2466391
1465.64485,2009073
1516.66419,456877
1562.77563,391298
1566.69737,730253
1586.70065,1031607
1615.76155,257916
1623.71318,137287
1636.78208,140712
1643.71622,121266
1655.73905,744784
1749.78449,860421
1806.80123,155724
1851.76272,345330
1908.83606,614264
1975.90804,150047
1992.85088,1271151
2002.91697,2855633
2039.86156,650030
2056.88545,7030512
2072.88066,314654
2081.86605,243535
2088.90912,368939
2094.82881,440390
2104.90253,1087222
2113.90360,464628
2119.95664,787502
2131.01446,4963317
2135.95010,258950
2147.00476,314220
2188.03020,1096536
2215.94953,1552915
2245.04499,245920
2254.95528,305484
2273.03869,168803
2276.98251,409385
2284.98899,232059
2339.98587,418592
2420.04876,838066
2471.08239,839381
2487.07100,937505
2566.05977,606520
2579.14619,176955
2689.09680,557342
2705.08918,2161874
2719.06927,278233
2737.13597,513760
2801.12829,2761248
2817.11890,1247435
2849.19736,973001
2853.22642,3297122
2858.13893,292650
2869.22172,534898
2910.24875,609537
2967.26110,290605
2975.15536,2329424
3032.16332,343269
3052.19246,416532
3116.19037,2386036
3132.18512,1171571
3151.29024,208308
3167.25676,718510
3173.19935,500226
3183.24454,2720412
3242.29381,282946
3257.15359,296535
3296.30532,550664
3367.32007,281414
3371.34929,732002
3387.34452,684934
