m/z,I
836.42210,401309
840.45317,264558
986.45119,384633
1078.51378,221113
1081.56039,202569
1095.53916,2329634
1105.54800,3094080
1127.52903,204335
1163.56194,290706
1210.62175,137600
1223.57947,628460
1223.61607,207155
1226.61584,430238
1240.64192,1560620
1267.64000,531591
1453.69686,1339666
1459.64556,904067
1465.64455,408304
1561.74385,193699
1562.77521,322636
1566.69655,208022
1585.71619,800932
1604.75747,164722
1615.76128,344011
1636.78161,348832
1655.75388,1205912
1717.76380,226141
1749.78427,1670154
1795.83842,526242
1888.88414,144467
1903.89234,143572
1975.82513,189389
1986.87692,535655
1992.85034,1708084
2002.91603,6532707
2003.90038,5255669
2012.86233,245445
2014.86763,557339
2018.91000,3091656
2039.86119,1919646
2056.88477,16211262
2072.92627,260430
2078.86511,411532
2103.96097,245461
2104.90221,357370
2113.90313,445900
2119.95762,1099516
2131.01413,6017241
2135.94940,914311
2146.83934,495273
2147.00686,275943
2152.99157,241948
2188.02966,695420
2215.94877,1832350
2255.95891,347216
2273.03626,549779
2276.98211,665430
2284.98684,544203
2322.96157,291101
2339.98530,758276
2411.01357,395777
2420.04862,1819237
2436.04378,205401
2470.09318,1533731
2486.08409,2219060
2497.06748,235714
2508.96148,269039
2524.95483,517926
2583.17639,312258
2611.02292,405641
2689.09746,668231
2698.06771,326188
2705.08883,3119834
2719.06921,456789
2737.13622,967832
2775.10570,1228730
2785.13640,587178
2791.09730,718607
2801.12593,5760247
2817.11728,6126857
2833.10535,463214
2853.22663,11007276
2869.22053,1477018
2910.24651,1124775
2926.23933,279323
2975.15366,1978919
2999.30232,276205
3052.19261,278548
3116.18908,2148176
3132.18357,3034363
3135.29418,267338
3148.17712,284816
3151.28990,737188
3167.25441,3418905
3172.19727,259094
3189.19415,270851
3201.27613,530175
3224.26276,334438
3256.17780,686357
3257.15194,322370
3296.30375,3163028
3343.38710,517138
3371.34651,4233032
3387.34289,2837578
3444.36265,377224
3549.36949,190906
3646.39041,340824
3694.39913,704815
3835.43490,404028
3851.42524,497943
3963.66920,235634
4301.62937,604911
4317.61552,295166
