m/z,I
715.39917,184506
735.33052,163318
758.36658,199257
836.42224,670907
852.41692,376867
868.44723,592279
898.49302,435058
1081.56034,150174
1095.53903,1998776
1105.54815,5891002
1111.53258,157833
1115.51685,218601
1143.49261,361738
1162.56672,1983760
1196.60700,894343
1219.58508,551673
1240.64187,1650763
1267.64002,1217635
1427.68311,699555
1435.63668,1089323
1443.65146,165731
1465.64540,150286
1516.66382,821499
1562.77411,274408
1573.68022,296093
1586.70057,869343
1642.73347,150751
1655.73903,592439
1716.81275,241366
1719.77625,967778
1769.82484,188835
1806.67032,239985
1832.78536,199839
1864.77215,203412
1892.84233,1187043
1948.85596,266411
1958.88389,489852
1975.90828,6835989
1991.90278,247962
2032.92683,1496741
2039.86159,591621
2055.99934,1032120
2056.88544,7195989
2065.87018,201889
2071.99565,1199157
2072.88164,260192
2072.91776,279371
2081.86506,369805
2093.93343,328131
2094.82863,640236
2115.02152,841190
2131.01492,2950711
2143.04824,184394
2168.95859,252879
2172.03954,200061
2188.03006,1157629
2215.94909,1272131
2230.94663,197464
2232.98696,1207307
2245.04610,305153
2246.97477,1174173
2254.95330,319355
2290.00351,379703
2303.99105,554265
2321.95417,309505
2420.05050,798533
2477.06223,240319
2485.09272,1182267
2501.08570,855540
2513.06100,200021
2523.04119,236530
2558.10652,163015
2566.05858,483680
2582.05029,1527195
2595.99835,360353
2689.09486,298755
2705.08932,1571914
2719.06924,306782
2743.14736,256324
2749.13421,362727
2767.14656,3912594
2774.10382,408557
2783.13861,208679
2805.08455,595938
2867.24076,310792
2883.23479,2688960
2899.23133,895634
2921.18325,220827
2940.25487,1099091
2956.24528,288931
2997.26252,535144
3001.16466,399659
3017.15555,1147345
3100.19498,668194
3116.19047,2029560
3132.18494,1250985
3151.28820,227644
3173.20365,334736
3183.24796,1744368
3189.19832,296864
3199.23693,224244
3227.28710,622891
3243.28040,300636
3257.15591,927726
3296.30714,566781
3301.38182,448778
3412.35630,1016849
3470.37511,333851
