m/z,I
826.40223,192369
852.45291,641478
868.44742,320930
886.45696,434024
894.46193,894559
898.49305,421867
912.50793,342751
1038.50917,1085115
1044.46538,738636
1052.52444,876881
1095.53908,1440426
1099.52283,420382
1105.54830,2818892
1111.48548,574929
1115.51688,380657
1131.51103,250220
1143.49312,302045
1153.54203,227038
1162.56663,1131100
1166.48881,325856
1167.55646,208967
1180.61264,407524
1196.60685,299894
1225.57018,191821
1238.51311,118272
1240.64174,614123
1256.56737,355163
1267.63985,719954
1268.62369,454663
1309.62368,1597408
1342.55848,181638
1354.63088,281544
1366.64181,155527
1393.62711,341442
1427.68266,309839
1438.62107,279604
1443.65196,1494472
1445.63107,1264299
1459.64602,1691032
1466.65092,621838
1482.65596,198355
1534.72064,2270719
1572.68562,1060118
1579.72739,212645
1584.72121,1440313
1600.67918,679786
1604.72856,312885
1620.72283,431485
1648.76813,236724
1651.72176,184332
1655.73879,413582
1719.77505,573685
1746.77422,484581
1767.83828,193830
1811.73179,350887
1816.79261,191913
1820.81439,136181
1832.78595,304041
1850.76062,327590
1868.81432,1219587
1884.80968,1065012
1909.86798,1528464
1925.88585,302236
1937.89588,1337974
1944.86912,284522
1961.89436,5776905
1962.83969,550218
1975.90808,2380353
1990.91909,2446356
1999.83768,715138
2006.91078,2240034
2013.85117,235530
2044.92359,5923941
2056.88547,4581493
2072.91778,290022
2082.86642,892952
2088.90939,351560
2094.88077,671856
2104.90101,341992
2110.87360,2735666
2120.93274,394695
2123.93347,1014140
2131.01448,1878931
2132.93213,502198
2136.92489,582731
2139.92493,1310081
2141.88294,1043653
2148.92385,930287
2149.81757,420440
2155.05831,415722
2167.91897,4009119
2188.02973,369162
2191.95148,964186
2208.88469,314604
2215.94961,1101171
2224.87948,907410
2252.88761,202899
2272.93951,140782
2321.95339,238677
2331.00964,212781
2334.96884,2380583
2372.91421,414548
2395.00239,1322558
2413.93154,465281
2425.93388,362933
2432.94759,154118
2446.04823,430142
2452.02302,157197
2481.06178,444602
2487.06902,417137
2513.06423,296135
2516.05193,742533
2531.07278,727374
2594.01910,236718
2637.05934,237841
2653.05179,1934834
2667.06459,1033022
2677.10108,319607
2683.05460,594389
2689.09627,469088
2695.08312,1183344
2705.08886,1450306
2710.06165,272142
2719.06772,361705
2725.08907,306628
2753.16629,328853
2767.14749,953097
2853.22610,786218
2867.31435,951467
2879.20693,631028
2883.23790,320788
2928.15999,271598
2944.27198,396265
2960.26078,1065525
2965.14358,425218
2974.14804,549293
2976.25249,632044
2977.29064,756115
2981.13583,529126
2989.13782,1161457
3005.13021,1291359
3011.23424,389694
3017.15362,801411
3043.07332,243345
3097.27987,166428
3100.19505,851974
3113.27688,354962
3116.19125,1138584
3132.18653,468634
3139.14271,227622
3142.22820,328993
3146.22018,200114
3183.24751,698922
3200.23253,232770
3227.28199,196489
3341.29940,431683
3357.29631,469802
3474.20005,304059
3592.31956,319139
