m/z,I
701.34702,383356
735.33052,184934
836.42238,226669
840.45315,263838
868.41049,213218
868.44718,395566
898.49314,250516
925.46642,155326
960.43654,217318
1105.54811,3436683
1115.51676,218141
1133.48408,150315
1143.49301,543844
1152.55769,463467
1162.56627,1803316
1200.51178,297337
1219.58573,609417
1223.57950,128045
1240.64171,514403
1267.63986,1191306
1297.65940,132126
1381.67602,244218
1435.63524,165384
1453.56665,129515
1459.64604,2214602
1503.58911,151697
1516.66383,1031484
1522.66210,459895
1549.61711,202522
1573.67991,334415
1580.71196,629189
1586.70053,1012672
1619.79262,203277
1624.64424,267560
1625.79030,119966
1637.72917,214702
1643.71743,339806
1655.75374,274595
1693.68236,123285
1700.73573,108167
1712.75522,287594
1749.78417,635099
1769.77111,189442
1787.72719,132396
1812.81351,114754
1832.78527,147635
1850.76007,594959
1907.77562,239220
1944.86891,203937
1961.89400,4403881
1964.79102,123108
1992.85037,776224
2018.91056,920986
2030.79369,126850
2039.86157,231887
2049.86413,237912
2055.99877,196926
2056.88494,3984800
2057.87057,1049161
2071.99496,520796
2094.82865,1082864
2095.81243,243236
2109.93633,205565
2113.90313,853011
2115.02126,2192081
2122.88715,131640
2129.00954,211469
2135.00860,311279
2152.96167,525216
2172.03816,1404886
2209.97990,306668
2215.94963,589026
2229.05429,504017
2266.99285,109074
2276.98239,212416
2420.05011,491922
2455.09088,369856
2471.07933,343800
2497.06552,156464
2513.05810,199388
2536.05425,271437
2605.07187,126655
2643.01787,205432
2689.09675,278949
2705.08827,1145505
2710.12473,137737
2720.06957,167951
2727.15175,2452753
2743.03871,257466
2761.10447,388539
2765.09890,785624
2784.16988,1163648
2822.10360,275513
2869.22131,1182657
2885.21886,279667
2907.16589,392213
2926.24129,718070
2959.16474,1080890
2983.24975,497696
2997.10060,339461
3016.16959,458269
3052.18833,227894
3100.19423,353407
3116.18933,1049355
3173.20239,390166
3183.24678,1013010
3199.23736,154797
3213.31253,407300
3221.18502,340365
3239.18549,225363
3240.24934,400525
3397.36477,333132
3413.35834,344715
