m/z,I
836.42220,883443
852.41677,738242
898.49297,509834
1078.51334,225885
1095.53896,3210114
1105.54799,7125383
1107.51618,357555
1143.49306,303757
1152.55814,303751
1162.56655,1170572
1170.49054,196538
1237.59440,281587
1240.64170,1411478
1267.64013,935797
1277.63127,219814
1328.64196,833519
1453.69700,623440
1459.64548,362082
1465.64468,2833280
1501.65398,1956031
1583.90811,250989
1585.71615,1123558
1586.70053,1493017
1595.90710,437409
1607.62479,155752
1615.68855,164648
1653.89330,817987
1655.73867,1595095
1723.70201,312438
1749.78422,1274413
1795.83824,848081
1832.78550,456517
1840.84314,332653
1848.77967,557068
1851.76152,188704
1930.85329,611874
1935.86818,328217
1947.88019,11438164
1975.90771,407007
1985.82485,707945
1992.84989,888937
2004.89547,966055
2014.87581,406337
2039.86119,1163329
2047.80087,328183
2056.88504,15302670
2071.99486,1075890
2072.88039,215164
2081.86372,802484
2094.82810,1174442
2104.90277,369055
2113.90301,1224375
2120.89649,229915
2129.03584,2785602
2131.01520,503706
2143.04883,182069
2164.81753,441743
2166.97826,202207
2186.05207,360852
2198.86404,501429
2214.85962,774515
2215.94871,739586
2231.94371,216704
2243.06776,241455
2246.02314,322411
2252.00561,284140
2276.98110,293378
2285.92802,493111
2404.05526,1004605
2420.04953,1334428
2455.08896,1907925
2471.08033,2069330
2497.06453,247750
2545.91446,439224
2583.05267,314692
2583.94759,299693
2587.07237,854004
2639.03705,1879836
2689.09614,502992
2705.08864,6112511
2719.06655,444171
2727.15133,4526063
2743.14433,326834
2759.10888,413425
2775.10603,421441
2784.16883,366908
2883.23713,3477058
2899.23144,3274695
2921.18116,389951
2937.17802,265332
2940.25559,509112
2956.24752,362816
2959.16333,2008933
2976.34676,281743
2997.09855,216614
2997.26478,320088
3013.25522,231260
3068.18550,964861
3100.19709,240327
3116.19035,3492810
3132.18414,2643109
3154.13194,350482
3167.25618,1327919
3170.12454,346635
3171.27409,772089
3183.24634,2781737
3189.19177,376310
3199.23677,395511
3221.18365,309794
3240.25153,276583
3255.17561,321600
3257.15578,611077
3296.30462,454722
3371.34595,337221
3387.34265,2928614
3444.35766,262077
3549.36707,384868
