m/z,I
836.42228,537294
852.41646,309358
898.49309,546337
1095.53933,1406327
1105.54829,4292108
1152.55743,403722
1162.56667,1212971
1219.58504,379512
1237.59458,187122
1240.64169,397066
1267.63952,350633
1453.69709,998668
1501.65380,789966
1522.66198,210205
1558.67151,220184
1566.69702,480405
1586.70070,489211
1608.70373,399703
1655.73816,513040
1749.78414,720399
1852.85510,257430
1900.79766,201655
1915.90615,160839
1917.87237,135010
1930.85448,452378
1947.88057,5104974
1992.85100,241171
2004.89524,924469
2005.86737,606561
2038.87772,308106
2039.86105,1263308
2056.88509,14215835
2065.86994,274835
2071.99499,2240650
2072.88070,359397
2081.86501,234741
2088.90877,275797
2096.87516,184808
2104.90270,610409
2113.90296,1633547
2129.03579,3706599
2186.05186,1195901
2215.94960,2350169
2243.06787,482711
2243.91750,269712
2254.95561,341187
2272.96473,587664
2329.97805,187896
2404.05618,404732
2497.06446,356851
2513.06048,438503
2611.02377,264369
2685.13481,405116
2689.09691,226156
2705.08921,3175134
2719.06712,621710
2727.15152,8284220
2743.14626,473133
2762.10741,492447
2775.10806,521896
2784.17141,1882146
2841.17803,453796
2883.23668,3809622
2890.11025,278908
2891.08751,245465
2899.23216,662272
2940.25633,1162765
2956.24399,179638
2959.16430,3659134
2997.26369,563554
3016.17261,963520
3068.18622,835056
3073.18970,239606
3116.19108,944878
3132.18559,3959403
3135.29835,201961
3148.17706,617194
3151.28988,236930
3159.19105,463770
3167.25668,1332842
3171.27415,1921918
3173.20608,177744
3183.24702,4268430
3199.23709,356436
3228.27786,420657
3240.25425,767576
3246.19882,232912
3284.29324,219536
3297.26528,207935
3371.34955,366350
3387.34152,873529
3443.36093,173183
