m/z,I
701.34698,121363
836.42220,246097
852.41670,306962
898.49317,364866
935.98042,175070
983.97864,300851
1007.97743,356062
1032.97962,290766
1055.97550,361845
1079.97419,387075
1095.53927,618909
1103.97280,375772
1105.54828,2707691
1111.53316,694489
1124.55289,375952
1128.97493,300325
1152.97409,300138
1162.56681,552478
1175.96928,486552
1200.97160,390360
1219.58534,253655
1224.96975,352906
1240.64204,532682
1248.96873,373506
1267.63991,401180
1271.96456,372053
1296.96644,351003
1319.96198,419020
1343.96052,501790
1368.96170,393179
1391.95771,527444
1416.95938,397328
1429.63699,644490
1435.63625,482180
1440.95766,358566
1453.69727,408241
1459.64581,335954
1488.95502,368906
1512.95313,329037
1536.95154,432830
1631.94177,430303
1655.73886,529555
1680.94094,408127
1704.93943,316791
1719.77654,468430
1728.93732,380319
1752.93540,446620
1772.78784,131724
1775.93063,594484
1800.93239,649852
1824.93111,592333
1848.92883,721393
1864.77184,236299
1872.92605,771538
1889.84304,176500
1896.92384,833451
1908.83620,205534
1920.92309,858328
1944.92057,798602
1947.87952,2407174
1962.84172,202584
1968.91669,895532
1975.90860,1704239
1992.91656,1000957
2004.89454,598004
2014.87906,2816131
2016.91301,849380
2039.86221,365465
2040.91154,985626
2052.82136,207937
2056.88569,3563801
2057.87149,581933
2064.90935,1070504
2071.89764,423589
2072.92918,323942
2082.01557,389777
2088.90712,1152267
2098.00576,526073
2104.90264,584103
2112.90499,1086264
2117.00097,957892
2119.95685,455844
2120.89774,242903
2132.99323,443361
2135.94991,709907
2136.90190,1316320
2147.00695,1033181
2160.90006,1264846
2174.01708,260316
2184.89796,1514634
2208.89445,1262458
2214.86002,152762
2215.94961,1412770
2230.85434,249542
2231.03353,160510
2232.89500,1180717
2256.88893,1284445
2280.88802,1293338
2304.88638,1306327
2328.88100,1258487
2352.88088,1243351
2376.87882,959802
2400.87365,1025352
2420.05044,262942
2424.87294,1032310
2448.87223,882910
2472.86684,844616
2487.07425,750435
2496.86210,897294
2503.06579,303378
2520.86262,770854
2528.11025,242333
2544.86135,786247
2568.85588,731068
2592.85183,615406
2616.85063,560464
2640.85104,567288
2664.84499,569659
2687.12480,1815007
2689.09610,681477
2705.08957,1826468
2712.83551,471191
2719.07121,374927
2736.83694,345818
2744.14213,247619
2753.16751,1490333
2760.83688,551697
2769.16185,372189
2775.10752,356227
2784.83509,569808
2801.15677,169832
2808.82735,573923
2832.82048,555142
2853.22678,1037388
2856.81776,431870
2869.22053,401071
2880.81781,461832
2882.23233,916454
2898.22938,197937
2904.81638,459444
2928.81592,508894
2940.25710,321302
2952.81283,451712
2975.15634,538017
2989.16524,743621
3000.79961,480128
3024.79639,456972
3048.79333,429813
3072.79113,387833
3096.79037,437612
3100.19489,595906
3116.19056,1781806
3120.79222,433384
3132.18550,1436277
3144.78956,460979
3151.28870,190455
3155.22115,741844
3171.27158,487617
3173.19995,260905
3183.24589,657512
3192.77723,382076
3211.29476,402173
3216.77019,453828
3240.76554,342912
3264.76259,357552
3288.75921,359046
3313.75820,379997
3337.75660,306726
3360.75196,332246
3387.34560,669271
3403.33633,288828
3408.75272,231105
3432.74842,373812
3456.74488,320636
3480.73985,283520
3504.73555,271771
3528.72802,272894
3552.72443,268805
3576.71715,270837
3600.70847,214444
