m/z,I
704.39827,255228
720.35658,261281
836.42219,317802
894.46180,164233
944.51191,287644
952.46511,290332
978.49469,249254
989.55653,177762
1032.57162,480609
1044.46573,148395
1052.52442,461128
1095.53923,462506
1105.54822,2583079
1121.55355,1439518
1125.55648,3258407
1178.57159,175656
1180.61288,217628
1182.57463,1116714
1186.60179,193779
1196.60712,255721
1225.57015,261280
1240.64178,448339
1259.60499,672286
1259.61830,3000263
1314.62649,168922
1325.71555,736507
1423.63662,293388
1435.63662,1145346
1438.62149,201328
1445.63020,296203
1453.69702,869829
1466.65190,172099
1479.74683,220734
1482.65554,267770
1534.72045,824485
1561.74339,303142
1562.77479,250630
1586.70028,526170
1623.88421,143586
1655.73875,813768
1706.70818,286988
1708.74817,573333
1719.77575,198556
1749.78456,236528
1757.83848,251938
1784.78554,255604
1790.82090,229241
1795.83820,202967
1799.72664,157183
1804.82158,240831
1804.87260,233598
1816.79201,199247
1832.78526,747452
1850.75993,314345
1892.84224,637335
1909.86732,903164
1917.87156,148613
1937.89510,209958
1944.86905,360628
1961.89428,7844159
1990.91931,1839938
1999.83714,501939
2002.91679,1105760
2003.89993,469330
2005.86726,1444728
2014.86745,249323
2018.91038,779527
2027.90004,222744
2027.97322,924255
2039.86141,959206
2043.96468,1223487
2044.92339,2948217
2050.80412,127526
2056.88511,13287777
2072.88041,365961
2081.86476,421581
2088.90964,298844
2094.82858,1127289
2095.89138,229906
2104.90247,1768663
2111.87669,724409
2113.90339,684449
2118.95511,224196
2120.89762,833050
2131.01417,3332801
2136.92624,260209
2148.92190,711899
2150.86567,621343
2155.05861,627791
2170.99998,384213
2187.92076,5296100
2188.02310,6674600
2197.02844,306136
2198.86497,1651978
2214.85962,1015393
2225.86612,311915
2225.96757,316531
2244.93687,584003
2245.03895,761943
2273.00982,202664
2328.10854,409227
2334.96870,1251940
2363.95754,240349
2368.93513,385940
2395.00167,639448
2410.00680,322299
2420.04961,368159
2435.15140,238417
2436.04609,326033
2478.07760,320606
2499.04532,896760
2508.95794,628221
2522.05377,204293
2535.06319,405143
2549.18190,645598
2565.09360,490853
2667.06329,297833
2689.09702,819197
2695.08167,1394783
2705.08868,4996633
2719.06743,1150736
2785.12548,834493
2820.17340,383233
2853.22665,1158399
2867.31474,649864
2883.23665,3436644
2899.23214,854579
2917.11736,453253
2940.25580,436281
2974.15022,566412
2987.18818,3067308
2989.14016,733991
2997.26409,185664
3005.13164,1144016
3011.23352,342901
3023.13268,429539
3033.27888,353502
3036.19682,302431
3044.19949,382332
3052.19124,667255
3063.14405,180647
3084.20008,1099506
3100.19420,3361498
3116.18996,1799924
3132.18353,477750
3137.27734,352675
3138.14032,383668
3153.24417,1488134
3157.21276,281022
3169.23419,1666834
3183.24889,702713
3225.30517,476594
3241.29693,1150150
3297.30749,309398
3341.30338,347859
3356.29144,365137
3370.34709,273550
3387.34373,1174192
